,subject,Baseline,Amusement4,Anger3,Excitement,Neutral6,Sadness2
62,63,4.5999823,6.499942,4.899957,9.199917,7.799932,4.5999584
63,64,5.7212067,7.6999307,7.6999307,3.899966,9.099917,2.2999792
64,65,7.8677673,6.675507,4.020468,8.432665,6.5542536,2.1188827
65,66,6.1075683,6.038929,4.016581,8.642647,6.418692,4.269512
66,67,5.990715,5.7511387,7.6999307,3.7999656,5.599949,8.099927
67,68,4.7895827,7.4167213,3.0386393,7.07095,4.590023,3.0577233
68,69,4.999982,6.3999443,6.3980923,9.099917,9.099917,4.999955
69,70,7.3450365,7.899931,7.3999352,8.899921,6.1999445,5.5382895
70,71,8.686549,6.7852,0.66023135,9.482742,5.198754,2.1990268
71,72,7.2010136,7.999929,7.779186,7.505579,6.6999397,5.499951
72,73,7.399976,9.199308,1.945894,9.872903,7.6429467,2.249373
73,74,4.999982,5.5200844,4.9099984,7.267507,6.3287616,4.0928802
74,75,2.8999898,6.099944,5.8999486,7.099936,5.099954,2.8999746
75,76,8.211723,7.662086,4.51421,9.634932,8.660474,1.6321862
76,77,5.1999817,6.499942,6.499942,6.3999443,5.1999536,5.1999536
77,78,8.799971,9.899912,7.3999352,8.699922,8.799923,4.7999573
78,79,4.899984,3.0424724,5.225471,4.899957,4.999955,4.899957
79,80,8.044886,4.999955,9.299919,8.025467,4.999955,7.799932
80,81,6.131645,6.5999403,6.1999445,6.1999445,6.5999403,6.5999403
81,82,4.06369,7.0597944,2.9231215,5.728834,5.099954,4.441243
82,83,6.199978,7.6999307,6.230891,7.900895,5.259353,7.702626
83,84,6.6871977,6.820833,3.7999656,5.1999536,4.657328,3.7999656
84,85,5.531556,5.9195137,4.1671295,6.7528105,4.8056984,4.4725146
85,86,5.099981,4.999955,5.3537,7.41021,5.099954,6.5999403
86,87,3.5481946,7.299936,3.5999675,8.87254,6.694707,6.5999403
87,88,5.732823,6.5999403,6.9999375,6.7369714,4.999955,6.5999403
88,89,7.6999707,9.899912,9.899912,7.6999307,7.899931,8.99992
89,90,7.799974,9.299919,7.799932,7.799932,7.799932,7.799932
90,91,6.1857285,7.844383,4.950786,9.707469,8.299928,5.83579
91,92,5.927246,6.487809,4.6409802,6.3451667,5.099954,4.381069
92,93,7.8999734,6.3999443,7.899931,7.899931,7.299936,4.999955
93,94,5.099981,8.199926,8.054741,7.3999352,8.337101,5.099954
94,95,7.3345876,9.899912,2.7999744,8.099927,5.073327,4.5440154
95,96,4.899984,4.899957,5.999947,5.971539,4.4385443,4.4852624
96,97,6.6892276,5.311766,1.1831795,6.831673,6.096867,3.7435498
97,98,5.9232574,4.6999583,7.0999403,5.2999525,5.099954,6.299945
98,99,7.6999707,7.4999332,7.999929,6.499942,7.6999307,7.999929
99,100,5.099981,4.999955,4.999955,5.9345403,5.799949,4.899957
100,101,7.556885,8.199926,9.899912,8.799923,9.899912,6.9999375
101,102,8.45175,9.399917,8.099927,9.899912,9.199917,7.6999307
102,103,7.6999707,7.5999312,2.1999807,8.92462,6.499942,9.099917
103,104,6.6074085,2.7999744,8.494333,9.572643,4.565357,4.999955
104,105,4.7999825,8.611963,4.7995925,9.8404665,5.585349,4.0156093
105,106,5.4906545,3.3440125,3.3999703,2.2999792,6.299945,3.5999675
106,107,4.042145,2.7764368,6.5999403,7.999929,5.099954,7.6999307
107,108,4.019648,5.3392205,3.4568372,6.89994,5.099954,6.89994
108,109,4.999982,7.5999312,4.999955,8.599922,7.5999312,6.3999443
109,110,2.813897,7.099936,2.216887,6.769519,4.075972,4.7999573
110,111,8.599968,4.49996,7.4999332,5.2999525,2.3999786,7.9614296
111,112,7.1999726,7.199935,7.3999352,8.499925,8.499925,8.499925
112,113,4.7222314,5.2999525,6.3999443,4.899957,5.1999536,6.5999403
113,114,7.1837115,6.5885677,8.099927,6.9999375,9.199917,8.899921
114,115,4.966807,6.5841618,8.88586,4.999955,6.4741454,3.4999688
115,116,4.4309177,5.462245,2.3455062,7.0254083,5.499951,2.1492565
116,117,9.399967,8.499925,9.899912,9.899912,9.899912,5.080867
117,118,4.7999825,4.899957,5.6999483,4.899957,4.7999573,5.999947
118,119,6.254301,8.899921,9.699912,7.899931,6.962714,5.099954
119,120,7.1931515,9.299919,9.099917,9.899912,9.199917,7.5999312
120,121,7.6999707,8.899921,4.0118036,8.121633,8.599922,7.6999307
121,122,4.999982,4.999955,5.099954,4.999955,5.1999536,4.999955
122,123,5.879658,6.3999443,6.3999443,5.099954,6.299945,6.1999445
123,124,7.8338575,7.6999307,9.899912,6.5999403,9.027398,7.7067804
124,125,6.3338585,9.899912,7.799932,7.1998377,7.5999312,9.899912
125,126,4.44408,4.199963,2.3999786,5.915899,3.7999656,5.6681066
126,127,6.5213137,6.499942,3.5864062,7.397713,5.099954,6.1999445
127,128,7.4999733,7.3999352,2.7901444,8.699922,8.399926,5.700409
128,129,7.7831607,9.099917,7.6999307,4.899957,7.099936,6.299945
129,130,6.2116866,6.299945,6.599783,5.5552,6.1999445,4.199963
130,131,7.0571275,6.609805,6.1062737,6.8470864,6.613721,4.7966585
131,132,7.599972,7.5999312,7.299936,7.5999312,6.3999443,6.7999406
132,133,8.07327,9.899912,9.899912,9.899912,9.899912,9.899912
133,134,5.099981,5.9373994,2.2370508,8.800368,5.358651,2.786843
134,135,6.199978,7.5999312,7.799932,6.1999445,8.499925,7.5999312
135,136,6.299978,6.993694,7.5999312,4.999955,4.862432,5.3991337
136,137,4.999982,4.999955,7.199935,3.2999701,1.3999872,4.099963
137,138,6.6927285,1.9999822,7.299936,7.799932,3.1999722,7.799932
138,139,4.6999836,6.499942,4.899957,6.6999397,5.976103,4.6999583
139,140,7.986127,5.6018043,6.048599,5.499951,5.999947,3.7578955
140,141,4.1867085,4.366664,3.6059241,6.4448156,4.6185894,3.812447
141,142,5.1999817,5.411043,3.8912907,6.3891563,4.6342134,2.180013
142,143,6.7339244,6.695221,4.055695,8.453615,4.906782,6.29672
143,144,6.592053,9.899912,6.5999403,9.899912,7.6999307,8.599922
144,145,7.273925,7.899931,6.9999375,8.699922,5.8999486,6.499942
145,146,5.556309,4.899957,8.299928,7.900074,6.9999375,5.099954
146,147,6.8694468,9.899912,4.999955,9.899912,4.7999573,9.099917
147,148,7.8994083,5.599949,7.999929,2.0999815,7.799932,9.882061
148,149,7.789064,6.9999375,6.190601,9.899912,8.699922,4.9522805
149,150,5.099981,7.3999352,4.7999573,5.099954,6.7999406,7.3999352
150,151,5.937646,3.4999688,4.7999573,9.899912,4.6999583,9.819902
151,152,5.69998,6.1476793,5.2330313,9.445083,5.799949,3.6514714
152,153,4.899984,7.6999307,6.299945,4.999955,4.912488,3.4999688
153,154,4.4846673,4.4051476,4.5397887,4.7999573,2.1999807,2.7999744
154,155,4.857208,6.100021,4.099963,4.899957,4.099963,6.099944
155,156,8.826377,7.799932,2.0999815,6.499942,7.7987165,9.199917
156,157,5.8109508,6.997304,4.4059453,6.97117,2.9814281,2.452127
157,158,8.215715,6.5043125,9.425656,9.002222,5.2667727,3.9559443
158,159,4.347572,6.0245957,7.0677156,5.573868,3.0957787,5.4816017
159,160,4.999982,6.24949,6.1999445,4.6999583,4.999955,6.1999445
160,161,9.899965,5.399953,4.49996,8.738035,7.960988,8.099927
161,162,6.289236,6.3999443,4.49996,5.099954,6.7999406,6.7999406
162,163,6.882873,3.899966,2.2999792,1.4999868,4.5999584,6.887995
163,164,7.799974,6.3999443,7.799932,9.899912,6.3999443,9.899912
164,165,6.299978,5.1760216,7.098712,7.7157965,4.963421,6.299945
165,166,9.899965,5.1999536,9.099917,8.699922,9.899912,6.4112887
166,167,7.0001917,7.0002904,6.3999443,4.899957,7.000825,7.4999332
167,168,8.814299,5.325906,9.899912,5.099954,3.8416216,8.299928
168,169,6.0053816,9.299919,7.099936,8.499925,5.399953,6.6999397
169,170,7.299976,9.899912,8.499925,7.299936,9.899912,9.199917
170,171,5.099981,6.299945,2.6760838,7.6949234,4.2952714,3.6999676
171,172,7.3359776,1.8999828,8.499925,9.899912,5.8999486,7.099936
172,173,5.169388,6.099944,6.3999443,5.825332,5.399953,6.9999375
173,174,8.486851,8.399926,0.5007901,7.880701,6.1415014,6.414698
174,175,9.804662,9.299919,9.799914,9.899912,9.299919,9.799914
175,176,4.7999825,4.870711,4.7999573,4.299961,2.9406195,2.7999744
176,177,4.899984,6.099944,6.299945,4.899957,4.2816586,4.81525
177,178,3.9912093,6.0261927,9.899912,9.099917,2.8787246,7.799932
178,179,6.6566195,7.476655,7.199935,5.9498353,7.42863,6.882758
179,180,4.3999853,4.3999615,0.0,7.5999312,9.899912,9.899912
180,181,5.424924,2.1999807,8.499925,5.7801557,2.1999807,7.6999307
181,182,6.377975,4.299961,6.299945,7.380703,6.7999406,5.799949
182,183,5.2999806,5.196485,2.0290103,7.3770657,5.2999525,2.5323858
183,184,6.7471294,2.2698903,2.05814,6.2257366,5.099954,2.5569618
184,185,7.999972,8.899921,7.999929,9.899912,9.899912,8.899921
185,186,4.2544107,4.4552565,7.199935,3.5443358,6.5999403,4.7999573
