,0,1,2,3,4,5,6
0,10.0,735.6194588375664,833.2782208038267,636.1533233634914,483.17040445524407,628.0856078784312,754.7911422940073
1,12.0,307.2221971564453,532.1834162649301,750.5881128901027,707.6195649807295,587.2220650353142,645.1710717906178
2,15.0,285.08689711475745,495.31133893586906,661.4224011181486,801.6410266107341,910.5397946439938,970.4389379161186
3,16.0,190.24147935957134,330.67773249298676,508.8816355484148,630.3819361690666,749.903765255377,876.6283352744183
4,18.0,621.1787322707108,658.0339954823694,740.1612688655179,809.1454162231553,699.1489119628615,543.0363145002452
5,22.0,392.33504938592296,578.3312943038844,687.9660720301047,732.9772989013679,763.9527041567957,796.8372695894254
6,26.0,208.6286722808252,345.288150305173,589.8472373723347,750.9469623371577,841.2580498120251,926.6843540576955
7,27.0,596.4172255452324,484.42684528788413,384.06564787946377,398.884229879904,506.06924733382135,581.2360053581407
8,29.0,445.37382463871825,463.3878567176663,486.56862949000174,564.7967032481506,663.8040059600656,674.9386513242906
9,31.0,356.7669177589986,367.8688570488241,456.8915210330165,608.3051594948663,793.2853527273758,874.0940203275494
10,32.0,97.36153304048877,226.17330092234235,487.2588143116099,735.7695078984198,889.7226019837395,966.0161885579956
11,33.0,288.52776340739865,404.9494033480597,504.48914992953456,601.6078837983705,796.3864121698429,917.0768765098851
12,35.0,549.5216910631517,495.3049536334858,428.0585807532545,646.6053166316732,774.5094401706319,679.204551649901
13,4.0,273.3677291660346,423.88934875711976,506.3713086303459,565.1194996158292,715.4676713093965,851.0806523599266
14,42.0,129.78358630841174,174.48555330778947,205.32560659333822,294.9688286996251,321.8244494184804,274.3594117090388
15,45.0,301.5524256194481,502.68279283569916,585.3408049077576,651.6492433312421,820.7768741050276,929.4957634961007
16,47.0,258.5431832519673,474.63699800755955,696.6472825448543,824.127275122198,863.3636654063364,883.1086522754114
17,48.0,220.76530809741777,427.71173957873935,681.9774678430932,909.4801278609568,1008.1056114931928,1014.3541245529653
18,49.0,182.8652861802447,278.4931435508081,444.40161569424936,676.667832071329,863.5414460612959,957.774041138048
19,54.0,540.4018962520663,709.7707171034837,839.7981700161167,831.4318685529496,801.5274796602592,839.238317125635
20,55.0,426.17372280647623,645.8124331670747,810.9700342528254,899.3555812025234,933.2415607372119,919.5710500412308
21,6.0,520.7447566468035,318.0265565415765,199.50885125249934,425.87873970112315,675.0822229298905,627.0961323667311
22,66.0,417.4885174471672,550.6512540591824,682.9613486048974,711.9002912423592,581.4816465007079,432.4232997884758
23,69.0,360.90341947753745,399.7987008593576,501.70848415525364,657.0257522998876,833.9413255984244,926.7824374121329
24,7.0,536.9725935704872,418.79689761607517,377.514389101159,306.7037660823894,212.37542394021884,147.63402978317274
25,8.0,833.385274000813,706.5106368623407,566.3657850044428,430.60035003797805,279.15158099250067,170.08146024530703
