,0,1,2,3,4,5,6,7,8,9
0,14.0,,,,,,,,,
1,21.0,,,,,,,,,
2,23.0,,,1.9753473772247399,,,,,,
3,25.0,,,,,,,,,
4,34.0,,,,,,,,,
5,39.0,,,,,,,,,
6,43.0,,,,,,,,,
7,46.0,,,,,,,,,
8,51.0,,,,,,1.8154735036467464,,,
9,57.0,,,,,,,,,
10,71.0,,,,,,,,,
11,72.0,2.9283604976930837,2.90148991377576,2.8345425479659387,2.7328401963919458,2.5962474029658993,2.331572614226787,,,
12,77.0,,,,,,,,,
13,78.0,,,,,,,,,
14,79.0,2.3852966048734725,,,,,,,,
15,80.0,,,,,,,,,
16,82.0,,,,,,,,,
17,83.0,,,,,,,,,
18,84.0,,,,,,,,,
19,85.0,,,,,,,,,
20,87.0,,,,,,,,,
21,88.0,,,,,,,,,
22,89.0,,,,,,,,,
23,91.0,2.4816683384437237,2.161434557886515,2.250927322531895,2.391825166107162,2.248100723739479,,,,
24,92.0,2.5681048483110422,2.184246022439498,1.8299554996139327,,,,,,
25,93.0,,,,,,,,,
