,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,14.0,4.3,4.4666667,4.633333,4.8,4.9666667,5.1,5.266667,5.4333334,5.4666667,5.6666665,5.9166665,6.1666665,6.3166666,6.4,6.483333,6.633333,6.6833334,6.733333,6.8333335,6.883333,6.9,6.95,7.0333333,7.05,7.116667,7.1833334,7.224138
1,21.0,-25.783333,-26.15,-26.5,-26.8,-26.866667,-26.95,-27.033333,-27.116667,-27.233334,-27.3,-27.3,-27.3,-27.3,-27.1,-26.85,-26.616667,-26.466667,-26.383333,-26.3,-26.216667,-26.1,-25.983334,-25.85,-25.65,-25.533333,-25.4,-25.275862
2,23.0,-33.083332,-33.133335,-33.183334,-33.2,-33.233334,-33.233334,-33.266666,-33.266666,-33.316666,-33.35,-33.35,-33.333332,-33.3,-33.25,-33.216667,-33.2,-33.15,-33.15,-33.116665,-33.2,-33.233334,-33.283333,-33.35,-33.35,-33.35,-33.366665,-33.36207
3,25.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.016666,-15.016666,-15.016666,-15.016666,-15.016666,-15.033334,-15.05,-15.116667,-15.183333,-15.266666,-15.35,-15.433333,-15.516666,-15.6,-15.766666,-15.866667,-15.966666,-16.083334,-16.155172
4,34.0,-33.95,-34.1,-34.3,-34.35,-34.35,-34.416668,-34.45,-34.416668,-34.4,-34.45,-34.45,-34.433334,-34.433334,-34.466667,-34.466667,-34.583332,-34.75,-34.816666,-34.866665,-34.933334,-34.966667,-34.866665,-34.7,-34.55,-34.383335,-34.3,-34.25862
5,39.0,-23.116667,-23.066668,-23.083334,-23.083334,-23.083334,-23.05,-23.05,-23.033333,-23.033333,-23.066668,-23.15,-23.183332,-23.183332,-23.183332,-23.166666,-23.166666,-23.166666,-23.166666,-23.166666,-23.15,-23.133333,-23.016666,-22.85,-22.733334,-22.65,-22.566668,-22.5
6,43.0,-18.883333,-18.683332,-18.533333,-18.5,-18.5,-18.5,-18.6,-18.716667,-18.75,-18.816668,-18.883333,-18.916666,-18.983334,-19.05,-19.066668,-19.116667,-19.116667,-19.116667,-19.0,-18.916666,-18.883333,-18.85,-18.783333,-18.75,-18.7,-18.666666,-18.655172
7,46.0,-12.1,-12.0,-12.0,-11.983334,-11.983334,-11.983334,-11.983334,-11.983334,-11.983334,-11.983334,-11.983334,-11.983334,-11.983334,-11.966666,-11.95,-11.966666,-11.966666,-11.916667,-11.916667,-11.916667,-11.9,-11.883333,-11.85,-11.85,-11.833333,-11.833333,-11.844828
8,51.0,-37.133335,-37.133335,-37.133335,-37.133335,-37.133335,-37.133335,-37.133335,-37.1,-37.1,-37.15,-37.15,-37.2,-37.233334,-37.25,-37.35,-37.433334,-37.55,-37.666668,-37.766666,-37.9,-38.0,-38.016666,-38.1,-38.1,-38.166668,-38.25,-38.24138
9,57.0,-40.016666,-40.0,-40.0,-40.0,-40.0,-40.016666,-40.1,-40.166668,-40.2,-40.216667,-40.266666,-40.333332,-40.416668,-40.5,-40.583332,-40.666668,-40.75,-40.816666,-40.816666,-40.866665,-40.95,-41.016666,-41.05,-41.066666,-41.066666,-41.183334,-41.293102
10,71.0,-12.366667,-12.283334,-12.216666,-12.133333,-12.066667,-12.033334,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.016666,-12.016666,-12.016666,-12.016666,-12.016666,-12.016666,-12.016666,-12.016666,-12.016666,-12.016666,-12.016666,-12.016666,-12.0,-12.0,-12.0
11,72.0,-30.45,-30.45,-30.45,-30.4,-30.383333,-30.416666,-30.483334,-30.55,-30.6,-30.583334,-30.6,-30.616667,-30.6,-30.533333,-30.483334,-30.466667,-30.466667,-30.516666,-30.533333,-30.366667,-30.433332,-30.833334,-31.1,-31.316668,-31.55,-31.816668,-32.0
12,77.0,-33.516666,-33.4,-33.4,-33.5,-33.533333,-33.333332,-33.2,-33.166668,-33.15,-33.05,-33.0,-32.816666,-32.766666,-32.733334,-32.7,-32.583332,-32.533333,-32.466667,-32.383335,-32.333332,-32.266666,-32.216667,-32.183334,-32.183334,-32.166668,-32.166668,-32.12069
13,78.0,-29.033333,-29.033333,-29.0,-29.0,-29.0,-29.0,-29.0,-28.983334,-28.983334,-28.966667,-28.95,-28.933332,-28.933332,-28.933332,-28.933332,-28.933332,-28.933332,-28.933332,-28.85,-28.766666,-28.766666,-28.733334,-28.733334,-28.733334,-28.716667,-28.666666,-28.655172
14,79.0,-27.883333,-27.8,-27.766666,-27.766666,-27.766666,-27.733334,-27.733334,-27.566668,-27.6,-27.6,-27.633333,-27.7,-27.666666,-27.633333,-27.5,-27.333334,-27.266666,-27.2,-27.2,-27.2,-27.133333,-27.1,-27.066668,-27.0,-27.0,-27.0,-27.0
15,80.0,-20.55,-20.8,-21.033333,-21.35,-21.766666,-22.066668,-22.45,-22.816668,-23.183332,-23.45,-23.733334,-23.8,-23.833334,-23.916666,-23.95,-23.95,-23.983334,-24.333334,-24.55,-24.716667,-24.883333,-25.05,-25.233334,-25.45,-25.666666,-25.45,-25.12069
