,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,14.0,0.012333332,0.011833332,0.011499998,0.011499999,0.011499998,0.011499999,0.011666665,0.011666666,0.011666666,0.011666666,0.011999998,0.013166664,0.012833333,0.012499998,0.012333332,0.012833332,0.01383333,0.014166665,0.015499998,0.015666666,0.015789473
1,21.0,0.019499997,0.01933333,0.021333331,0.021333331,0.021666666,0.021166664,0.020833332,0.02,0.019499997,0.018833332,0.018499998,0.018333333,0.018166665,0.017833332,0.015999997,0.015666666,0.015666666,0.016333332,0.017166665,0.017833332,0.018421052
2,23.0,0.012333332,0.011999998,0.011833332,0.011666666,0.011666666,0.01183333,0.011666666,0.011333332,0.011166665,0.011166665,0.0113333315,0.011166665,0.010999998,0.010999997,0.010833331,0.010833332,0.010833332,0.010666665,0.010833332,0.010833332,0.011052631
3,25.0,0.015333333,0.015166666,0.015333333,0.011166666,0.010999998,0.010999998,0.010833332,0.010833331,0.010833332,0.010666665,0.010666665,0.011166664,0.011166665,0.010999998,0.010666665,0.010999998,0.010999999,0.010999997,0.010999997,0.010999997,0.01122807
4,34.0,0.013833331,0.012833331,0.012833332,0.0129999975,0.012666664,0.013166665,0.013166665,0.013166664,0.013166665,0.012666666,0.011999998,0.011999998,0.011833332,0.011833331,0.012166665,0.011999998,0.011833332,0.011333332,0.0113333315,0.011666665,0.011929824
5,39.0,0.019666666,0.019499999,0.019333333,0.018499998,0.015499997,0.013999998,0.012833331,0.010999998,0.010999998,0.010833331,0.011166664,0.011833332,0.012666664,0.012499998,0.012666664,0.012666664,0.012666666,0.012666664,0.012666664,0.012666664,0.012982454
6,43.0,0.01733333,0.015999999,0.014333331,0.0151666645,0.015666666,0.015499999,0.015499998,0.015499998,0.015499997,0.015999997,0.016666664,0.015666666,0.015333331,0.015666666,0.01533333,0.014833331,0.014833331,0.01533333,0.01533333,0.015666664,0.01614035
7,46.0,0.012166665,0.011833332,0.014166666,0.014499998,0.014499998,0.014166666,0.014166665,0.014166665,0.014166665,0.014166665,0.014166665,0.013499999,0.012833331,0.012833332,0.010833331,0.010333331,0.014166665,0.016166667,0.016166667,0.016166665,0.016491227
8,51.0,0.021833332,0.018166665,0.015999997,0.016666664,0.016333332,0.015333333,0.014833331,0.014999998,0.014666664,0.014166665,0.013666665,0.012999998,0.012833332,0.012666664,0.012333332,0.011166664,0.010999999,0.011166664,0.010999998,0.010833332,0.010877191
9,57.0,0.020666664,0.019666664,0.019666664,0.019666664,0.019166665,0.019333333,0.0245,0.025499996,0.025833333,0.025666663,0.023666663,0.029666664,0.031666663,0.03233333,0.03233333,0.032499995,0.032999996,0.03316666,0.027833331,0.026499998,0.026842104
