,0,1,2,3,4,5,6,7,8,9
0,14.0,344.0721288809186,219.08146102012483,271.42187572920466,411.0662852553345,580.6287412084968,716.7722471967822,743.1060472637384,,
1,21.0,376.36864966992175,472.55414311856714,554.1200437795695,597.4190315733748,809.1905712601146,815.3585724236827,684.0309397153561,,
2,23.0,503.1576094435274,581.3326230248332,839.0180329751591,836.6335530138933,786.1100022412405,804.8307077937793,713.3632881823739,,
3,25.0,435.94552032650495,472.840922425113,599.4177483425302,707.4408211036402,639.7244708983744,536.8110454284248,490.7801142892674,,
4,34.0,410.82388748640255,171.8796910612963,263.6060207024876,396.8035712030288,460.19526430326033,423.45220573341464,374.7471529522141,419.66015402660315,462.61548876082634
5,39.0,407.79018081370975,305.57847499581936,380.0970038317856,412.38905676690763,389.6412713514733,395.3674234095364,316.116349103236,276.1182334433863,340.5990766825146
6,43.0,140.2770413001431,149.71471572121123,175.7281059561959,173.66177929544992,170.37529616449555,187.04071188986154,139.56935427643663,,
7,46.0,129.4336474676856,158.73057624199066,158.49607918254256,172.23183021586485,220.72234744810578,273.9107303809724,262.2617945215385,,
8,51.0,597.8641503704416,388.37940704860836,475.103573938068,573.4214728659846,730.2366579487945,814.3595040469116,732.0526477230995,700.1838044948676,738.604403547676
9,57.0,180.64668830048006,138.1463432086784,118.76915981194742,111.94423674769475,139.46803718163295,115.22997012370514,65.06519373175904,78.06959670521266,133.80112068447124
10,71.0,583.6898877364931,324.2623935522898,258.89202783781514,211.27057109705197,247.7352824064331,341.59709279017494,282.49956859866995,191.7151736904209,185.4372879571496
11,72.0,920.203451396,860.3631722786482,816.1893969284107,785.6486671849151,724.9295504733386,628.3989386252673,398.0787386753667,,
12,77.0,293.713953095228,274.6489439993862,336.3190908160808,423.2916771602022,454.29782365234337,371.4607348820038,254.75982860957757,,
13,78.0,479.83329089171394,599.2072793572828,645.1986261503071,705.2267426016496,701.0339830670221,621.2090843160454,516.8555393039645,,
14,79.0,668.9495413215145,605.7388389749565,628.1255528949814,571.4114384130656,381.1726526179323,264.34860105480834,271.09006169415875,,
15,80.0,576.6376221267546,519.8183352773093,532.8550766934632,522.1660563742947,439.4232586714933,329.36872489524313,235.93451608115015,,
16,82.0,677.9710829341827,615.0498529716602,397.43967205861065,322.4925974928839,358.1702618456321,345.04463710325035,262.5482981373324,246.79593537785104,203.41645731232208
17,83.0,777.6366259558159,687.3835970954516,430.1365563374064,280.02582165623477,245.43621399352475,266.3756221591853,351.2370933634381,,
18,84.0,505.2300195302222,502.99579307979377,359.6811431632215,337.08526915603466,477.7256183240719,435.61218222518977,306.80973707165134,,
19,85.0,487.46561827583287,573.0932556696306,659.0414378133476,665.4918184219467,609.5320735676249,480.00475325919007,321.1563957273432,,
20,87.0,235.36722559475044,251.00610099903778,371.50553817837505,474.82228675031615,576.441227390376,644.4427389420168,673.7336983388493,,
21,88.0,652.5780929627117,676.0321675366157,687.9957791672366,678.0042976583441,663.6798354744149,524.719102109137,324.262599018668,,
22,89.0,417.8985648567055,211.48593694247282,256.3975924911935,288.1776239972602,287.07491552166044,432.28861922237905,550.9228218933167,,
23,91.0,598.9777257948351,489.9871807268538,548.393624830434,698.2568560940402,840.9958436419779,791.4369687249571,519.6183030373246,,
24,92.0,649.5851582914216,384.72719713833465,261.08848144599506,220.5622902039488,188.84122842713475,143.68514365047295,79.11957718945386,,
25,93.0,344.1463413447038,601.5364879402762,694.8668218216646,708.756022507985,683.2799791514291,555.9783143373168,521.886848542928,,
