,0,1,2,3,4,5,6
0,10.0,46.39633794099316,44.443368613595894,42.1674245572251,42.98833774262673,43.308801161204286,43.003004671130114
1,12.0,12.893230715074488,11.416834310796602,11.214061027436987,11.517784355967656,11.796220164700344,11.794865044167828
2,15.0,40.69653657079242,40.96535438249504,42.00177795144894,43.023813505252996,41.96808912124632,42.534740001769066
3,16.0,29.787719177511462,33.037980360864644,31.12773199226994,28.761857535416667,31.256395099024097,29.909860502386486
4,18.0,30.334603927242867,27.20881878467977,31.66659089236456,30.525404950297478,30.16125813404861,30.508240463152372
5,22.0,39.84811175928156,41.33885025598587,41.677528682545834,40.68331793404229,39.864736884753924,39.82104497039433
6,26.0,39.12997792901167,36.06314471527925,32.90493862791196,34.4605268354957,34.53690394914311,29.85149278091596
7,27.0,42.558172829942734,44.02850877832287,43.20848877887665,42.4086116131562,43.19104059549687,43.736197804116266
8,29.0,67.30785075869422,84.65661872142803,91.29148283744198,63.86620443036928,46.425881981193555,44.64524741888597
9,31.0,35.259338460647506,33.03287398354387,29.030782347162578,23.949814582089893,25.423115347962437,31.343832200945435
10,32.0,28.806020801375894,28.190450761758914,27.65113333259292,27.4183688716732,28.87268046576802,28.638950985030956
11,33.0,39.91147865796077,36.07743544239518,34.125267134582785,34.92175307185326,35.242365831461626,34.51683827172637
12,35.0,61.51028693905472,56.57528562894002,54.78738459804437,54.30019658002127,54.110593083658145,55.10661454810694
13,4.0,23.39103446572896,22.316092657786673,21.426218522315484,22.54378285175203,22.788238719547497,22.395429670039405
14,42.0,27.75979592883764,25.927040380547105,24.208522968247806,26.29777380178406,29.303447296435422,30.4891859802694
15,45.0,42.768986105271715,39.04850784750735,41.00051049452706,41.106676719115484,42.82319600833754,46.02247185420373
16,47.0,32.79428807378851,30.782705360938685,28.004878696828857,29.04878233707331,30.15933057468549,28.600032378244684
17,48.0,28.579319688005214,28.351724101063812,27.202860805738705,27.708544117797782,28.17038878399793,27.77697952353929
18,49.0,34.97837539360631,33.22360540750294,33.532582083066174,32.893647241877154,30.125945552884943,31.650187414928347
19,54.0,43.86144433505787,38.69424841293438,34.63141120982697,33.956031639679225,32.40713149142335,31.471711680772458
20,55.0,25.095235733691883,24.09906429291196,25.431692209945307,25.789560197797265,24.912003619156465,25.613958620595792
21,6.0,24.99788732731774,26.514585631943596,30.11426361964753,32.16633512016011,27.50011982462604,26.027026755997316
22,66.0,14.619800013635512,14.482311661907842,13.601332000959207,13.81485248335595,13.800570645069214,13.701904390534832
23,69.0,42.78035597482071,39.49232737474715,32.513072119506944,33.45951212180414,40.83545355203319,46.79125422846492
24,7.0,41.919442073099844,42.59707405153978,44.72273899775324,41.76006634744908,39.242698327840245,40.856908026604714
25,8.0,68.48644659992121,68.94122681264926,75.5641655060981,77.51999907579075,75.01488990569003,74.86915548585345
