,0,1,2,3,4,5,6
0,14.0,26038.00446085739,12144.918302350714,4840.663679993582,2375.6131905898524,1575.1046259661714,697.2763385484736
1,21.0,21896.559462516245,6135.199280402882,16119.116120410326,14260.475238715491,24162.497092938323,29089.376690212463
2,23.0,24244.21760133041,32506.040823535393,22607.187148871162,26777.200839045163,16039.770447447092,38527.22916043068
3,25.0,31120.287465834288,12253.01452046183,10851.303526068188,12748.94368974048,7842.578524821849,4791.95606202527
4,34.0,15853.086512673066,5326.476585435729,9584.51162348606,7210.3985247652,7263.61403694647,2292.2225423105074
5,39.0,25403.207876281256,16462.685440737834,20132.32751191755,22773.924757063563,15951.38238543378,13151.663409570947
6,43.0,15246.091081350774,14795.994245271217,14210.588058039715,11188.14529709783,13600.45169873561,11459.52071892681
7,46.0,13432.417085165907,11605.016001057205,16824.689934612215,13302.814588168798,14184.44782720676,17533.341265648265
8,51.0,10007.612458331574,6371.964189096151,19986.431763657496,11177.108081672104,8893.971471555611,3236.134723796221
9,57.0,22032.256597444142,19913.84071781378,6538.8009368039175,7131.388792798977,14863.371280513655,20942.922491779715
10,71.0,9231.240672466241,12910.140623217036,9798.783616429326,9956.278636582585,6369.936005567533,1510.9207358434319
11,72.0,8743.850234503221,4604.000000326494,21139.26237115154,27853.648217642705,6875.252055113369,3134.941586076862
12,77.0,6453.63484478503,1206.3962069495085,1821.8271085158021,8220.761763449485,19847.850553036045,9389.510237886754
13,78.0,35048.64675529557,10016.225858204518,9232.794469237266,8632.438114624205,18716.14116679883,23213.267172694545
14,79.0,14795.241657192722,6038.876633742712,22430.45029261109,31975.463714366273,8401.436858065936,1592.1680975923832
15,80.0,14717.122943142254,32983.23517277422,16350.091573544683,6417.322437031346,6695.398133894169,5575.726758969464
16,82.0,4061.284206443437,232.28346073248923,58071.60713821586,53472.15695214062,5512.114159248542,29265.282548991294
17,83.0,71094.2722136252,262.657342234855,559.128428345819,1232.628156394135,1619.4960026370684,835.5569870860801
18,84.0,6590.354742377857,49518.496383193604,58901.999223880906,20671.112653793527,13790.793979001797,6575.263006194055
19,85.0,16773.620276667316,6924.659812101074,3878.7325339988456,1646.4069501908443,3871.132446225734,2310.322793275591
20,87.0,5411.139595753725,13750.14404212249,23077.731891088933,65376.32904301143,18249.191770165577,22350.06434584929
21,88.0,17360.332623057096,14645.281265961796,23193.22658800852,38261.29973466573,15386.183385250932,53468.55400026413
22,89.0,18526.484654654963,21196.802685860337,11504.923646593144,4401.823123817053,1500.453439141351,353.9299143239766
23,91.0,4605.189801566038,15822.501313260622,19092.98482181998,14986.485767521322,11948.93958940437,1737.5648653980695
24,92.0,11184.218420135818,5701.474667484859,10401.885426625475,25520.126330848983,61400.409522606096,1224.3490201569095
25,93.0,25797.606829677487,12078.641584883317,15620.494680891112,29029.16978342842,14307.870116314572,16162.423486931755
