,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,10.0,10.005012,9.680541,9.761336,10.061099,10.020087,9.733335,9.933529,9.805625,9.886564,9.8454,9.946958,9.743464,9.721197,9.556276,9.699313,9.815171,9.724665,9.593365,9.721169,10.3675785,10.361604,9.3138,9.29886,9.37627,9.39136,10.015765,9.543124,9.481013,9.810789,9.750586,9.823632,9.785459,9.718474
1,12.0,10.230285,9.586789,9.629429,9.576388,9.629108,9.598666,9.731048,9.590812,9.950017,9.570989,9.605858,9.621076,9.643733,9.548718,9.652732,10.379014,9.63485,9.769532,9.565765,10.789024,10.260325,9.519611,11.206541,7.7687864,7.752764,7.7559767,7.8047833,8.210168,9.812039,10.002384,11.211064,9.60663,9.17568
2,15.0,4.882297,4.9033494,4.8850913,14.121588,11.387756,5.385427,6.6431828,5.226652,7.4598007,5.5624943,7.778992,6.7913637,8.517176,5.6116333,7.633122,5.463739,5.4981594,7.0234637,5.914107,6.39552,5.6612363,8.235364,5.9033585,5.4459805,5.4965286,6.4633913,5.5694885,5.727696,6.5402164,5.8486004,5.8382087,5.973096,5.8496943
3,16.0,9.21913,9.751971,10.111334,9.455559,9.444479,9.451774,9.492796,9.440969,9.448168,9.51989,9.635035,9.397244,9.462568,9.432718,9.465331,9.473731,9.768621,9.529188,9.663918,9.51601,9.627812,9.506546,9.541589,9.478188,9.686207,9.662737,9.556946,9.627839,9.643937,9.749031,9.722845,9.699507,9.8028145
4,18.0,7.6622367,7.696925,7.7928514,7.919746,7.711107,7.773489,7.960559,7.975585,8.004573,7.8306813,7.7771173,7.842008,7.5889454,8.283343,7.569473,7.588675,7.5982633,7.462159,7.7187996,7.748812,7.627755,7.486028,7.5824575,7.672589,7.68414,7.6911054,7.701612,7.7677016,8.216617,7.807161,7.802549,7.8608246,7.865238
5,22.0,10.103886,10.027489,10.102312,10.091304,10.101555,10.26285,10.087708,10.096436,10.063466,10.324479,10.147033,10.550575,10.119944,10.165426,10.024125,10.68291,10.062447,10.096772,10.090242,10.040609,10.057183,10.0418005,10.12217,10.096541,10.059528,10.134284,10.097805,10.231846,10.05056,10.055981,10.03706,10.024374,10.008306
6,26.0,9.60241,9.684712,9.6940565,12.290636,10.687774,11.092199,20.49254,9.958941,10.229971,9.668982,9.921366,9.888575,9.808235,9.791132,9.619981,9.613363,10.190995,10.017294,9.653879,10.328254,9.445964,9.648206,9.742007,9.638845,10.967947,9.995742,9.95071,9.590133,9.773651,9.712656,10.110821,9.747564,9.972855
7,27.0,9.369865,9.270211,9.301335,9.561113,9.274672,9.299928,9.448167,9.385008,9.292494,9.311343,9.2558,9.377882,9.053684,9.002139,9.184012,8.990373,9.518515,9.37564,9.090104,9.436882,9.047385,8.987313,9.159645,9.415268,9.80555,9.361777,9.260941,8.921842,9.324619,8.9220085,9.982585,9.109335,9.260499
8,29.0,8.301155,8.245729,8.305572,8.381663,10.6887665,10.754124,8.760434,8.380781,8.128922,8.16405,8.130594,8.08929,8.091688,8.986977,7.898915,7.8950977,7.9935026,7.8881283,11.92329,12.217467,9.299913,9.367771,8.993969,8.744902,8.668998,8.465141,8.627451,8.136721,8.089773,8.130206,7.7382135,7.888169,10.439243
9,31.0,8.765072,8.885634,9.313128,8.773718,8.720908,8.721288,8.844796,8.766845,8.752839,8.728582,8.8508005,10.166549,8.864871,8.927324,8.847235,8.9884615,8.831082,8.8693,9.6825695,8.969297,9.389639,9.429543,8.851976,8.81627,9.143295,8.942363,8.661589,8.705558,8.930846,9.837763,9.037656,9.032289,8.83436
