,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,10.0,11.591986464728826,11.244822255009979,11.024239873901909,11.033352947384916,11.271134716965966,11.294114232589337,11.02238746152238,10.872866200226396,10.731937796213412,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12.0,42.325444127180006,42.24938922395144,42.27773510054463,42.27771656108682,42.23865539494017,42.14216223779522,42.099879328722395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15.0,38.89887810402442,38.698514620584575,38.48754358970592,38.3106739502973,38.19269747736462,38.0022054108127,37.9119703735626,37.91406012249162,38.00591717249923,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16.0,14.735055200128453,14.871449065248346,14.943002270695537,14.96238777014365,15.055360582568438,15.256980991960944,15.276507669687055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,18.0,20.59087672073766,20.22558652028733,20.15832928781382,20.165810350189027,20.039177347640234,19.933330816224217,20.006547910483427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,22.0,15.310259145844196,15.290979685746056,15.453421103785228,15.477566817459355,15.555654565834182,15.572781213069321,15.43525011479661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,26.0,21.44492820631904,21.24141373540449,21.08006200154324,20.888446404080366,20.63417622481191,20.807883413046678,20.778588148725,20.82643719941703,20.898494570966882,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,27.0,11.909780198356,11.743864339586118,11.877527643959635,11.769655848925641,11.532025917790747,11.57473908576148,11.780472121021297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,29.0,28.09446948172357,28.088240300392215,28.117752555307973,28.1771632927281,28.161694362898675,28.157406407485645,28.158005527322732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,31.0,12.986864137244499,12.857796261481674,12.393806031929518,12.168281740380628,11.831222578203247,11.375077841025702,11.05564068281263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,32.0,20.331880054911387,20.170054817577892,20.357681456967892,20.54664145576097,20.55923365324366,20.603644299617873,20.549076344140488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,33.0,28.378300488577725,28.380593438574476,28.3107521342914,28.314652218866332,28.318619699855397,28.270206405054967,28.21986950323245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,35.0,12.374899524705413,12.357407728522855,12.405777568233496,12.454680938002731,12.401467690045653,12.732461044660282,12.992260732275838,13.284317900596172,13.450173262706162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4.0,29.903316375225963,29.7652257737708,29.645821202031804,29.478629040501367,29.3127038824575,29.19828550102387,29.056244180266233,28.985507243547822,28.918298915913404,28.82778306174034,28.72368791438573,28.562150198491263,28.538199966332186,28.516607028487588,28.358052280186648,28.28682783140942,28.22517023424919,28.197739131556446,28.149193004608943,28.111493255213663,28.09231163038237,28.012154559262576,28.002292596402867,28.011045983516617,27.967142694565545,27.931383043119776,27.93839095257613,27.94577647072405,27.922822734478697,27.883840819923133,27.9170262067068,27.885612228365865,27.87796500173656,27.896716644011054,27.876154281321444,27.92510831405752,27.963449752688533
14,42.0,14.089541193621805,13.885064002396316,13.807894227988772,13.507846951077855,13.293249756027098,13.15321173319766,12.921232241460201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,45.0,11.207312192388317,11.268457913382367,11.239730403933631,10.87474051513614,10.964670742441385,11.095633126825026,11.543177439108394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,47.0,18.711478367680314,18.66778511292794,18.581788943537134,18.63115280495247,18.71445365310316,18.744910084304248,18.898625179422538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,48.0,30.006093059537083,30.188474551553824,30.050872327303452,29.954057573911566,29.799361243622595,29.642542203510054,29.54244265244124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,49.0,29.20840001494783,29.20789345051015,29.056478738549885,29.026174130769228,29.045710568481915,28.9699963139083,28.939428568659455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,54.0,11.773397468620946,11.778102082211497,11.850824040038397,11.87322975299964,11.927397904676805,12.311970018826731,12.475153930177555,12.35896873130628,12.482527063303722,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,55.0,4.843440548682565,5.135524633613356,5.226518959997351,5.28308021064515,5.3437878811245945,5.301153746112404,5.375930828374869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,6.0,14.882350026400424,14.892597045305585,14.878273230954324,14.79918910632279,14.760352962951131,14.625377712019265,14.533032205590036,14.477551053919344,14.394121367725385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,66.0,30.99229037676411,31.431849629876567,31.31437632263108,31.255295533116666,31.49099558875807,30.82293544097304,30.447742106767997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,69.0,21.746413019397053,21.532100717098025,21.657096752458923,21.79551869918189,21.74108065346218,21.658974865477372,21.531615425567196,21.415407033591727,21.597787663898526,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,7.0,16.66198664278223,16.459511558354656,15.963423488073769,15.812915891488856,15.857111900614019,15.84771017591721,15.837057692787958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,8.0,13.19111522624813,13.205166431188703,13.41405864266983,13.476531185082063,13.479115330323037,13.56899450229109,13.875378252452776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
