,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176
0,14.0,9.833496,3.6893554,-3.9573243,56.274414,22.277832,14.282227,163.6853,-55.491943,9.833496,3.6893554,-3.9573243,56.274414,22.277832,14.282227,163.6853,-55.491943,9.833496,6.560449,-3.7515626,56.274414,22.277832,14.282227,163.6853,-55.491943,9.833496,6.560449,-1.808789,56.274414,22.277832,23.07129,163.6853,-52.65747,9.833496,6.560449,-1.808789,56.274414,22.277832,23.07129,163.6853,-52.65747,9.833496,6.560449,-1.808789,56.274414,22.277832,23.07129,163.6853,-52.65747,9.833496,6.560449,-1.808789,56.274414,22.277832,23.07129,163.6853,-52.65747,9.833496,6.560449,-1.808789,56.274414,22.277832,23.07129,163.6853,-52.65747,10.235449,6.560449,-1.808789,98.2666,25.390625,23.07129,163.6853,-52.65747,10.235449,6.560449,-1.808789,98.2666,25.390625,23.07129,163.6853,-52.65747,10.235449,6.560449,-1.808789,98.2666,25.390625,23.07129,163.6853,-52.65747,10.235449,6.560449,-1.808789,98.2666,25.390625,23.07129,158.48877,-52.65747,10.235449,6.560449,-1.808789,98.2666,25.390625,23.07129,158.48877,-52.65747,10.235449,6.560449,-1.808789,98.2666,25.390625,23.07129,158.48877,-52.65747,10.235449,6.120215,-1.808789,98.2666,25.390625,23.07129,158.48877,-52.65747,10.235449,6.120215,-2.6605468,98.2666,25.390625,20.202637,156.09924,-52.86621,11.001074,6.120215,-2.6605468,98.2666,25.390625,20.202637,156.09924,-52.86621,11.091992,11.048925,2.9237304,98.2666,25.390625,28.808594,160.41687,-43.582764,11.091992,11.048925,2.9237304,98.2666,25.390625,28.808594,160.41687,-43.582764,16.355663,11.048925,2.9237304,98.2666,63.476562,28.808594,160.41687,-43.533325,16.355663,11.048925,2.9237304,64.697266,63.476562,28.808594,160.41687,-43.533325,16.355663,11.048925,2.9237304,64.697266,63.476562,28.808594,160.41687,-43.533325
1,21.0,104.30205,32.31416,110.28349,126.09863,70.373535,32.53174,131.48987,-57.50244,104.30205,32.31416,110.28349,126.09863,70.373535,32.53174,131.48987,-57.50244,104.30205,32.31416,110.28349,126.09863,70.373535,32.53174,131.48987,-57.50244,104.30205,32.31416,110.28349,126.09863,70.373535,32.53174,131.48987,-57.50244,104.30205,32.31416,110.28349,126.09863,70.373535,39.916992,131.48987,-57.50244,104.30205,32.31416,110.28349,126.09863,70.373535,39.916992,131.48987,-57.50244,104.30205,32.31416,110.28349,126.09863,70.373535,39.916992,131.48987,-57.50244,11.819336,10.005762,0.8661133,126.09863,70.373535,39.916992,131.48987,-57.50244,11.819336,10.005762,0.8661133,126.09863,70.373535,39.916992,131.48987,-57.50244,11.819336,10.005762,0.8661133,126.09863,70.373535,39.916992,131.48987,-57.50244,10.312012,7.97207,0.8661133,41.015625,70.373535,39.916992,128.53455,-57.892456,10.312012,7.97207,0.8661133,41.015625,69.51904,39.916992,127.10083,-59.782104,10.312012,7.97207,0.8661133,41.015625,69.51904,39.916992,127.10083,-59.782104,10.312012,6.2829103,0.8661133,41.015625,69.51904,39.916992,124.68384,-61.792603,10.312012,6.2829103,0.8661133,41.015625,69.51904,39.916992,124.33777,-61.92993,10.312012,6.2829103,0.8661133,19.53125,69.51904,39.916992,124.33777,-62.297974,10.312012,6.2829103,0.8661133,19.53125,13.122559,33.935547,124.33777,-62.297974,9.201856,4.3975587,-1.287207,20.812988,11.84082,12.329102,124.33777,-63.1604,9.201856,4.3975587,-1.287207,20.812988,11.84082,12.329102,124.33777,-63.1604,9.201856,4.3975587,-1.3302734,20.812988,11.84082,7.1411133,121.23413,-63.1604,9.201856,4.3975587,-1.3302734,20.812988,11.84082,11.413574,122.60193,-63.1604,9.287989,4.3975587,-1.3302734,20.812988,11.84082,15.686035,122.60193,-63.0011
2,23.0,8.354883,1.2728516,5.268457,1.0986328,0.91552734,1.0986328,12.667236,-57.249756,8.354883,1.2728516,5.268457,0.9765625,0.91552734,1.0986328,12.667236,-57.249756,8.354883,1.3302734,5.268457,0.9765625,0.91552734,1.0986328,12.667236,-57.249756,8.354883,1.5647461,5.2780275,5.493164,1.0986328,1.6479492,15.276489,-56.85974,8.354883,1.5647461,5.2780275,5.493164,1.0986328,1.6479492,15.276489,-56.85974,8.354883,1.5647461,5.2780275,5.493164,1.0986328,1.6479492,15.276489,-56.85974,8.354883,1.5647461,5.2780275,5.493164,1.0986328,1.6479492,15.276489,-56.85974,8.354883,1.5647461,5.2780275,5.493164,1.0986328,1.6479492,15.276489,-56.85974,8.354883,1.5647461,5.2780275,5.493164,1.0986328,1.6479492,15.276489,-56.85974,8.354883,1.5647461,5.2780275,5.493164,1.0986328,1.6479492,15.276489,-56.85974,8.345312,1.5647461,5.2780275,5.493164,1.0986328,1.6479492,15.276489,-56.85974,8.330957,1.5647461,5.2780275,5.493164,1.0986328,1.6479492,15.276489,-56.85974,8.345312,1.5647461,5.2780275,5.493164,1.0986328,1.6479492,15.276489,-56.85974,8.345312,1.5647461,5.2780275,5.493164,1.0986328,1.6479492,15.276489,-56.85974,8.345312,1.5647461,5.2780275,5.493164,1.0986328,1.6479492,15.276489,-56.85974,8.345312,1.378125,5.249316,1.2207031,0.8544922,0.91552734,14.194336,-57.057495,8.345312,1.378125,5.249316,1.2207031,0.8544922,0.91552734,14.194336,-57.057495,8.345312,1.378125,5.249316,1.2207031,0.8544922,0.91552734,14.194336,-57.057495,8.345312,1.378125,5.249316,1.2207031,0.8544922,0.91552734,14.194336,-57.057495,8.345312,1.378125,5.249316,1.2207031,0.8544922,0.91552734,14.194336,-57.06848,8.345312,1.3254883,5.244531,0.4272461,0.8544922,0.5493164,13.892212,-57.06848,8.345312,1.3254883,5.244531,0.4272461,0.8544922,0.5493164,13.892212,-57.06848
3,25.0,8.814258,-4.4262695,1.1005859,15.686035,13.183594,13.793945,-102.00806,-51.185303,8.814258,-4.4262695,1.1005859,15.686035,13.183594,13.793945,-102.00806,-51.185303,8.814258,-4.4262695,1.1005859,15.686035,13.183594,13.793945,-102.00806,-51.185303,8.814258,-4.4262695,1.1005859,15.686035,13.183594,13.793945,-102.00806,-51.185303,8.814258,-4.4262695,1.1005859,15.686035,13.183594,13.793945,-102.12341,-51.185303,8.814258,-4.6128907,1.1005859,15.686035,13.183594,13.793945,-104.50745,-51.185303,8.814258,-4.6128907,1.1005859,15.686035,13.183594,13.793945,-104.50745,-51.185303,8.0390625,-4.6320314,-1.3446289,15.686035,2.9907227,13.793945,-104.50745,-51.696167,8.187403,-4.8569336,-0.8613281,22.277832,8.666992,16.052246,-102.20581,-50.026245,8.187403,-4.8569336,-0.8613281,22.277832,8.666992,16.052246,-102.20581,-50.026245,8.187403,-4.8569336,-0.8613281,22.277832,8.666992,16.052246,-102.20581,-50.026245,8.187403,-4.8569336,-0.8613281,22.277832,8.666992,16.052246,-102.20581,-50.026245,8.187403,-4.8569336,-0.8613281,22.277832,8.666992,16.052246,-102.20581,-50.026245,8.187403,-4.8569336,-0.8613281,22.277832,8.666992,16.052246,-102.20581,-50.026245,8.187403,-4.8569336,-0.8613281,22.277832,8.666992,16.052246,-102.20581,-50.026245,8.187403,-4.8569336,-0.8613281,22.277832,8.666992,16.052246,-102.20581,-50.026245,8.187403,-4.8569336,-0.8613281,22.277832,8.666992,16.052246,-102.20581,-50.026245,8.187403,-4.8569336,-0.8613281,22.277832,8.666992,16.052246,-102.20581,-50.026245,8.187403,-4.8569336,-0.8613281,22.277832,8.666992,16.052246,-102.20581,-50.026245,10.082324,-0.043066405,1.7657226,67.38281,35.217285,27.09961,-102.20581,-50.026245,10.082324,-0.043066405,1.7657226,67.38281,35.217285,27.09961,-99.871216,-51.350098,10.082324,-0.043066405,1.7657226,67.38281,35.217285,27.09961,-99.871216,-51.915894
4,34.0,7.7950196,3.277832,-5.67041,67.50488,11.352539,3.7841797,169.28284,-47.092896,7.7950196,3.277832,-5.67041,67.50488,11.352539,3.7841797,169.28284,-47.092896,7.876367,3.277832,-5.67041,67.50488,11.352539,10.864258,169.28284,-46.82373,7.876367,3.277832,-5.67041,67.50488,11.352539,10.864258,169.28284,-46.82373,7.876367,3.277832,-5.67041,67.50488,11.352539,10.864258,169.28284,-46.82373,7.876367,3.277832,-5.67041,67.50488,11.352539,10.864258,169.28284,-46.82373,7.876367,3.277832,-5.67041,67.50488,11.352539,10.864258,169.28284,-46.82373,7.876367,3.277832,-5.67041,67.50488,11.352539,10.864258,169.28284,-46.82373,7.876367,2.8902345,-5.900098,11.413574,4.333496,10.864258,168.70605,-46.82373,7.876367,2.8902345,-5.900098,11.413574,4.333496,10.864258,168.70605,-46.82373,7.876367,2.8902345,-5.900098,11.413574,4.333496,10.864258,168.70605,-46.82373,7.876367,2.8902345,-5.900098,11.413574,4.333496,10.864258,168.70605,-46.82373,7.876367,2.8902345,-5.900098,11.413574,2.1972656,10.864258,168.70605,-46.82373,7.876367,2.8902345,-5.900098,11.413574,2.1972656,10.864258,168.70605,-46.82373,7.4648438,2.4643555,-6.239844,11.413574,0.9765625,4.8217773,162.29553,-46.867676,7.436133,2.4643555,-6.239844,0.8544922,0.9765625,1.0986328,161.25183,-46.99951,7.436133,2.4643555,-6.239844,0.8544922,0.9765625,1.0986328,160.24658,-46.99951,7.436133,2.5361328,-6.239844,0.8544922,0.6713867,1.0986328,160.11475,-46.99951,7.4648438,2.5361328,-6.239844,0.8544922,1.0375977,1.0986328,159.58191,-46.99951,7.4648438,2.5361328,-6.239844,0.8544922,1.0375977,1.0986328,159.58191,-46.99951,7.4648438,2.5361328,-6.244629,4.1503906,1.0375977,5.3710938,161.94397,-46.466675,7.4648438,2.5361328,-6.244629,4.1503906,1.0375977,5.3710938,161.94397,-46.450195
5,39.0,11.206836,2.3782227,-0.55986327,8.056641,4.699707,14.038086,151.56189,-75.70679,11.206836,2.3782227,-0.55986327,8.056641,4.699707,14.038086,151.56189,-75.70679,11.206836,2.1054688,-0.55986327,5.3100586,4.699707,14.038086,149.057,-76.94275,11.757129,1.8135742,-0.2727539,8.666992,9.094238,10.620117,147.9419,-77.948,11.757129,1.6652343,-0.2727539,8.666992,9.094238,5.7373047,147.9419,-78.84888,11.757129,1.6748047,-0.2727539,8.666992,9.094238,5.554199,147.9419,-78.4259,11.757129,1.7226562,-0.2727539,8.666992,9.094238,5.554199,147.9419,-78.07434,11.757129,1.7226562,-0.2727539,8.666992,9.094238,5.554199,147.9419,-78.07434,11.757129,1.8279297,-0.2727539,8.666992,9.094238,6.958008,147.9419,-77.81616,11.757129,1.8279297,-0.2727539,8.666992,9.094238,6.958008,147.9419,-77.81616,11.757129,1.8279297,-0.2727539,8.666992,9.094238,6.958008,143.62976,-77.81616,11.757129,1.8279297,-0.2727539,8.666992,9.094238,6.958008,143.62976,-77.81616,11.757129,1.8279297,-0.2727539,8.666992,9.094238,6.958008,143.62976,-77.81616,11.757129,1.8279297,-0.2727539,8.666992,9.094238,6.958008,143.62976,-77.81616,11.757129,1.8279297,-0.2727539,8.666992,9.094238,6.958008,143.62976,-77.81616,9.81914,1.8279297,-1.0766602,2.319336,6.225586,6.958008,139.14185,-77.81616,9.81914,1.8279297,-1.0766602,2.319336,6.225586,6.958008,136.9281,-77.81616,9.81914,2.081543,-1.043164,5.3710938,6.225586,6.958008,135.61523,-76.81641,9.81914,2.081543,-1.043164,5.3710938,6.225586,6.958008,135.50537,-76.81641,9.81914,2.081543,-1.043164,5.3710938,6.225586,6.958008,135.50537,-76.81641,9.80957,2.081543,-1.043164,5.3710938,1.5258789,6.1035156,135.3241,-76.81641,9.80957,2.081543,-1.043164,5.3710938,1.5258789,6.1035156,133.01147,-76.81641
6,43.0,11.417383,6.306836,-4.3401365,57.678223,45.410156,28.564453,179.98352,-35.683594,11.417383,6.306836,-4.3401365,57.678223,45.410156,28.564453,179.98352,-35.683594,11.417383,6.306836,-4.3401365,57.678223,45.410156,28.564453,179.98352,-35.683594,11.417383,6.306836,-4.3401365,57.678223,45.410156,28.564453,179.98352,-35.683594,11.417383,6.306836,-2.3064454,57.678223,45.410156,28.564453,179.98352,-35.683594,11.417383,6.44082,-2.3064454,47.973633,45.410156,28.564453,179.98352,-34.974976,11.417383,6.44082,-2.3064454,47.973633,45.410156,28.564453,179.98352,-34.974976,11.417383,6.44082,-2.3064454,47.973633,45.410156,28.564453,179.98901,-34.848633,11.417383,6.44082,-2.3064454,47.973633,42.541504,28.564453,179.98901,-34.848633,9.331055,6.44082,-2.3064454,47.973633,42.541504,28.564453,179.98901,-34.848633,9.331055,6.44082,-2.3064454,47.973633,42.541504,26.489258,179.98901,-34.848633,9.331055,6.44082,-2.3064454,47.973633,42.541504,26.489258,179.98901,-34.848633,8.938672,6.44082,-2.3064454,47.973633,37.231445,26.489258,179.98901,-34.848633,8.938672,6.44082,-2.3064454,47.973633,37.231445,26.489258,179.98901,-34.848633,8.938672,6.44082,-2.3064454,47.973633,18.249512,23.742676,179.98901,-34.848633,8.938672,6.44082,-2.3064454,47.973633,18.249512,25.390625,179.98901,-34.848633,8.938672,6.44082,-3.6654296,44.25049,11.474609,25.390625,179.98901,-34.848633,7.7998047,4.694238,-3.6654296,44.25049,11.474609,25.6958,179.98901,-34.848633,7.7998047,4.694238,-3.6654296,44.25049,11.474609,25.6958,179.98901,-34.848633,7.7998047,4.694238,-3.6654296,44.25049,11.474609,25.6958,179.98901,-34.925537,7.7998047,146.99521,-3.6654296,789.4287,904.7241,1330.2612,179.98901,-34.8761,7.7998047,146.99521,-3.6654296,789.4287,904.7241,1330.2612,179.98901,-34.8761
7,46.0,11.972461,9.268847,4.6463866,31.677246,100.03662,46.38672,139.5758,-41.59973,11.972461,9.268847,4.6463866,31.677246,100.03662,46.38672,139.5758,-41.59973,11.972461,9.268847,4.6463866,31.677246,100.03662,46.38672,139.52637,-41.59973,11.972461,9.268847,4.6463866,35.15625,100.03662,46.38672,138.94409,-43.346558,10.474707,7.35,0.28710938,35.15625,18.859863,27.09961,138.94409,-49.29016,9.603808,6.9671874,-2.4978516,35.15625,18.859863,7.873535,138.28491,-49.29016,9.603808,6.9671874,-2.4978516,35.15625,18.859863,7.873535,138.28491,-49.29016,9.603808,6.9671874,-2.4978516,35.15625,18.859863,9.643555,133.81348,-48.966064,9.603808,6.9671874,-3.0912108,35.15625,18.859863,9.643555,133.797,-48.10913,9.603808,6.9671874,-3.0912108,35.15625,18.859863,9.643555,133.797,-48.10913,9.603808,6.9671874,-3.0912108,35.15625,18.859863,9.643555,133.797,-45.862427,9.603808,6.9671874,-3.0912108,35.15625,18.859863,24.353027,134.96155,-45.439453,9.603808,6.9671874,-3.0912108,35.15625,18.859863,24.353027,136.35681,-45.439453,9.603808,6.9671874,-3.0912108,35.15625,18.859863,24.353027,136.35681,-45.439453,9.603808,6.9671874,-2.4978516,38.757324,18.859863,24.353027,136.35681,-45.439453,9.546387,6.436035,-2.4978516,38.757324,18.859863,24.353027,136.35681,-45.439453,9.546387,6.436035,-2.4978516,38.757324,18.859863,24.353027,136.35681,-45.439453,9.546387,6.436035,-2.4978516,38.757324,18.859863,24.353027,136.35681,-45.439453,9.546387,6.436035,-2.4978516,38.757324,18.859863,24.353027,136.35681,-45.439453,9.546387,6.436035,-2.4978516,38.757324,18.859863,24.353027,136.35681,-45.439453,9.546387,6.436035,-2.4978516,38.757324,18.859863,24.353027,136.35681,-45.439453,9.546387,6.436035,-2.4978516,38.757324,18.859863,24.353027,136.35681,-45.439453
8,51.0,10.402929,2.4643555,-0.057421874,6.5307617,4.5166016,6.958008,118.723755,-76.07483,10.493848,2.5409179,0.033496093,6.5307617,5.2490234,7.446289,118.723755,-75.79468,10.493848,2.5409179,0.033496093,6.5307617,5.2490234,7.446289,118.723755,-75.79468,10.493848,2.5409179,0.033496093,6.5307617,5.2490234,7.446289,118.723755,-75.79468,10.493848,2.5409179,0.033496093,4.699707,5.2490234,7.446289,118.723755,-75.79468,10.493848,2.5409179,0.033496093,3.2348633,5.2490234,7.446289,118.723755,-75.79468,10.493848,2.5409179,0.033496093,3.2348633,5.2490234,7.446289,120.89905,-75.79468,10.493848,2.5409179,0.033496093,3.2348633,5.2490234,7.446289,120.89905,-75.79468,10.493848,2.8663087,0.033496093,5.554199,5.2490234,8.483887,120.89905,-72.8064,10.493848,2.8663087,0.033496093,5.554199,5.2490234,8.483887,120.89905,-72.8064,10.493848,2.8663087,0.033496093,5.554199,5.2490234,8.483887,120.89905,-72.8064,10.493848,2.8663087,0.033496093,6.7749023,5.2490234,8.483887,120.89905,-72.8064,10.493848,2.8663087,0.033496093,7.9345703,5.2490234,8.483887,120.89905,-72.8064,10.221094,2.8663087,-0.18183593,7.9345703,4.8828125,8.483887,120.89905,-72.8064,10.221094,2.8663087,-0.18183593,7.9345703,4.8828125,8.483887,120.89905,-72.8064,10.221094,2.8663087,-0.18183593,7.9345703,4.8828125,8.483887,120.89905,-72.8064,10.221094,2.8663087,-0.18183593,7.9345703,4.8828125,8.483887,120.89905,-72.8064,10.27373,2.8663087,-0.10048828,7.9345703,4.8828125,8.483887,120.89905,-72.8064,10.27373,2.8663087,-0.10048828,7.9345703,4.8828125,8.483887,116.97693,-72.8064,10.27373,2.8663087,-0.10048828,7.9345703,4.8828125,8.483887,116.97693,-72.8064,10.27373,2.7945313,-0.10048828,7.9345703,4.8828125,8.422852,115.59265,-73.00964,10.27373,2.6605468,-0.10048828,7.9345703,4.8828125,8.422852,115.59265,-74.13574
9,57.0,9.474609,3.2251954,-2.507422,8.239746,6.958008,3.540039,138.24097,-66.97266,9.474609,3.2251954,-2.507422,8.239746,6.958008,3.540039,138.24097,-66.97266,9.474609,3.2251954,-2.507422,8.239746,6.958008,5.9814453,138.24097,-66.97266,9.474609,3.2251954,-2.507422,8.239746,6.958008,5.9814453,137.8949,-66.97266,9.474609,3.2251954,-2.507422,8.239746,6.4697266,5.9814453,137.67517,-66.97266,9.469824,2.938086,-2.5839844,8.239746,6.4697266,5.9814453,137.51587,-67.022095,9.469824,2.938086,-2.5839844,8.239746,6.4697266,5.9814453,137.90588,-66.989136,9.469824,2.938086,-2.5839844,8.239746,6.4697266,5.9814453,137.90588,-66.989136,9.469824,2.938086,-2.636621,5.432129,15.075684,5.9814453,137.90588,-66.989136,9.469824,2.938086,-2.636621,5.432129,15.075684,5.9814453,138.62,-66.989136,9.469824,3.0146484,-2.6174805,5.432129,15.075684,6.164551,138.80676,-66.989136,9.469824,3.0146484,-2.6174805,5.432129,15.075684,6.164551,138.80676,-66.989136,9.469824,3.0146484,-2.6174805,5.432129,15.075684,6.164551,138.80676,-66.989136,9.469824,3.0146484,-2.6174805,5.432129,15.075684,6.164551,138.80676,-66.989136,9.469824,3.0146484,-2.6174805,5.432129,15.075684,6.164551,138.80676,-66.989136,9.469824,3.0146484,-2.6174805,2.4414062,15.075684,6.164551,139.72412,-66.989136,9.618164,3.0146484,-2.603125,7.507324,23.864746,6.164551,139.72412,-66.989136,9.618164,3.0146484,-2.603125,7.507324,23.864746,6.164551,139.72412,-66.989136,9.618164,3.0146484,-2.603125,7.507324,23.864746,6.164551,141.47644,-67.08252,9.618164,3.0146484,-2.603125,7.507324,23.864746,6.164551,142.05322,-67.08252,9.618164,3.0146484,-2.603125,7.507324,23.864746,6.164551,143.26721,-67.08252,9.618164,3.0146484,-2.603125,7.507324,23.864746,6.164551,143.26721,-67.08252
