,0,1,2,3,4,5,6
0,10.0,416.4297996439075,571.8931003556389,605.2617138545177,708.5277237206591,851.947273100103,912.6111619818665
1,12.0,615.5111650320171,791.1907955805054,843.2872342312268,860.285941151316,647.2043821928602,329.84396549532835
2,15.0,131.99658696604286,298.2196598525255,529.5383892224459,733.4353540962396,879.2617047752633,945.3483684877449
3,16.0,405.92814812151795,456.6214778701115,532.9116007553309,577.9326506678514,648.2785938073728,739.7934816804021
4,18.0,555.5663459946037,614.5264658476053,767.5498542700269,835.1841475318065,693.4110273599882,596.907587077111
5,22.0,569.0723398970163,712.6023771211791,761.7987191935346,840.2000755822506,882.6413817630305,882.910204242273
6,26.0,411.59533625682093,722.5147834760473,812.8918649029974,844.7488663910851,867.3022346578358,844.3447436326072
7,27.0,583.5755602008334,768.6860433107427,872.7483163858715,878.2905603201656,892.5251653127419,862.3774526275391
8,29.0,433.43666861126775,713.303183628417,811.7664829491125,776.3202807063119,620.8868567409257,445.5518518488477
9,31.0,434.4593709546742,458.5653230379327,585.8143842364329,590.7939163575371,672.0768932832265,836.132338575712
10,32.0,279.19442069813044,417.38107997027225,668.8799168171566,881.1321487812282,828.4067989072261,699.1299570405055
11,33.0,781.1405524580435,657.6779116194091,533.6549859963992,476.02228975432104,600.3633382415401,592.3542066938394
12,35.0,461.79388061338653,558.371153203635,758.0158805687021,801.0539242493776,493.29535647640586,292.79625658880235
13,4.0,413.5735340685629,585.6978774601278,728.597063552434,840.6640492284712,923.0381530025408,948.8593151692379
14,42.0,179.34847361476136,284.74165194588386,375.3496049341497,511.4834365066603,652.2531310820752,714.5519158806164
15,45.0,289.6009433243048,522.5361761050351,637.0603454984032,707.4653713275387,837.2530166755995,936.9874266271238
16,47.0,214.5828814558729,505.8044757971795,805.1090288253959,568.1526381502215,287.01498469298394,382.7645546866405
17,48.0,232.39250496543772,474.10292107304684,686.7020045059508,834.0465745308315,933.2043227722748,981.9746810045139
18,49.0,209.78306706118505,348.25111194270664,596.3612008022959,773.1156794974,892.2803967738946,952.9460389561547
19,54.0,560.5881211726706,840.6081216507966,791.2353830069268,707.8614839980295,727.4582574211688,688.9725690435502
20,55.0,513.5429743311652,730.1520408553548,860.744414526312,929.5308858249855,942.2629926759695,952.960050864608
21,6.0,212.8453950250783,291.5672198571535,307.4131950778977,217.27628069816063,168.34663238879534,167.55957892466827
22,66.0,178.60816211683814,163.46997324597,144.79008068604088,156.4396467633457,131.0103680476277,84.26620772866441
23,69.0,339.1416728610509,315.2254867403865,381.1872663835717,468.76872199366795,585.6764951841654,640.5386811902879
24,7.0,811.0233713403046,656.7321800371415,498.1070048952652,396.16022786447934,275.47830087085276,187.8861919981043
25,8.0,416.00909234110645,532.0330236746149,720.6586682145015,802.6605266429203,850.6320137778466,883.3933383519635
