,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,14.0,174.57631250799432,160.60217262303667,188.34336256481728,207.53794833716555,158.48078747911367,177.78888854168838,196.51794304606938,183.49495905882537,57.76581072649192,169.36946752270794,175.69527142859272,211.61814666989218,200.1305696238313,187.81386952719137,106.22873062348313,144.55670167792292,183.2510845806922,51.95190083144215,143.28642643321103,223.1013720760637,123.09747216868828,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
1,21.0,31.689768304493924,10.2851895445316,18.734993995195193,26.926108261730825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,23.0,45.41422258393538,63.90614646147548,46.64723016034985,69.47466444157567,63.579175316201045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,25.0,49.84099665875833,136.16420733079855,33.48494770838246,45.4009283772993,30.947948400565778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,34.0,110.00972952229799,0.0,133.61302331733984,100.80712640827471,112.10867661292247,106.93661532484366,100.05896182356597,108.09199330668868,82.22668487081198,93.14733653655844,77.75658279400177,77.22972065251898,66.38137474909846,81.31352217736537,74.95026617697899,109.66396259190175,80.42239108391594,83.295134282172,,107.93164503517956,91.0551800067839,51.3136493756281,95.37499672345997,132.61359984520945,125.65313366565913,83.76729672133392,108.32637023288125,215.4692553474857,157.35084982556785,,,,,,,,,0.0,,,4.0,,,,,,,
5,39.0,0.0,28.32223085017454,131.50749873000484,144.44289529083804,86.15590519517511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,43.0,29.536794824772542,41.760356028656396,23.734630884292482,27.750647134973637,20.7008166390558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,46.0,183.41759350030242,164.4716920931988,175.9205869989545,120.2897861543582,167.43856625457514,190.66522143974413,232.4655583686848,223.9288632634684,179.7575146736087,169.9704116262662,189.68691745627655,168.0592703999007,151.55774477076386,206.35891063872188,96.03240193925289,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,51.0,84.44422057718863,197.12601722417736,0.0,83.08293045706401,12.998461447417537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,57.0,184.55953571198165,214.07769894658412,150.87867090259422,159.21107437922197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,71.0,153.7438032077826,69.22142929513548,163.32482971061074,137.58766973789957,43.61447262345634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,72.0,,,48.146477642646424,40.597912214675226,40.68283289745176,33.44396455912634,,44.09601485583357,43.378755700512706,38.491385201027484,31.69357418512622,59.781874782493986,,222.03547013934508,40.21189868699084,38.85612570504143,55.15596647854883,29.283544020716192,36.10083522634876,27.630700702330646,37.71173831330996,44.64496080958703,28.063529839201546,175.62713027573184,137.42998217274132,214.0,156.36993175017875,161.9362837661776,,,,,,,,,,,,,,,,,,,,
12,77.0,31.024283599134176,26.987651497181698,37.23010120624966,20.393428161509412,28.61609488428833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
