,0,1,2,3,4
0,10.0,413122.03395714157,548309.412646378,884275.8653086172,483790.4018861301
1,12.0,194251.16983241745,211352.07708787467,37456933.32072744,7644945.461238023
2,15.0,11570480.886862224,750304.4747933544,133734.92329443624,65265.36971735739
3,16.0,91761.25402762678,141071.2866336358,60654.04180116243,26207.428858362255
4,18.0,5086788.462914246,338676.708069295,133707.40707446876,10844.476930499015
5,22.0,310546.77898818505,211642.66578976254,142300.72625093782,79352.9453479035
6,26.0,41182.309926999966,14307.753728941905,153199.06369068986,77897.37747528075
7,27.0,177572.97048226433,62707.08406777341,71000.81528396874,18194.254818701495
8,29.0,363995.3982661606,105050.93618035468,121403.43154584974,47962.77427788242
9,31.0,22212330.40761797,283758.5217890767,2361144.545651456,43822.96826305211
10,32.0,147581.69056680464,74111.74276696255,458164.1618337764,33232.24878111085
11,33.0,25761.07439330565,39777.63318461733,227747.8006570862,114110.61098537348
12,35.0,399544.50493418926,104522.95949846372,273397.51321752183,186141.04023350475
13,4.0,357492.06272944505,663620.0887706248,907064.8402455642,418832.6418660555
14,42.0,609527.8982603769,281722.28555191436,369143.93384088867,129445.08724160826
15,45.0,185202.40213772847,555615.8708824181,138904.58446900395,288408.18781856523
16,47.0,242651.3523570362,109770.18627185503,187052.99918098602,1602847.9424366415
17,48.0,82424.29812083076,36232.772924834244,35395.006177567106,22034.09268638372
18,49.0,122134.53561132614,117087.05647660328,251427.72738382107,4079647.6697715092
19,54.0,97949.98076104115,220362.1732205876,51824.59189502494,116401.17787980934
20,55.0,95470.34412087812,138448.3620409904,372728.83815012756,617851.2546782132
21,6.0,5226072.437416014,86802.97933054461,207375.50430562723,3716509.577715912
22,66.0,221434.03409296612,121125.00299985812,157692.7800889093,67082.91692417215
23,69.0,77974.93407686836,74230.61488900868,609278.1911831466,108495.9065222838
24,7.0,568706.6761046568,250905.20911914986,137483.77756051056,65052.25661434303
25,8.0,238892.0095415232,487921.4912972705,435929.70859300124,124488.95303577438
