,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,14.0,5.196156024932861,5.202289581298828,5.206966400146484,5.213284969329834,5.213827610015869,5.213380813598633,5.212783336639404,5.2176971435546875,5.22515869140625,5.230432510375977,5.225366592407227,5.230050563812256,5.236168384552002,5.299662113189697,5.298062801361084,5.317509174346924,5.316891193389893,5.303121089935303,5.27349328994751,5.229837417602539,5.171726703643799,5.0942277908325195,4.994199275970459,4.860202312469482,4.690148830413818,4.435091972351074,4.153289318084717,3.7765519618988037,3.797349214553833,3.792780876159668,3.785430669784546,3.7777225971221924,3.769484281539917,3.753476142883301,3.746523857116699,,,,,,,,,,
1,21.0,5.082499980926514,5.067995548248291,5.061692714691162,5.057624816894531,5.053818225860596,5.053960800170898,5.042938709259033,5.436316013336182,5.428588390350342,5.413047790527344,5.413233280181885,5.416670322418213,5.4164042472839355,5.415750503540039,5.410872936248779,5.404750823974609,5.399862289428711,5.391534328460693,5.38934850692749,4.944937229156494,,,,,,,,,,,,,,,,,,,,,,,,,
2,23.0,4.7186665534973145,4.8264312744140625,4.919957637786865,5.002202987670898,5.07485818862915,5.125466346740723,5.177454471588135,5.222558975219727,5.262032985687256,5.297176361083984,5.326305389404297,5.352771759033203,5.374687194824219,5.370961666107178,5.368659973144531,5.366372585296631,5.364187717437744,5.361532688140869,5.359145641326904,5.357401371002197,5.355384349822998,5.353235721588135,5.475485324859619,5.473443508148193,5.471662998199463,5.471425533294678,5.471211910247803,5.471197605133057,5.472146987915039,5.472692489624023,5.472723484039307,5.473631381988525,5.474910736083984,5.476161479949951,5.353230953216553,,,,,,,,,,
3,25.0,4.855329990386963,4.869207859039307,4.572419166564941,4.573561668395996,4.572822093963623,4.5715742111206055,4.571256160736084,4.57310152053833,4.592132568359375,4.60744571685791,4.613368511199951,4.652806758880615,4.64915657043457,4.630723476409912,4.613852500915527,4.605947494506836,4.600327968597412,4.608487606048584,4.6232757568359375,4.634251117706299,4.63105583190918,4.628171920776367,4.627435207366943,4.622376918792725,4.636048793792725,4.663097381591797,4.68618106842041,4.707076549530029,4.722942352294922,4.731751918792725,4.73471212387085,4.737514019012451,4.739229202270508,4.73940896987915,4.737371921539307,,,,,,,,,,
4,34.0,5.112707138061523,5.165778636932373,5.215359210968018,5.262353420257568,5.307012557983398,5.303562641143799,6.0859222412109375,6.0896172523498535,6.0940704345703125,6.097423076629639,6.42307710647583,6.425119876861572,6.4259467124938965,6.426805019378662,6.426506042480469,6.420978546142578,6.414863586425781,6.408633708953857,5.665546894073486,5.651941299438477,5.638208866119385,5.617914199829102,5.190920829772949,5.168751239776611,5.148381233215332,5.127182483673096,5.107367992401123,5.0981831550598145,5.089664936065674,5.080406188964844,5.07087516784668,5.0612945556640625,5.051261901855469,5.051793575286865,5.054526329040527,,,,,,,,,,
5,39.0,3.912449836730957,3.849799394607544,3.7778117656707764,3.7811412811279297,3.8583076000213623,3.9261245727539062,3.9860970973968506,4.041358470916748,4.092644214630127,4.138916015625,4.182830333709717,4.224138259887695,4.263636589050293,4.302131652832031,4.338930606842041,4.342557907104492,4.342403411865234,4.339418888092041,4.3394269943237305,4.335433483123779,4.330996990203857,4.3257317543029785,4.3297529220581055,4.3386359214782715,4.835170745849609,4.826838970184326,4.817971706390381,4.813861846923828,4.812571048736572,4.818142414093018,4.826528549194336,4.833146572113037,4.840048789978027,4.845959663391113,4.870797634124756,,,,,,,,,,
6,43.0,5.474283695220947,5.470409393310547,5.461828708648682,5.452382564544678,5.442328929901123,5.4317803382873535,5.420703887939453,5.415990352630615,5.4076972007751465,5.398718357086182,5.387710094451904,5.391672134399414,5.400581359863281,5.400807857513428,5.433631896972656,5.451399326324463,5.451969146728516,5.452764511108398,5.4534454345703125,5.447723865509033,5.445981502532959,5.445080280303955,5.456850528717041,5.479905605316162,5.489481449127197,5.4840989112854,5.465020656585693,5.469831943511963,5.492166996002197,5.50424337387085,5.515584945678711,5.515313625335693,5.53985595703125,5.559153079986572,5.5604248046875,,,,,,,,,,
7,46.0,5.50104284286499,5.530245304107666,5.556798934936523,5.570470333099365,5.571384906768799,5.2474684715271,5.2433319091796875,5.233604907989502,5.233582019805908,5.228824138641357,5.238199710845947,5.255710601806641,5.275177001953125,5.294485569000244,5.307435512542725,5.309172630310059,5.3151092529296875,5.329227447509766,5.344226837158203,5.358323574066162,5.36317253112793,5.376547336578369,5.374802112579346,5.359676837921143,5.34396505355835,5.326151371002197,5.3133158683776855,5.312484264373779,5.295684337615967,5.275360584259033,5.227406978607178,5.189889907836914,5.157233715057373,5.1235504150390625,5.103637218475342,,,,,,,,,,
8,51.0,3.9707138538360596,3.9651124477386475,3.940657615661621,3.9253671169281006,4.128329753875732,4.340786933898926,4.480839252471924,4.589897632598877,4.672110080718994,4.738990306854248,4.79580545425415,4.85189151763916,4.902597904205322,4.9486165046691895,5.154287815093994,5.15563440322876,5.128163814544678,5.073442459106445,5.019715785980225,4.962764263153076,4.908463954925537,4.846906661987305,4.770172595977783,4.6812424659729,4.581010341644287,4.852702617645264,4.605495929718018,4.60997200012207,4.613977432250977,4.616390228271484,4.618200778961182,4.621346473693848,4.620492458343506,4.622308731079102,4.62655782699585,4.627692699432373,4.624941349029541,4.160433292388916,4.148466110229492,4.1354851722717285,4.124874591827393,4.114866733551025,4.1050639152526855,4.099950313568115,4.092278003692627
9,57.0,4.332181453704834,4.3135552406311035,4.277537822723389,4.258773326873779,4.249251842498779,4.24297571182251,4.239691257476807,4.235902786254883,4.2322001457214355,4.227825164794922,4.224757671356201,4.224096775054932,4.229450702667236,4.235729694366455,4.239654064178467,4.243171215057373,4.2463154792785645,4.251366138458252,5.191730976104736,5.192309856414795,5.192746639251709,5.1930060386657715,5.193197727203369,5.193492889404297,5.193930149078369,5.252819538116455,5.28382682800293,5.358913421630859,5.399181365966797,5.439294815063477,4.890541076660156,4.941522598266602,4.987880706787109,5.031909942626953,5.075183391571045,5.114999771118164,5.1523261070251465,5.138451099395752,5.146537780761719,5.095592975616455,5.098696231842041,5.097855091094971,5.095583915710449,5.093809604644775,5.5178704261779785
