,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
0,10.0,,9.1104335791443,278.0,278.0,25.67099530598687,46.932900430903935,71.28035415799285,0.0,,4.988876515698588,24.086100699647925,58.11217334911873,,211.5844984870111,0.0,67.71127178343804,,,,216.98617467479352,7.681145747868608,231.52994526746545,194.64497596050782,133.95853421446836,0.0,210.60758665241755,7.542472332656507,198.0,,102.77915914987608,168.67424225411537,0.0,,,,,,,,,,,,,,,,,8.660254037844387,,,,,,,,,
1,12.0,174.00938281059,147.25488107359973,193.740949609409,201.8474671627068,155.80509948311484,175.1101240806926,163.98904891261887,167.36594918544682,155.45631755148025,140.569564519265,146.64242223858687,147.70541252401313,193.8600378771094,182.18933258724908,209.9108276281992,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15.0,39.699214782171545,104.76640682967036,134.0,43.3196331619273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16.0,67.11643919211774,58.31346713555143,189.36300861168982,48.17129673572325,141.25255055573885,31.104410860840943,27.339622989701724,21.97562523741164,21.711751685365616,27.48284313288323,49.43104865798997,214.45822571893203,182.80502903077203,98.39975811298632,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,18.0,186.93711342320444,201.04326538788393,213.045992784005,178.94566499473567,180.32681442314674,156.73331915496888,160.4138921042855,150.7050342430178,127.80637361181354,178.93138349657949,200.51582370365577,201.38293499000926,135.950404179959,182.27759216572076,184.11161254134998,194.14777715698935,144.46449390767268,176.54728349838066,198.9943802647005,74.06636476086084,207.74606752337954,201.1164824328748,166.7031900721966,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,22.0,214.5913325369876,121.77615570695862,116.31905453957056,65.4856616526562,188.0186160995767,171.1047617869615,88.98439313847244,119.39581232187334,130.89473671147144,142.24860866337733,43.76606624736619,181.46073955542008,144.55775078029401,204.9153995864008,102.67748860712686,199.13061040432734,132.4722193098949,108.63598748931119,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,26.0,79.67999999999999,37.17551483963178,54.25574983845071,23.622373482053405,219.71401396789486,41.22257264979672,192.13276659643455,67.38810744332703,41.53841595439095,45.9757635426899,47.40825328293422,2.0,40.08264868400163,64.58214769709653,50.30125977799931,36.03487597518925,37.754966560705626,45.63223261681123,36.21299230400303,41.19722623765857,36.59024553301917,25.547228805762458,29.70252514517916,55.14244181108495,45.11302308725282,43.80821840705235,55.623595487886256,38.204009029568105,97.20342380801202,108.58549588851807,65.7091943707429,58.75787896267226,94.5340751159321,139.20767528949017,158.9818803934723,0.0,,,,,,,,,,,,,,,,,,,,,,
7,27.0,53.451753623224775,45.039860072183814,69.73567775412135,67.23063570048215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,29.0,169.1084464675454,161.64699192994593,52.64978632435273,169.99783912192075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,31.0,162.9843559272126,189.39904962802746,169.5050646504368,171.57261854650073,194.53328763993065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
