,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,14.0,6.850815,7.095735,7.1038704,13.417518,10.924503,15.015559,12.56495,9.192514,15.782929,9.213449,9.728689,9.27106,9.56001,10.7861595,9.73694,14.017442,10.109546,10.128098,9.629101,12.143182,8.639307,8.102005,9.293126,11.84185,7.207546,7.1249194,7.1201987,7.109976,7.1078143,7.9957657,7.731877,7.707578,7.738953,7.7070584,31.696785,10.93048,11.472256,11.502682,11.747920989990234
1,21.0,10.081208,9.956235,10.01438,10.158678,9.95692,10.303298,9.958737,10.202366,10.062108,9.946325,9.944675,9.963579,9.942307,11.256377,10.08855,9.962959,10.224911,9.961121,9.956862,9.9584255,10.084509,9.994453,9.982873,13.728773,9.849173,10.184361,10.454252,8.386444,8.402555,8.435302,8.437973,8.686604,13.921216,9.730398,9.781327,9.692778,9.688477,9.7069025,9.697447776794434
2,23.0,158.16559,10.066205,11.094428,7.766863,7.768831,7.7931495,7.7492127,7.752641,7.793188,7.7539525,7.760824,7.7842155,7.757382,7.7580357,7.752641,7.747901,7.767516,7.7492127,7.7546124,7.749873,7.745798,7.743816,7.7485557,7.7598715,7.7687435,7.7358274,7.7377677,7.742509,7.7466006,7.7418594,7.743816,7.7431607,7.7403946,7.7444735,7.742509,7.747249,7.743816,7.7431607,7.728940010070801
3,25.0,9.227132,9.312535,10.662511,10.666853,17.987902,10.755442,9.7976675,9.8287525,10.592763,9.784044,10.143325,10.530821,9.907158,9.881519,9.799411,9.791419,10.79104,9.836145,10.547512,10.26923,10.29308,9.891723,10.076882,15.577774,11.951344,10.08456,9.695735,14.909813,9.655105,11.97143,14.794318,9.914449,10.025957,9.9690695,9.914497,10.455716,10.074772,9.892326,9.880643844604492
4,34.0,7.5400963,7.6732917,7.693606,7.9400043,10.243106,7.262015,7.246795,7.2468834,7.272597,7.254505,7.260664,7.257465,7.2960644,7.513843,7.6170983,7.6846943,7.4306264,7.433806,7.429229,7.4296327,7.4594827,7.4667363,7.629466,10.368237,9.248192,8.056306,7.3928185,7.388729,7.388207,7.4280577,7.3944473,7.3843894,7.3805976,7.3923526,7.4814043,7.345715,7.3278556,7.337291,7.322099208831787
5,39.0,9.769486,9.775455,9.773624,12.8361,9.987402,9.86828,9.918845,10.019049,9.860611,9.861477,9.867852,9.859768,9.870427,22.553925,10.764628,9.935784,9.9275675,9.933685,9.919482,9.926311,9.924216,9.921812,9.930984,9.924702,9.961188,19.845264,9.760457,9.733983,9.962315,9.726084,9.72376,9.726105,9.729093,9.720767,9.72195,9.781162,9.733983,9.726369,9.718144416809082
6,43.0,7.3952017,8.679531,12.183854,9.931961,9.819731,9.817831,9.829514,9.8104105,9.826587,9.811458,9.823413,9.809869,9.821829,9.812368,9.815731,9.812368,9.820033,9.8143835,9.907011,11.981639,9.404799,9.38946,9.38838,10.344866,10.04361,10.528906,9.062153,8.962827,9.009719,10.305786,9.117029,9.514057,10.070645,9.015176,9.893621,7.950566,8.67206,8.658528,8.046072959899902
7,46.0,10.598175,10.233306,10.704501,9.920118,16.955004,9.85509,8.4374695,8.407666,8.407411,8.505593,8.364767,9.200293,9.805742,13.208978,9.346696,8.786178,9.099296,12.072065,13.157234,11.683134,12.508517,10.014008,10.643333,9.033666,10.696891,19.124916,6.6712184,7.049586,7.4387207,6.8125367,6.7679944,6.7982507,6.772741,7.4042697,6.8522534,6.792917,6.7750955,6.784592,6.772740840911865
8,51.0,9.960076,10.241186,16.60787,11.476302,11.004616,10.436891,9.986313,9.793776,9.799255,11.902579,10.098244,10.707826,10.709213,9.814225,9.923847,9.806121,10.047223,10.028369,10.737026,10.87363,10.144668,10.156966,10.038666,10.366096,9.917985,10.10673,10.087246,9.998015,9.790487,10.227119,10.008014,9.854964,10.067391,9.966076,9.889078,9.831577,9.858497,9.918789,9.814628601074219
9,57.0,8.649671,9.451561,7.2345614,21.300993,10.7355385,9.747044,9.745192,9.74382,9.7768,9.7558775,11.650244,16.610077,9.72588,9.72334,9.712973,9.716778,9.796313,9.711973,9.741725,9.733177,11.030092,13.296428,9.869917,9.780431,9.758409,9.789604,9.885824,9.813806,10.017531,9.864285,9.788241,9.804728,9.77726,13.856018,12.047424,25.702179,19.348381,9.743899,9.54118537902832
