,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,10.0,9.339356,9.837183,15.875531,8.72713,8.918669,9.03601,9.87822,10.109025,9.684771,9.520003,12.485257,15.724284,17.316887,18.214941,13.299448,13.90167,16.41172,11.938236,12.714941,17.676584,15.996556,17.308249,16.764648,13.374068,14.679627,13.265252,13.477254,12.312265,12.557858,11.182546,11.77073,10.236125,15.431692,9.981559,14.385842,10.42957,9.862778,11.4241495,11.36394,8.864012,10.069952,9.701868,
1,12.0,9.533023,10.207258,10.385365,9.499117,9.486416,9.476875,10.105911,9.772452,11.379184,10.079903,10.836583,11.240559,13.025552,11.847718,12.376694,11.008028,10.224016,9.9553795,10.061631,10.048417,12.014661,12.605299,9.947975,9.667911,10.340382,12.812704,10.16581,11.104876,10.106252,9.852257,14.951776,14.373871,15.369312,10.774745,13.424526,10.166332,10.080814,10.134245,9.911467,9.613455,11.931843,10.470342,
2,15.0,5.2384243,5.1952477,5.498386,6.9611278,6.022932,7.420839,16.320358,11.338604,11.016441,6.980485,13.272905,6.53766,6.4035687,6.1820846,12.341179,15.670743,7.9113164,9.921295,6.1782665,10.860392,12.118171,10.780958,6.225508,6.060217,17.177391,6.46174,5.933015,5.725231,17.885853,7.72224,6.432852,11.293375,13.331589,15.341445,6.7212253,6.487029,6.1934285,6.2874784,6.2414474,7.062892,6.8332453,6.1684074,
3,16.0,12.216567,15.000873,9.996562,9.799822,10.908374,9.933742,12.688847,10.529141,9.716637,9.56662,9.730572,9.598237,9.50892,9.614468,10.012582,9.626594,9.562295,9.772387,9.703205,9.5648365,10.517447,9.641087,9.676191,9.69545,9.475278,9.418328,9.466343,9.557643,9.98943,9.775469,9.262559,10.288274,9.536614,10.085545,10.034876,9.545135,9.563232,9.860423,9.522852,9.730567,10.35931,9.474785,
4,18.0,7.9142056,7.899597,7.937795,7.8892136,7.771123,7.854134,7.9117317,106.69494,8.641453,9.671099,9.974324,10.08854,9.917503,19.389019,10.465243,8.646348,9.249926,9.803758,9.753891,13.005235,11.620287,8.485048,8.772512,9.611265,13.278367,9.873327,11.477355,8.072971,9.884258,13.886853,9.452258,8.667884,8.328515,7.833358,7.5991125,7.570778,7.6089525,7.597514,7.599836,7.587666,7.7461143,7.721417,
5,22.0,10.541351,10.09472,14.323932,11.274873,9.086916,8.935598,9.384581,8.841122,9.011955,9.090389,17.700182,8.811511,8.690816,8.701452,9.274899,8.889508,8.958376,17.848711,18.217766,10.183747,10.388761,9.204156,10.058508,9.747289,14.295261,13.216571,9.170162,9.185513,14.273188,13.657548,8.781587,8.629443,18.602919,17.125854,9.318828,9.393243,9.484326,16.056807,17.441166,9.656635,10.416899,8.036707,
6,26.0,6.1886797,6.0679874,30.019802,19.221634,9.862317,9.453322,13.157439,13.263898,10.142009,21.972305,11.685635,10.23228,10.584805,10.519515,11.821014,12.737052,13.706112,14.253328,11.117607,11.715009,26.08358,12.242089,10.2967005,10.272795,11.18329,10.665726,12.109737,13.830749,11.051706,24.71104,23.59661,13.961404,9.997854,16.696249,20.995823,14.534743,13.939175,18.165718,10.993646,10.439224,10.597147,9.91821,
7,27.0,7.8571773,7.772291,8.726814,9.855191,8.849953,8.395358,9.21629,8.486942,8.255887,8.258811,8.538554,8.338676,8.891907,9.19124,12.328912,7.2612157,7.3501153,7.485688,7.4715457,7.630578,7.822186,7.809136,15.832642,17.765697,8.760278,18.026175,18.366915,16.225748,19.639568,20.763323,22.427292,10.687794,13.162006,17.702913,10.983726,15.251191,10.08682,9.663894,10.570345,9.311502,18.037334,10.323393,
8,29.0,10.466328,9.975637,11.842744,14.413187,9.977621,37.32532,8.915845,14.09339,13.033516,16.47807,18.850595,16.915068,12.962208,17.43816,11.862595,13.985082,16.323513,12.963306,12.745416,14.394444,12.347712,12.515899,11.718261,8.976265,7.283354,15.01259,11.721383,14.011677,10.160113,10.744381,9.681013,9.746846,9.715493,9.929643,12.456768,17.777872,30.59572,18.873154,9.273249,12.436079,9.822639,9.934245,
9,31.0,9.748471,9.848695,9.778035,9.734153,9.746925,9.731018,12.156479,10.665542,10.761922,10.637877,10.1788025,9.92464,10.035304,14.192649,13.908816,12.343523,14.687397,13.047587,16.55585,14.542303,13.2164345,14.325669,16.915394,12.449959,13.24804,12.923219,13.5229645,13.885762,15.389626,15.24308,30.877035,12.123555,10.700672,10.314304,9.856765,10.123891,9.919998,10.02408,10.022824,10.128218,9.998472,10.534168,
10,32.0,8.551465,8.529012,8.495799,9.851926,9.822695,9.945046,10.312599,10.752548,9.788042,10.055502,10.246639,10.067516,10.383168,10.680521,15.890699,10.09849,10.21656,10.576738,16.831375,9.66216,12.437178,14.078167,10.114586,14.878474,9.915686,10.090729,9.686278,9.923196,9.883382,10.065263,10.405638,10.754451,10.217011,9.620911,12.605836,9.758682,10.661299,10.089057,9.860285,10.939308,12.645818,11.781052,
