,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,10.0,0.016499998,0.016499998,0.016499998,0.0165,0.013999999,0.0129999975,0.012499998,0.014333332,0.013999999,0.013833332,0.013499999,0.012999999,0.012666666,0.012666664,0.012666666,0.012666664,0.012666666,0.012666664,0.012666664,0.010333331,0.009999999,0.009999999
1,12.0,0.016333332,0.016666664,0.017666664,0.018666664,0.018166665,0.017666666,0.016833331,0.022833334,0.023166664,0.022333331,0.022333331,0.022333331,0.022166666,0.021666666,0.020833332,0.02,0.020166665,0.020833334,0.021499999,0.015499999,0.014833331,0.015263156
2,15.0,0.016333332,0.015999999,0.015833331,0.015666664,0.015499997,0.01533333,0.014999998,0.014666664,0.014999998,0.0151666645,0.0151666645,0.015166665,0.015166665,0.015166666,0.014999998,0.015499997,0.015999997,0.015499999,0.015333333,0.015833331,0.015499998,0.015614035
3,16.0,0.013999999,0.013833332,0.011833331,0.011666666,0.011499999,0.011666665,0.011666666,0.011499999,0.011333332,0.011499999,0.011999998,0.012166665,0.012666664,0.012833331,0.013166664,0.013666664,0.013833332,0.013333332,0.012999998,0.013333333,0.014333332,0.015438594
4,18.0,0.015833331,0.016166665,0.016999997,0.01733333,0.017166665,0.016666664,0.016999997,0.017166665,0.017166665,0.017166667,0.016833331,0.016333332,0.015833331,0.015499998,0.014999998,0.014999998,0.014499998,0.015499997,0.015666666,0.015499997,0.01533333,0.01596491
5,22.0,0.014666664,0.013999999,0.013833332,0.013499999,0.013499999,0.0134999985,0.0134999985,0.013333332,0.013333331,0.013166665,0.012666664,0.013166664,0.013833331,0.014833331,0.014833333,0.014499999,0.014333332,0.013999999,0.013666665,0.014333331,0.014166665,0.014210525
6,26.0,0.027499998,0.027999999,0.027499998,0.025833331,0.023999996,0.020499997,0.018166665,0.017666666,0.017499996,0.01733333,0.017499996,0.017166665,0.016666664,0.016166665,0.015666666,0.015666664,0.0151666645,0.0151666645,0.0151666645,0.0151666645,0.01533333,0.015263156
7,27.0,0.010333331,0.010166665,0.009833332,0.009833332,0.009833332,0.009833332,0.009833332,0.009833332,0.009833332,0.009833332,0.009833332,0.009833332,0.009833332,0.009833332,0.009999999,0.009999999,0.009999999,0.009999999,0.009999999,0.009999999,0.010833332,0.011929824
8,29.0,0.031999998,0.031999998,0.031666666,0.026833331,0.021499999,0.020499997,0.019833332,0.018833332,0.018166665,0.01733333,0.0165,0.015999999,0.013499997,0.013333331,0.013166665,0.0129999975,0.013166664,0.011333332,0.010833331,0.010833331,0.011166664,0.01122807
9,31.0,0.012499998,0.012499998,0.011499999,0.011499999,0.011499999,0.0134999985,0.014166665,0.014166665,0.014166665,0.014166665,0.013666665,0.012666666,0.013666664,0.013833331,0.013833332,0.013833331,0.014666664,0.014333333,0.013666665,0.014333332,0.015166666,0.016315788
10,32.0,0.012833331,0.013166665,0.013333332,0.0134999985,0.0134999985,0.013666664,0.013333332,0.013166665,0.012666664,0.012833331,0.0129999975,0.012499998,0.011999998,0.011499999,0.011499999,0.011333332,0.011166665,0.011166665,0.010999997,0.010999998,0.011333332,0.011052631
11,33.0,0.009999999,0.011833332,0.013166664,0.013166666,0.013166666,0.013333332,0.013333333,0.013333333,0.013499999,0.013499999,0.013499999,0.013499999,0.013499999,0.011666666,0.010333331,0.010333331,0.010333331,0.010166665,0.010166665,0.010166665,0.009999999,0.009999999
12,35.0,0.009999999,0.009999999,0.009999999,0.010333331,0.010333331,0.010333331,0.010333331,0.010333331,0.010333331,0.010499998,0.010499998,0.010499998,0.010499998,0.010499998,0.010499998,0.010333331,0.010499998,0.010499998,0.010499998,0.010499998,0.010999997,0.010877191
13,4.0,0.010499998,0.010499998,0.010499998,0.010666665,0.010499998,0.010333331,0.010333331,0.010333331,0.010333331,0.010333331,0.010333331,0.010333331,0.010333331,0.010333331,0.010333331,0.010166665,0.010666665,0.010666665,0.010833331,0.010833331,0.010833332,0.011754386
