,0,1,2,3,4,5
0,14.0,2.7064331348103585,2.709926799868083,2.7450735122611554,2.7202791834287345,2.707776270749238
1,21.0,2.2162711719477737,2.3136333025487144,2.3454665332302067,2.3160352273973075,2.3487234267210293
2,23.0,2.4232463188508913,2.447817058435382,2.493983539068011,2.5708473745857177,2.5867733514730324
3,25.0,1.6708696576157414,1.8533860215074047,2.2121507247590757,2.0790195058886627,1.9825170075694285
4,34.0,2.4338322584922443,2.4506695349628767,2.4787212402084116,2.5084885937038806,2.5055403394983604
5,39.0,,,,,
6,43.0,,,,,
7,46.0,2.5107089339695077,2.522855953338209,2.5033684659801456,2.5212638373012117,2.5225321991559024
8,51.0,,1.5459270619657248,1.6853053203263746,2.00982062994775,2.116336215674531
9,57.0,0.0,,,,
10,71.0,2.147187159496847,2.1813468004867778,2.286224701705267,2.2933603287762305,2.2701330932120394
11,72.0,,1.7368033303312012,1.7728773635226716,1.898766378655386,1.825651706706412
12,77.0,2.1062477683483363,,,,
13,78.0,,,,1.8122659931337664,1.8241437543876964
14,79.0,2.3730565096851026,2.44369005386471,2.5919349208158535,2.6466013020766384,2.6361681209490575
15,80.0,1.7471143150269455,1.8303589920722916,1.77025766947948,1.6863717024160834,1.0135406561478664
16,82.0,2.4382201166741417,2.237026032745133,2.423443936931424,2.4475254507337625,2.455207209030544
17,83.0,2.593461678021619,2.630813614709844,2.7110338498565527,2.719689850359752,2.730954511301118
18,84.0,1.5898693076160304,1.921845862774621,1.9651763414335766,1.9341702333442707,2.015680099507755
19,85.0,,,,,
20,87.0,2.113247843731474,2.2914898620652666,2.353402963045536,2.4389348397941055,2.444626106816039
21,88.0,,1.596234480761187,1.620986703031716,1.465456651004142,1.2815996361572994
22,89.0,,,1.8636270655022134,2.125030420654068,2.2575364886613882
23,91.0,2.4683204853326135,2.5342277766580863,2.4764005837496215,2.488104155777339,2.5456465522298806
24,92.0,2.4092291700872797,2.219570943602738,2.527011461055724,2.580693347049755,2.6267442891947392
25,93.0,0.0,,,,
