,0,1,2,3,4,5
0,10,7,12,9,9,7
1,12,22,19,13,30,13
2,15,22,19,18,22,16
3,16,15,17,11,20,12
4,18,15,11,11,12,9
5,22,28,31,31,32,19
6,26,6,15,5,2,18
7,27,12,13,12,18,14
8,29,8,7,6,5,6
9,31,10,10,12,8,3
10,32,4,36,4,4,10
11,33,14,7,6,4,9
12,35,11,9,7,6,4
13,4,19,13,14,23,15
14,42,5,2,4,11,10
15,45,17,22,4,8,17
16,47,14,3,6,10,6
17,48,25,27,24,22,11
18,49,16,32,16,10,11
19,54,8,6,8,7,4
20,55,8,8,20,13,10
21,6,15,13,13,11,8
22,66,10,14,9,10,4
23,69,14,15,8,4,0
24,7,38,36,31,26,12
25,8,22,26,9,9,17
