,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,14.0,8.210476,8.067498,8.093894,8.125196,8.0973015,8.049133,8.336326,8.594804,8.712372,8.299823,8.388728,8.293449,8.297065,8.595475,8.434727,8.478649,8.871295,8.199622,8.449227,8.533517,8.638558,8.699082,8.50261,8.391536,8.464844,8.81014,8.949882,8.10331,8.110445,9.332134,8.18768,8.611145,8.654783
1,21.0,10.310124,8.75182,9.407243,175.77156,12.247908,10.456942,10.003725,10.079427,14.834429,9.05985,10.179405,9.743635,10.281082,10.791465,12.976025,5.533449,5.6941752,5.9360723,6.0082526,6.055038,6.6174006,6.354466,6.34877,6.7348027,6.5793095,6.5319924,6.459518,6.452032,6.4634304,6.5785804,6.5446,6.555161,6.677282
2,23.0,25.563128,10.591368,10.431826,10.599433,10.566059,10.495262,11.11397,10.662799,11.240258,11.651351,10.526606,10.652327,10.407159,10.26275,10.341519,10.189675,10.278583,10.756606,11.447183,10.556967,10.328053,10.2126,10.189054,10.627963,10.83876,10.163699,10.312229,10.173298,10.158896,10.158942,10.163925,10.164036,10.159212
3,25.0,7.119592,5.8041954,5.9165688,5.88618,6.147129,6.0907054,6.50314,6.1726975,5.9066625,5.9791446,5.9892497,5.9487977,6.414182,5.9870586,6.1330886,6.1242375,6.1182446,6.2908063,6.233573,6.261861,6.660845,6.402977,6.5036964,6.636562,6.4302974,6.359777,6.3781843,7.47338,6.3823743,6.625951,6.7675796,6.4388804,7.153426
4,34.0,6.8879695,6.8879695,6.8833523,6.651534,6.6947484,6.791905,6.9454775,11.964676,10.08951,6.1204844,6.136571,6.1059513,5.9929495,6.6345754,6.3949237,6.255354,11.555363,9.206501,6.788543,6.748843,6.476935,6.5288982,6.6809573,6.740152,6.628913,6.618132,6.5075874,6.632152,6.61652,6.6507683,6.658154,6.9050336,8.191742
5,39.0,9.524277,9.638585,9.568069,9.552133,9.567144,9.558995,9.7324915,9.5432825,9.676748,9.555703,9.897254,9.631131,9.607094,9.552428,9.594268,9.6185255,9.600912,9.632038,9.960305,9.586584,9.750286,9.539898,9.54842,9.613036,9.550199,9.717318,9.628843,13.465563,19.934246,9.2164545,9.259772,9.245238,9.345415
6,43.0,5.946109,5.510078,5.7964597,6.1065135,6.630557,7.0453506,6.3708835,8.225656,7.854358,6.546769,6.8206944,6.925431,6.2774577,6.343069,6.2467756,6.56767,6.49223,6.006149,6.193412,6.044154,6.146212,6.013995,5.6507325,5.3607464,6.1781116,5.8853083,6.3067484,6.3422947,5.934082,6.2830577,5.8916235,5.514111,5.7428613
7,46.0,4.333864,4.282648,4.6003346,4.334971,4.1999226,3.9292982,4.0200896,4.178669,3.8349738,3.8063986,3.8499222,3.773817,3.9787242,3.7606335,4.110474,4.195493,4.1395335,3.7391458,3.917629,3.7777226,3.806206,3.6096005,3.978215,3.7509336,4.573881,3.9695604,4.1720114,3.8080976,3.8363497,3.7990465,3.8409426,3.7790134,3.668427
8,51.0,5.9977713,5.785151,5.783011,5.986039,5.957742,5.9282365,5.9853945,5.9386177,5.90002,5.872409,5.78693,6.0548587,6.182707,6.1605353,5.915648,5.97272,5.881508,5.804223,6.112366,6.021107,6.06268,5.85126,5.934684,6.0040364,5.85349,5.924696,5.930108,6.0143156,6.189429,5.9474177,6.323942,5.991973,6.0096116
9,57.0,7.651076,10.647097,10.328779,10.587449,10.450967,10.339584,11.23694,10.348801,9.74508,10.129508,10.152728,9.840599,10.703745,10.659807,10.482224,10.220556,10.177779,11.037442,10.674526,10.029692,10.265592,10.531294,10.080779,9.937221,10.35521,11.400364,10.252464,10.682039,10.999921,10.432853,10.232014,12.048467,8.536972
10,71.0,8.43174,8.327572,8.372844,8.354507,8.790728,8.253985,8.213125,8.893205,8.643918,8.412752,8.393357,8.351325,8.532566,8.260683,9.079653,8.406512,13.377601,8.489414,8.394688,8.047041,8.072235,8.095938,8.077766,8.045033,8.075509,8.112308,8.057726,8.068411,8.05525,8.062391,8.073079,8.072564,8.069226
11,72.0,8.602627,8.949434,8.86978,11.544055,12.629028,14.589647,7.2245164,7.281744,7.2578764,7.2479086,7.206485,7.199676,7.1820664,7.203727,7.240536,7.1896553,7.160847,7.194972,8.16041,7.209215,7.280816,7.2697406,7.2197094,7.28411,7.3195324,7.338979,7.2591386,7.222654,7.23051,7.30919,7.3702044,7.2694697,7.260123
12,77.0,8.739782,8.66279,8.720506,8.622056,8.393094,8.271892,9.007278,8.428068,9.423957,8.733362,9.437981,8.035052,9.115698,8.047319,8.166619,7.5227785,7.716576,8.005568,7.6538243,8.027826,8.109935,7.7514215,7.556404,7.339703,7.635748,7.863113,7.5095143,7.568249,8.007483,7.729882,7.316581,8.603705,7.892439
13,78.0,9.704195,8.065659,7.7016954,7.8456035,7.7561493,7.7516136,8.82573,8.126616,7.900283,7.835072,7.9486904,7.808343,7.9541407,7.7839494,7.963945,7.8954935,7.9237475,7.91999,8.050246,7.721287,7.8089294,7.8109612,8.406903,8.0097065,7.887106,7.8806815,8.003219,8.0567665,8.200351,8.13195,8.032067,13.48134,8.208656
14,79.0,9.801081,13.043379,9.186849,8.728137,8.677812,9.016079,9.292781,9.2294855,9.093289,9.123652,9.340651,9.552748,9.39685,9.1198225,9.084554,9.385639,9.184471,9.714751,9.490963,9.282583,9.330306,9.162825,9.260043,11.073947,12.05097,9.70156,9.7921505,10.571918,10.644771,10.0182295,9.958535,9.656756,10.075328
15,80.0,8.832382,8.864023,8.809057,8.78061,8.827225,8.871325,9.633894,8.765865,8.690504,9.034401,8.748392,8.82925,8.717394,8.998713,8.759492,8.799162,8.9932995,8.862092,8.81677,8.811044,8.797774,8.862567,8.836265,8.860266,8.890199,8.894659,14.376356,8.986672,8.888693,8.830569,8.892262,8.954874,8.794081
16,82.0,6.574007,6.255354,16.715132,8.176711,8.691535,8.335925,8.559189,8.445575,9.034656,8.733262,8.949966,8.736056,9.026785,8.085602,8.212054,9.842792,8.436316,7.817453,8.076783,8.36862,8.121401,8.181729,8.578109,8.636646,8.602442,8.288136,9.287092,9.271906,8.290857,8.364398,8.610922,8.820387,8.617753
17,83.0,7.5794096,7.5979033,7.8285213,7.466483,7.4407454,7.3558044,7.514964,7.4128556,7.418153,7.406136,7.4647765,108.84097,7.3641205,7.3729196,7.5144234,7.457567,7.5346656,7.481983,7.3872786,7.4439564,7.4701314,7.4270573,7.3898177,7.4312105,7.412372,7.3796873,7.425431,7.410854,7.414067,7.51385,7.4636965,7.7039676,7.3998957
18,84.0,7.273698,7.241839,7.3052835,7.3759375,7.436921,7.4349747,7.3945513,7.8579493,7.7199044,7.4459634,7.448374,7.528634,7.5174184,7.505824,7.559899,7.4199014,7.429873,7.48362,7.552599,7.5866838,7.587091,7.604065,7.5954523,7.496839,7.5401673,7.5511236,7.5901766,7.5745864,7.6961174,7.551607,7.573107,7.540802,7.525017
19,85.0,8.636926,8.627745,8.818924,8.756519,8.697874,9.051761,112.40587,8.884171,9.0494795,8.515494,8.255454,8.22359,8.089029,8.232694,8.363523,8.095218,8.459734,8.115519,8.149829,8.079432,8.447937,8.530207,8.635946,9.330839,8.963046,8.878663,8.652158,8.6873,9.007084,9.02576,9.173236,9.0542145,8.541151
20,87.0,6.8323197,6.8926616,7.204489,6.9144583,6.9313,7.018956,7.0952682,6.9810166,6.951829,7.483135,7.0518613,7.059265,7.006065,6.995933,7.101805,7.0815654,7.0875916,8.062562,7.137227,7.025695,7.024547,7.0263515,6.9833007,7.1036625,7.030074,7.0393567,6.9974055,7.2049026,7.1026936,6.9539304,7.036803,7.0238857,6.9576187
21,88.0,9.174422,9.068155,9.480871,9.024389,8.976579,9.11086,9.494653,8.855995,8.869265,9.433063,9.00998,9.238327,8.905351,9.613902,9.731018,8.968885,9.286027,9.545283,8.823082,9.139334,9.27069,8.853777,8.81463,8.936772,9.49323,8.850703,8.969923,8.875123,9.067099,8.9257345,8.915676,9.162668,9.909521
22,89.0,6.7778487,6.781824,7.270983,7.32328,8.145769,8.892167,7.8895674,8.076744,7.8631926,7.91306,8.235092,7.9139204,7.979278,7.6060038,7.727175,7.624663,7.922683,8.172408,7.726642,8.828852,7.9596524,8.429323,8.662176,8.658379,7.8089957,8.052929,8.955792,8.390217,8.364379,8.384654,9.141292,8.970151,8.9102125
23,91.0,26.63414,7.2816496,7.3013015,12.227906,9.591155,9.221627,8.264951,9.674419,9.877354,9.371139,9.275912,9.37267,9.369754,9.210326,9.167276,9.17612,9.206346,9.248018,9.390468,9.691042,9.384659,9.2062435,9.134725,9.157005,9.058199,9.2326145,9.0507555,9.325145,9.3926325,9.401811,9.695106,9.662153,9.254163
24,92.0,4.1382084,4.096823,4.0773635,4.0271177,4.844273,4.096823,4.00173,4.0319448,4.0463214,4.186965,4.4818144,4.3286443,4.90426,4.142312,3.956239,4.003011,4.0512304,4.5218587,4.543011,3.919265,4.0658455,4.070956,3.9126809,3.9586086,4.006662,3.9078908,4.0535274,3.92041,3.8590589,4.258144,4.0359497,4.059801,3.9262607
25,93.0,6.4689317,6.4719744,6.668326,7.0727167,6.8251324,6.859259,7.204788,7.177863,7.218738,7.0864677,7.22861,7.4270806,7.8955746,7.342223,7.295424,7.2768526,7.5331144,7.892382,7.7932506,7.7771745,8.772544,7.2508936,7.2046356,7.205436,7.2240534,7.218738,7.343556,7.3588376,7.6285253,7.2784886,7.151918,7.2091618,7.171168
