,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184
0,10.0,9.469824,0.6459961,-3.182129,14.587402,2.1972656,5.3100586,179.9945,-69.19739,9.469824,0.6459961,-3.182129,14.587402,2.1972656,5.3100586,179.9945,-69.19739,9.469824,0.6459961,-3.182129,14.587402,2.1972656,5.3100586,179.9945,-69.19739,9.469824,0.6459961,-3.182129,14.587402,2.1972656,5.3100586,179.9945,-69.19739,9.469824,0.6459961,-3.182129,14.587402,2.1972656,5.3100586,179.9945,-69.19739,9.469824,0.6459961,-3.277832,14.587402,2.1972656,5.3100586,179.9945,-69.19739,9.469824,0.6459961,-3.277832,14.587402,2.1972656,5.3100586,179.9945,-69.19739,9.469824,0.6459961,-2.296875,14.587402,11.108398,5.3100586,179.9945,-69.19739,10.656543,0.6459961,1.4499023,14.587402,27.34375,7.080078,179.9945,-69.19739,10.656543,0.6459961,1.4499023,14.587402,27.34375,7.080078,179.9945,-69.19739,10.656543,0.6459961,1.4499023,14.587402,27.34375,7.080078,179.9945,-69.19739,10.656543,0.44023436,1.4499023,11.71875,27.34375,7.080078,179.96155,-69.47754,10.656543,0.44023436,1.4499023,11.71875,27.34375,7.080078,179.89563,-69.47754,10.656543,0.44023436,1.4499023,11.71875,27.34375,7.080078,179.89563,-69.505005,10.656543,0.44023436,1.4499023,11.71875,27.34375,7.080078,179.89563,-69.5105,10.656543,0.13876954,1.4499023,11.71875,27.34375,7.080078,179.89563,-69.5105,10.656543,0.13876954,1.4499023,11.71875,27.34375,7.080078,179.89563,-69.5105,10.656543,0.13876954,1.4499023,11.71875,27.34375,7.080078,179.89563,-69.5105,10.656543,0.13876954,1.4499023,11.71875,27.34375,7.080078,179.89563,-69.5105,10.656543,0.13876954,1.4499023,11.71875,27.34375,7.080078,179.87366,-70.69153,9.814356,-0.30625,1.258496,4.3945312,1.3427734,0.5493164,-20.703735,-83.21594,9.694727,-0.39716798,1.1245117,4.3945312,0.48828125,0.36621094,-22.423096,-83.24341,,,,,,,,
1,12.0,16.37959,0.95703125,1.6891601,40.58838,38.94043,16.357422,-123.71155,-69.93347,11.546582,0.95703125,0.5120117,32.409668,38.94043,16.357422,-123.71155,-69.93347,11.546582,0.95703125,0.5120117,32.409668,38.94043,16.357422,-123.71155,-69.93347,10.747461,0.95703125,0.5120117,32.409668,38.94043,16.357422,-123.71155,-69.93347,10.747461,0.95703125,0.5120117,32.409668,38.94043,16.357422,179.67041,-69.93347,10.747461,0.95703125,0.5120117,32.409668,38.94043,8.056641,179.67041,-76.102295,10.747461,0.95703125,0.5120117,32.409668,38.94043,8.056641,179.67041,-76.102295,10.398145,0.95703125,0.17226562,32.409668,38.94043,8.056641,179.67041,-76.102295,15.891504,2.205957,2.7514648,68.481445,38.94043,23.07129,179.67041,-73.99841,15.891504,2.205957,2.7514648,72.93701,30.273438,23.07129,179.67041,-70.702515,15.891504,2.205957,2.7514648,72.93701,30.273438,23.07129,179.67041,-70.702515,15.891504,2.205957,2.7514648,72.93701,30.273438,23.07129,179.67041,-70.702515,15.891504,2.205957,2.7514648,72.93701,30.273438,23.07129,179.67041,-70.702515,15.891504,2.205957,2.7514648,72.93701,30.273438,23.07129,179.67041,-70.702515,15.891504,2.205957,2.7514648,72.93701,30.273438,23.07129,179.67041,-70.702515,15.891504,2.205957,2.7514648,72.93701,30.273438,23.07129,179.67041,-70.702515,15.891504,2.205957,2.7514648,72.93701,30.273438,23.07129,-129.27612,-70.702515,15.891504,2.421289,2.7514648,72.93701,43.09082,23.07129,-129.27612,-70.702515,15.891504,2.421289,2.7514648,72.93701,43.09082,23.07129,-129.27612,-70.702515,15.891504,2.421289,2.7514648,72.93701,43.09082,23.07129,-124.84863,-62.160645,12.876856,2.421289,0.83261716,72.93701,43.09082,20.935059,-124.84863,-62.160645,11.910254,2.421289,0.83261716,43.640137,43.09082,20.935059,-124.84863,-62.160645,,,,,,,,
2,15.0,9.230566,-2.3782227,1.9427735,1.4038086,0.61035156,0.8544922,-52.800293,-71.18591,9.230566,-2.3782227,1.9427735,1.4038086,0.61035156,0.8544922,-52.800293,-71.18591,9.230566,-2.3782227,1.9427735,1.4038086,0.61035156,0.8544922,-52.800293,-71.18591,9.230566,-2.3782227,1.9427735,1.4038086,0.61035156,0.8544922,-52.800293,-71.18591,9.230566,-2.3734374,1.9427735,1.4038086,0.48828125,0.8544922,-52.822266,-71.18591,9.230566,-2.359082,1.9092773,1.4038086,0.48828125,0.48828125,-53.135376,-71.1969,9.230566,-2.3447266,1.9092773,1.4038086,0.48828125,0.48828125,-53.135376,-71.1969,9.230566,-2.3447266,1.9092773,1.4038086,0.48828125,0.48828125,-53.31665,-71.21338,9.235352,-2.3447266,1.8901367,1.4038086,0.4272461,0.48828125,-53.31665,-71.2738,9.235352,-2.3303711,1.8757813,1.4038086,0.4272461,0.48828125,-53.31665,-71.30676,9.264063,-2.3064454,1.8757813,1.4038086,0.7324219,0.48828125,-53.31665,-71.466064,9.264063,-2.3064454,1.8757813,1.4038086,0.7324219,0.48828125,-53.31665,-71.50452,9.264063,-2.3064454,1.8757813,1.0986328,0.7324219,0.36621094,-53.31665,-71.51001,9.264063,-2.3064454,1.8709961,1.0986328,0.7324219,0.36621094,-53.40454,-71.59241,9.264063,-2.3064454,1.8614258,1.0986328,0.7324219,0.36621094,-53.40454,-71.61438,9.264063,-2.3064454,1.8614258,1.0986328,0.7324219,0.36621094,-53.475952,-71.65283,11.039355,1.3541992,4.172656,55.664062,35.27832,3.1738281,-13.079224,-71.24634,11.039355,1.3541992,4.172656,55.664062,35.27832,3.1738281,-13.079224,-71.24634,11.039355,1.3541992,4.172656,55.664062,35.27832,15.136719,9.42627,-71.24634,11.039355,1.3541992,4.172656,55.664062,35.27832,15.136719,9.42627,-71.24634,11.039355,1.3541992,4.172656,55.664062,35.27832,15.136719,9.42627,-71.24634,11.039355,1.3541992,4.172656,55.664062,35.27832,15.136719,9.42627,-71.24634,,,,,,,,
3,16.0,9.436328,-1.6413085,-2.603125,16.357422,6.0424805,7.1411133,-133.80798,-60.611572,9.063086,-1.6413085,-2.603125,10.986328,6.0424805,7.1411133,-139.30115,-61.11145,9.063086,-1.6413085,-2.603125,10.986328,6.0424805,4.4555664,-139.5044,-61.11145,8.972168,-1.8470703,-3.8041992,7.6293945,1.7700195,7.080078,-147.55188,-60.996094,8.972168,-1.8470703,-3.8041992,4.5166016,1.7700195,7.080078,-147.55188,-60.996094,8.972168,-1.8470703,-3.8041992,7.507324,1.7700195,7.080078,-147.55188,-60.996094,8.972168,-1.8470703,-3.8041992,7.507324,1.7700195,7.080078,-147.55188,-60.996094,8.972168,-1.7226562,-3.8041992,7.507324,1.7089844,7.385254,-141.3446,-59.139404,8.790332,-1.7226562,-3.9046874,7.507324,1.7089844,7.385254,-141.3446,-59.139404,8.790332,-1.7226562,-3.9046874,7.507324,1.7089844,7.385254,-141.3446,-59.139404,8.790332,-1.7226562,-3.9046874,7.507324,1.7089844,7.385254,-141.3446,-59.139404,8.790332,-1.7226562,-3.9046874,7.507324,1.7089844,7.385254,-141.3446,-59.139404,8.790332,-1.7226562,-3.9046874,7.507324,1.7089844,7.385254,-141.3446,-59.139404,8.790332,-1.7226562,-3.9046874,7.507324,1.7089844,7.385254,-141.3446,-59.139404,8.819043,-1.7226562,-3.9046874,7.507324,1.7089844,7.446289,-141.3446,-59.139404,8.819043,-1.7226562,-3.9046874,11.535645,2.380371,7.446289,-141.3446,-59.139404,8.819043,-1.7226562,-3.9046874,11.535645,2.380371,7.446289,-141.3446,-59.139404,8.819043,-1.7226562,-3.9046874,11.535645,2.380371,7.446289,-141.3446,-59.139404,8.857325,-1.7226562,-3.9046874,11.535645,2.380371,7.446289,-141.3446,-59.139404,8.967382,-1.8470703,-3.82334,11.535645,2.380371,7.446289,-147.42004,-60.930176,8.967382,-1.8470703,-3.82334,11.535645,2.380371,7.446289,-147.42004,-60.930176,8.967382,-1.8470703,-3.82334,11.535645,2.380371,7.446289,-147.42004,-60.930176,,,,,,,,
4,18.0,10.187597,0.5024414,-0.46416014,17.27295,5.6762695,24.353027,179.34082,-76.102295,10.187597,0.5024414,-0.46416014,17.27295,5.6762695,24.353027,179.34082,-76.102295,9.890918,0.7321289,-0.44501954,13.73291,8.7890625,24.353027,179.34082,-77.34375,9.890918,0.7321289,-0.44501954,13.122559,8.7890625,24.353027,179.34082,-77.34375,9.890918,0.7321289,-0.44501954,13.122559,8.7890625,24.353027,179.34082,-77.34375,9.890918,0.7321289,-0.44501954,13.122559,8.7890625,24.353027,179.34082,-77.34375,9.890918,0.7321289,-0.44501954,13.122559,8.7890625,24.353027,179.34082,-77.34375,9.890918,0.7321289,-0.44501954,13.122559,8.7890625,24.353027,179.34082,-77.34375,9.890918,0.7321289,-0.44501954,13.122559,8.7890625,24.353027,179.34082,-77.34375,9.890918,0.7321289,-0.44501954,13.122559,8.7890625,24.353027,179.34082,-77.34375,9.890918,0.7321289,-0.44501954,13.122559,8.7890625,24.353027,179.34082,-77.34375,9.890918,0.7321289,-0.44501954,13.122559,8.7890625,24.353027,179.34082,-77.34375,9.890918,0.7321289,-0.44501954,13.122559,8.7890625,21.972656,176.83044,-77.975464,9.890918,0.7321289,-0.44501954,13.122559,8.7890625,21.972656,176.83044,-77.975464,9.771289,0.5263672,-0.5024414,4.0283203,1.5258789,21.972656,176.83044,-77.975464,9.689941,-0.8900391,-0.92353517,3.3569336,1.2207031,8.850098,-126.66687,-79.12903,9.900488,-0.8661133,-0.8900391,3.3569336,5.493164,8.850098,-126.66687,-79.12903,9.900488,-0.41152343,-0.80390626,7.1411133,5.493164,16.418457,-124.28284,-77.40967,9.900488,-0.41152343,-0.80390626,7.1411133,5.493164,16.418457,-124.28284,-77.40967,10.125391,-0.41152343,-0.80390626,17.51709,5.493164,16.418457,-124.28284,-75.0531,10.125391,-0.41152343,-0.80390626,17.51709,5.493164,16.418457,-124.28284,-75.0531,10.680469,-0.38759765,-0.5455078,26.794434,8.300781,21.54541,-109.42932,-68.64807,,,,,,,,
5,22.0,9.814356,0.066992186,1.6748047,7.385254,9.338379,6.8969727,-2.5653076,-79.315796,9.814356,0.066992186,1.6748047,5.004883,9.338379,6.8969727,-2.5653076,-79.315796,9.814356,0.066992186,1.6748047,5.004883,9.338379,6.8969727,-2.5653076,-79.315796,9.814356,0.066992186,1.6748047,5.004883,9.338379,6.8969727,-2.5653076,-79.315796,9.814356,0.066992186,1.6748047,4.760742,9.338379,6.8969727,-2.5653076,-79.315796,9.814356,0.066992186,1.5791016,4.760742,9.338379,5.3100586,-2.5653076,-80.01343,9.814356,0.066992186,1.5791016,4.760742,9.338379,5.3100586,-2.5653076,-80.01343,9.814356,0.066992186,1.5791016,4.760742,9.338379,5.3100586,-2.5653076,-80.01343,9.814356,0.066992186,1.5791016,4.760742,9.338379,5.3100586,-2.5653076,-80.01343,9.814356,0.066992186,1.5791016,4.760742,9.338379,5.3100586,-2.5653076,-80.01343,9.814356,0.066992186,1.5791016,4.760742,9.338379,5.3100586,-2.5653076,-80.01343,9.685156,0.066992186,1.5791016,4.760742,3.4179688,5.3100586,-2.5653076,-80.01343,9.66123,-0.19140625,1.5791016,4.760742,3.3569336,5.004883,-10.211792,-80.01343,9.66123,-0.19140625,1.4259765,2.6245117,2.380371,1.4648438,-10.211792,-81.430664,9.689941,-0.29667968,1.5264648,2.6855469,3.7231445,3.479004,-14.216309,-80.38147,9.689941,-0.29189453,1.5264648,2.6855469,3.7231445,3.479004,-14.804077,-80.38147,9.694727,0.20097657,1.5264648,3.479004,3.7231445,3.479004,9.602051,-80.38147,9.694727,0.5167969,1.5264648,3.479004,3.7231445,5.859375,13.925171,-80.38147,9.694727,0.5167969,1.5264648,3.479004,3.7231445,5.859375,13.925171,-80.38147,9.694727,0.5167969,1.5264648,3.479004,3.7231445,5.859375,13.925171,-80.38147,9.694727,0.5167969,1.5264648,3.479004,3.7231445,5.859375,13.925171,-80.38147,9.694727,0.5167969,1.5264648,3.479004,3.7231445,5.859375,13.925171,-80.38147,,,,,,,,
6,26.0,15.427343,5.239746,0.08134766,53.100586,18.493652,24.169922,163.07007,-70.5542,15.427343,5.239746,0.08134766,53.100586,18.493652,24.169922,163.07007,-70.5542,15.427343,5.239746,0.08134766,53.100586,18.493652,24.169922,163.07007,-70.5542,15.427343,5.239746,0.08134766,53.100586,18.493652,24.169922,163.07007,-70.5542,15.427343,5.239746,0.08134766,53.100586,18.493652,24.169922,163.07007,-70.86182,15.427343,5.239746,0.08134766,53.100586,18.493652,24.169922,163.07007,-70.86182,15.427343,5.239746,0.08134766,53.100586,18.493652,24.169922,163.07007,-72.37793,9.5703125,1.0479492,-2.1293945,0.7324219,1.6479492,5.126953,163.07007,-75.267334,9.5703125,1.0479492,-2.1293945,0.7324219,1.6479492,5.126953,163.07007,-75.476074,9.5703125,1.1532227,-2.0671875,0.7324219,1.6479492,5.126953,163.07007,-75.49255,9.5703125,1.1532227,-2.0671875,0.7324219,1.6479492,5.126953,163.07007,-75.49255,9.546387,1.1532227,-2.0671875,0.7324219,0.79345703,1.953125,161.45508,-75.81665,9.546387,1.1532227,-2.0671875,0.4272461,0.79345703,1.953125,161.45508,-75.81665,9.546387,1.1532227,-2.0671875,0.4272461,0.79345703,1.953125,161.45508,-75.81665,9.551172,1.1532227,-2.0671875,0.6713867,0.79345703,1.953125,161.45508,-75.81665,9.551172,1.1532227,-2.0671875,0.6713867,1.2207031,3.1738281,162.03186,-75.81665,9.551172,1.1532227,-2.0671875,0.6713867,1.2207031,3.1738281,162.03186,-75.81665,9.551172,1.1532227,-2.0671875,0.6713867,1.2207031,3.1738281,162.03186,-75.81665,9.551172,1.1532227,-2.0671875,0.6713867,1.2207031,3.1738281,162.03186,-75.8551,105.07725,1.1532227,-2.0671875,796.875,46.75293,78.125,162.03186,-75.88257,105.07725,1.1532227,-2.0671875,796.875,46.75293,78.125,162.03186,-75.88257,105.07725,0.94746095,-2.1485353,796.875,46.75293,78.125,162.03186,-75.84412,,,,,,,,
7,27.0,9.469824,0.83740234,4.3114257,7.446289,3.112793,1520.813,16.78711,0.24719238,9.469824,0.83740234,4.3114257,7.446289,3.112793,1520.813,16.78711,0.24719238,9.469824,0.83740234,4.3114257,5.6762695,3.112793,1520.813,16.78711,0.24719238,9.455469,0.8086914,4.3114257,5.6152344,3.112793,1520.813,15.578613,0.24719238,9.479395,1.1005859,4.3114257,9.094238,3.2958984,1520.813,23.208618,0.24719238,9.479395,1.1005859,4.3114257,9.094238,3.2958984,1520.813,23.208618,0.24719238,9.479395,1.1005859,4.3114257,9.094238,3.2958984,1520.813,23.208618,0.24719238,9.479395,1.1005859,4.3114257,9.094238,3.2958984,1520.813,23.208618,0.24719238,9.479395,1.1005859,4.3114257,9.094238,3.2958984,1520.813,23.208618,0.24719238,9.479395,1.1005859,4.3114257,9.094238,3.2958984,1520.813,23.208618,0.24719238,9.479395,1.1005859,4.3114257,9.094238,3.2958984,1520.813,23.208618,0.24719238,9.479395,1.1005859,2.569629,9.094238,3.2958984,7.080078,23.208618,-75.27283,9.479395,1.1005859,2.569629,9.094238,3.2958984,7.080078,23.208618,-75.27283,9.479395,1.1005859,2.569629,9.094238,3.2958984,7.080078,23.208618,-75.27283,9.479395,1.1005859,2.5791993,9.094238,3.2958984,7.080078,23.208618,-75.03662,9.479395,1.1005859,2.6222656,9.094238,3.2958984,7.080078,23.208618,-74.86084,9.618164,0.6603516,2.789746,8.666992,5.004883,6.4086914,12.848511,-74.82239,9.752149,0.6603516,2.8232422,8.666992,5.004883,6.4086914,12.848511,-74.82239,9.752149,0.6603516,2.8232422,8.666992,5.004883,6.4086914,12.848511,-74.82239,9.752149,0.6603516,2.8232422,8.666992,5.004883,6.4086914,12.848511,-74.82239,9.752149,0.6603516,2.8232422,8.666992,5.004883,6.4086914,12.848511,-74.82239,9.752149,0.6603516,2.8232422,8.666992,5.004883,6.4086914,12.848511,-74.82239,,,,,,,,
8,29.0,16.743261,0.45458984,2.0624022,115.478516,25.6958,27.770996,-87.04468,-59.37561,16.743261,0.45458984,2.0624022,115.478516,25.6958,27.770996,-87.04468,-59.37561,44.65029,8.297461,4.7325196,315.55176,49.682617,27.770996,-20.13794,-59.37561,44.65029,8.297461,4.7325196,315.55176,49.682617,22.888184,-20.13794,-59.37561,44.65029,8.297461,4.7325196,315.55176,49.682617,22.888184,-20.13794,-59.37561,44.65029,8.297461,4.7325196,315.55176,49.682617,22.888184,-20.13794,-60.496216,44.65029,8.297461,4.7325196,315.55176,49.682617,22.888184,-20.13794,-60.95215,44.65029,8.297461,4.7325196,315.55176,49.682617,22.888184,-20.13794,-60.95215,44.65029,8.297461,4.7325196,315.55176,49.682617,22.888184,-20.13794,-60.985107,44.65029,8.297461,4.7325196,315.55176,49.682617,22.888184,-20.13794,-61.018066,44.65029,8.297461,4.7325196,315.55176,49.682617,22.888184,-20.13794,-61.018066,44.65029,9.005664,6.1776366,315.55176,49.682617,22.888184,-20.13794,-61.034546,44.65029,9.005664,6.1776366,315.55176,49.682617,22.888184,-20.13794,-61.051025,44.65029,9.005664,6.1776366,315.55176,49.682617,22.888184,-20.13794,-61.06201,17.226562,9.005664,6.1776366,156.98242,31.61621,19.28711,-31.640625,-72.91626,17.370117,9.005664,6.1776366,156.98242,31.61621,19.28711,-32.541504,-72.91626,17.370117,9.005664,6.1776366,156.98242,31.61621,19.28711,-32.541504,-72.91626,17.370117,9.005664,6.1776366,156.98242,31.61621,19.28711,-32.541504,-72.91626,17.370117,9.005664,6.1776366,156.98242,31.61621,19.28711,-32.541504,-72.91626,17.370117,9.005664,6.1776366,156.98242,31.61621,19.28711,-32.541504,-72.91626,17.370117,9.005664,6.1776366,156.98242,31.61621,19.28711,-32.541504,-72.91626,17.370117,9.005664,6.1776366,156.98242,31.61621,19.28711,-32.541504,-72.91626,,,,,,,,
9,31.0,9.905273,-1.2919922,-1.6652343,1.5258789,3.8452148,1.7700195,-142.98157,-74.53125,9.905273,-1.2919922,-1.6652343,1.5258789,3.8452148,1.7700195,-142.98157,-74.53125,9.905273,-1.2919922,-1.6652343,1.5258789,3.8452148,1.7700195,-142.98157,-74.53125,9.905273,-1.2919922,-1.6652343,1.5258789,3.8452148,1.7700195,-142.98157,-74.53125,9.905273,-1.2919922,-1.6652343,1.5258789,3.8452148,1.7700195,-142.98157,-74.53125,9.905273,-1.2919922,-1.6652343,1.5258789,3.8452148,1.7700195,-142.98157,-74.53125,9.905273,-1.2919922,-1.6652343,1.5258789,3.8452148,1.7700195,-142.98157,-74.53125,9.905273,-1.2919922,-1.6652343,1.953125,3.8452148,5.1879883,-142.10266,-73.33374,9.905273,-1.2919922,-1.6652343,1.953125,3.8452148,5.1879883,-142.10266,-73.33374,9.905273,-1.2919922,-1.6652343,1.953125,3.8452148,5.1879883,-142.10266,-73.33374,9.905273,-1.2919922,-1.6652343,1.953125,3.8452148,5.1879883,-142.10266,-73.33374,9.905273,-1.2919922,-1.6652343,1.953125,3.8452148,5.1879883,-142.10266,-73.33374,9.474609,-1.3924805,-2.0911133,1.953125,2.5024414,5.1879883,-142.10266,-73.33374,9.474609,-1.3924805,-2.0911133,1.953125,2.5024414,5.1879883,-142.10266,-73.33374,9.474609,-1.3924805,-2.0911133,1.953125,2.5024414,5.1879883,-142.10266,-73.33374,9.474609,-1.3924805,-2.0911133,1.953125,2.5024414,5.1879883,-142.10266,-73.33374,9.474609,-1.3924805,-2.0911133,1.953125,2.5024414,5.1879883,-142.10266,-73.33374,9.474609,-1.3924805,-2.0911133,1.953125,2.5024414,5.1879883,-142.10266,-73.33374,9.498535,-1.3924805,-2.0384765,1.953125,3.3569336,5.1879883,-142.10266,-72.9657,9.498535,-1.469043,-2.0384765,0.8544922,3.3569336,2.5024414,-142.98706,-72.9657,9.599024,-1.469043,-1.8901367,1.3427734,6.0424805,2.5024414,-142.98706,-72.9657,9.646875,-1.469043,-1.684375,1.3427734,6.0424805,2.5024414,-142.98706,-72.9657,,,,,,,,
