,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,10.0,5.130344,5.1472974,5.171326,5.1736155,5.1786766,5.1795845,5.1878576,5.194571,5.191553,5.186781,5.179241,5.1737084,5.1716022,5.1758137,5.1733017,5.1765637,5.1822057,5.1821017,5.186469,5.192238,5.1961327,5.202959,5.212776,5.217398,5.2198005,5.226782,5.2497406,5.3935533,5.417914,5.439945,5.4615364,5.4813304,5.5057583,5.526872,5.543982
1,12.0,5.4800496,5.4798255,5.447563,5.3949914,5.329506,5.247316,5.1430936,5.0070214,4.8397155,4.687981,4.556979,4.408318,4.2191925,4.0922337,4.0687175,4.103686,4.126596,4.1422844,4.1472077,4.1493206,4.1598725,4.175568,4.1834464,4.119344,4.089222,4.184007,4.3580756,4.425205,4.469336,4.5119743,4.5561037,4.5994234,4.6215906,4.7226396,4.851691
2,15.0,4.915966,4.926146,4.9725175,4.990762,5.002177,4.9945607,5.045303,5.0517526,5.1044526,5.1432085,5.164484,5.1662483,5.169204,5.148211,5.0878234,5.037102,4.994104,4.908072,5.0020757,5.0090556,5.0380855,5.0134273,4.999761,4.995291,4.992531,5.0252795,5.0544834,5.063434,5.0788074,5.1355367,4.9924216,4.9459743,4.849457,5.4550247,5.492733
3,16.0,5.2934537,5.286944,5.2723336,5.248604,5.2371774,5.216229,5.253758,5.300988,5.313764,5.290342,5.27134,5.2350497,5.192587,5.14299,5.1331387,5.16631,5.185724,5.170191,5.1858864,5.2396035,5.3053823,5.355606,5.3855343,5.3751698,5.362976,5.3416715,5.2700114,5.1609244,4.973516,4.8796387,4.986311,5.026767,4.9883122,4.9740214,4.90593
4,18.0,5.125609,5.1405044,5.1568947,5.167746,5.1737275,5.581657,5.5843186,5.5864615,5.5878854,5.5896106,5.590073,5.5910077,5.592893,5.6237254,5.6119647,5.6449075,5.676582,5.4232116,5.4326854,5.427364,5.4240756,5.4153824,5.403649,5.3894844,5.373219,5.3219147,5.288286,5.228191,5.144449,5.0223374,4.9687943,4.9728637,4.9619083,4.968427,4.9739227
5,22.0,4.4761653,4.4006534,4.379004,4.5244784,4.5726514,4.631041,4.753521,4.882957,4.902096,4.9133897,4.9265676,4.8888454,4.8565693,4.8664613,4.77966,4.6642704,4.5613003,4.4281707,4.263638,3.998976,3.969632,3.958497,3.9761455,3.9478018,3.9364774,3.888116,3.921671,3.93517,3.9633262,3.9941854,4.0245733,4.0530915,4.0694666,4.0754776,4.0585637
6,26.0,4.549229,4.658797,4.734982,4.839022,4.9545455,5.0001535,5.0230393,5.0929446,5.102228,5.117924,5.139329,5.141871,5.157582,5.1841903,5.2362084,5.246486,5.2379475,5.2684164,5.3060913,5.3167844,5.3889117,5.4714684,5.536794,5.562662,5.5299535,5.487579,5.4300466,5.3873096,5.3806114,5.381985,5.3392606,5.300314,5.207802,4.996183,4.869011
7,27.0,4.8339696,4.8436127,4.835341,4.8385425,4.810416,4.774162,4.744895,4.717964,4.6538367,4.5596766,4.508676,4.506565,4.4638805,4.4622684,4.5315022,4.52603,4.571833,4.5982704,4.6187477,4.624422,4.6654706,4.709207,4.7381463,4.7576823,4.755058,4.7466087,4.722296,4.7166004,4.705848,4.7143974,4.692272,4.684096,4.6836333,4.677218,4.653039
8,29.0,5.4402184,5.480493,5.494669,5.511007,5.5390763,5.5510297,5.535028,5.5255795,5.498249,5.462794,5.432281,5.3789773,5.3151517,5.2471137,5.201528,5.1602383,5.092646,5.182259,5.1678047,5.1694164,5.207653,5.2013535,5.225705,5.2409368,5.2533774,5.2519174,5.202724,5.154851,5.1238203,4.806893,4.715627,4.6172585,4.4758916,4.3991117,4.318999
9,31.0,4.4702373,4.448786,4.455171,4.4680104,4.4428935,4.518517,4.5147166,4.5350366,4.592066,4.6217003,4.6444507,4.6692686,5.0275154,5.052637,5.0823503,5.1087704,5.139868,5.105962,5.1060004,5.085858,5.054072,5.0600095,5.0696545,5.077883,4.6923885,4.6996694,4.706219,4.712813,4.719812,4.7267046,4.733354,4.7389417,4.742855,4.7461286,4.748132
10,32.0,5.131764,5.150202,5.1470647,5.1571198,5.14801,5.138315,5.1442976,5.117796,5.0935855,5.084771,5.0810065,5.0738826,5.064049,5.156015,5.1371284,5.1452584,5.1643867,5.1775155,5.1751065,5.188929,5.1917653,5.1888127,5.2033668,5.218519,5.2361875,5.169933,5.1847253,5.1947474,5.1967587,5.2033477,5.209244,5.2094045,5.2022495,5.170557,5.1419864
11,33.0,5.6043873,5.634197,5.625875,5.598087,5.556236,5.5045867,5.4442945,5.3564935,5.4032626,5.484688,5.5154557,5.5346723,5.540369,5.550014,5.5433307,5.512115,5.456899,5.386743,5.3491116,5.2211566,5.2597437,5.311728,5.339416,5.366871,5.388599,5.4106965,5.480001,5.471174,5.4392467,5.395235,5.274025,5.2014728,5.0786157,4.97023,4.9026566
12,35.0,5.628777,5.624045,5.608291,5.591688,5.584482,5.5693192,5.54796,5.5038896,5.466149,5.5058494,5.525126,5.536806,5.544782,5.535793,5.522186,5.499403,5.496847,5.501614,5.4989877,5.4951205,5.494858,5.4664826,5.4509435,5.4507866,5.4475894,5.442082,5.4431305,5.4410267,5.4335275,5.4223595,5.406744,5.382075,5.3653584,5.3541093,5.346855
