,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,10.0,0.34825903417452925,-0.11233631263488464,-0.09458724681792882,-0.11287503448382322,-0.15075561504689383,-0.10552796020395509,-0.15940866679653315,-0.1732593896578763,15.462783185450807,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12.0,0.4918454591341245,-0.13467290808305846,-0.15234762814870167,-0.2885262280599513,-0.30490112494003596,-0.5061768471495665,33.49065629777425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15.0,0.3101001132029763,-0.1014968789435149,-0.11568769911080087,-0.13952168500535223,-0.16424224050730643,-0.2057340903217909,-0.33831307300275054,-0.3481621425851687,28.402700716611893,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16.0,0.53965630040378,-0.10891893648805347,-0.1151375613609049,-0.15983197774606786,-0.12416005049787374,-0.1363841308814826,13.88861871609249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,18.0,0.32119006756078833,-0.09049673331636873,-0.16608171204001704,-0.1644987736532591,-0.09677414961194765,-0.1750144868292047,17.127443107371096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,22.0,0.5946772363250836,-0.11900366977156883,-0.14939101662493226,-0.03927242415770136,-0.02437559075461864,-0.07980754897217517,11.682731868341541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,26.0,0.16843849971122887,-0.043679115381460513,-0.12517407692530266,-0.05610059786761894,-0.16379483722031055,-0.09899648924701059,-0.12456130054075543,-0.0867261259349068,15.424358701275573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,27.0,0.45390587195050597,-0.1329992766041717,-0.12314339879196702,-0.1446977170111993,-0.04987903822143683,0.008643310093311625,12.36784626217736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,29.0,0.46173892830586893,-0.13417855666325496,-0.16575251573636726,-0.20659869946364529,-0.2970194895490264,-0.47176598991333196,32.94607609023609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,31.0,0.426590313235834,-0.12055893627302942,-0.15049290518820388,-0.18887757189647972,-0.24225011625609136,-0.30112781448105214,25.71178564796685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,32.0,0.42894253985656045,-0.11282021032025863,-0.14576834289316945,-0.14734820765794904,-0.3087832850792101,-0.13277422498257202,24.478760226375552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,33.0,0.6675550445270604,-0.12590792127911857,-0.15952802885847142,-0.20012167505416342,-0.24586423758396292,-0.47199443810403485,31.649844981472306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
