,0,1,2,3,4,5,6
0,14.0,3.06092090202471e-05,3.673505173305475e-05,9.069119918765104e-06,4.327060176800954e-05,1.572122805357516e-05,1.7258901851870594e-05
1,21.0,0.0,,,,,
2,23.0,0.0,,,,,
3,25.0,0.00022236092011079247,5.392204521194447e-05,5.525205115819802e-05,7.838272817785425e-05,0.0005553655930232586,4.550521214124988e-05
4,34.0,8.47274977055655e-05,3.666386108005757e-07,1.6447757948848148e-05,1.619840514268746e-07,0.00018142086082062212,0.004450009246215324
5,39.0,0.005152648886976748,0.0004884563999496037,0.0009016199119102806,0.0018249281413130164,0.0008822909270411007,0.011111090610168354
6,43.0,0.5434075539756673,0.001724647852067187,0.0006974079944074042,0.0004561166710044582,0.0007611820102727691,0.0005812247695854044
7,46.0,0.0002931350450959015,0.002084714529647882,0.0003035729758969811,0.0008923746828403323,0.00030574215143161097,2.9870269914516157e-06
8,51.0,0.000302792873933294,0.00019342347181340832,0.0005501372657461174,0.00010935347163708919,0.00016921526373350163,6.726510770378908e-07
9,57.0,0.004002700287027465,0.0004212733324805788,0.00013328913300756493,0.00020974820364189122,0.0003349212995552217,0.0013254683815271254
10,71.0,1.7020869189977332e-06,9.693442379181108e-05,1.48309959903656e-06,5.437635546425042e-05,3.370369798796059e-06,4.868773618448421e-06
11,72.0,4.487502659150891e-05,1.5106340900011522e-05,1.1360690229031101e-05,2.6829674320263224e-06,5.77071468779658e-07,0.00016930239974563883
12,77.0,0.004731261741442493,0.0001521437380205037,0.0029006302351129633,1.4890954796349987e-05,0.0045198525864634815,0.0770370355428591
13,78.0,0.0,,,,,
14,79.0,0.001219747612370821,0.000594983848948973,2.4456184002135405e-05,2.1793317867861264e-05,4.495945065927637e-06,0.00030542809588561244
15,80.0,0.036202521895304686,0.0006251447980923138,0.0017226519341693829,0.00022766864580419987,2.6896741287655027e-05,0.00805902475411571
16,82.0,0.00019128841743144603,9.716301324824794e-06,0.0004282779583015884,7.720258678990849e-07,0.001006795877145505,0.00016161819653019125
17,83.0,8.840449411712807e-06,1.437254031795746e-06,3.910789638186009e-05,5.591039416496721e-07,6.098022765346598e-06,0.00013325862557874777
18,84.0,0.0,,,,,
19,85.0,0.5242926278907767,1.539981172763657e-05,0.00010305055842392713,0.0004415206445312087,3.28890943276109e-05,0.0020882459769759926
20,87.0,0.0,,,,,
21,88.0,0.0,,,,,
22,89.0,5.8086548348960896e-05,1.4815084375970156e-06,9.733389933651938e-05,3.142278253745921e-06,0.00017542528484656994,2.2262692560246874e-05
23,91.0,0.002698300137586966,1.8143366538981264e-05,0.00021171752758200238,1.843436135829546e-05,9.833549555267408e-05,2.213918239462109e-05
24,92.0,0.0015022762994393955,0.0005859154502888444,3.149175833958366e-05,0.0004270327118743526,7.21706191962912e-05,0.0001133782662980956
25,93.0,0.0020267927406884437,0.006151023150662514,5.8819859541706766e-05,0.001315673027926711,0.006745559406294634,0.00616990318494145
