,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
0,14.0,182.1311,17.033318,8.374776,8.344923,8.218402,13.86228,8.221931,9.753614,8.784379,8.723276,9.400223,9.015617,8.911648,8.841122,8.550308,8.312334,8.376361,8.491939,8.511976,8.743052,8.729574,8.698309,8.743359,8.343032,8.397742,9.11996,8.748629,9.164074,8.870854,8.570675,8.694736,8.931677,9.058565,8.262129,9.134443,9.134462,8.608648,8.804874,17.67021,8.848524,8.991504,8.183026,8.183901,8.134613,8.032774,11.139437,8.763116,,,,,,,,,,,
1,21.0,11.280736,9.883789,9.699771,10.143341,9.654354,9.675905,12.002091,9.990444,10.750027,11.588034,9.79175,8.590975,8.326309,8.356128,10.177005,9.396001,12.177692,11.267673,11.315876,10.961791,11.038855,9.20101,13.639261,11.614293,9.826808,8.648017,8.754882,8.634186,8.583873,8.591927,8.624891,8.831776,8.709348,11.18458,9.99761,11.977536,8.283195,9.12584,9.797395,9.886508,11.0201845,9.965092,8.933476,9.135329,8.962266,15.112736,9.271833,,,,,,,,,,,
2,23.0,9.786938,9.655625,9.621668,9.6507635,9.834512,13.70563,13.211028,10.673273,9.425806,10.574612,11.17865,11.150857,10.437395,10.148106,13.648182,10.89481,13.840577,11.302803,12.950664,12.941031,12.504979,13.171485,12.218411,14.36527,11.198416,12.390987,12.297628,11.919833,12.555331,12.092886,12.304201,12.640294,14.968142,13.615657,13.05982,10.329796,17.717194,10.4066105,10.163672,13.418473,14.059114,10.385193,14.172002,175.90251,9.854825,9.771668,9.757384,,,,,,,,,,,
3,25.0,16.70731,9.31663,9.017166,9.021848,9.02368,9.02318,9.325474,12.326514,8.24443,8.69567,10.41105,166.15929,8.964645,8.99132,11.275885,5.5388265,3.5413582,3.8020077,5.9688377,17.784105,9.7852,9.712573,9.7201805,9.711526,10.753882,12.574066,3.762971,13.93953,9.646051,8.848173,8.922084,8.874339,13.2644615,12.222111,8.714941,7.0600533,7.21394,7.066613,8.016112,11.156055,11.145755,10.496343,137.8149,11.778197,8.697315,7.5316625,7.482944,,,,,,,,,,,
4,34.0,6.8159456,6.7508535,6.6415553,6.6060705,10.29794,10.3849535,9.854355,9.526502,10.439321,10.223477,10.334034,10.255289,9.367046,10.609783,10.023932,10.057356,10.298708,10.126279,10.695431,9.955371,9.295205,9.272942,9.953817,11.051175,10.8745575,9.960912,9.126277,10.435816,9.910993,10.820797,10.036632,11.572975,10.807271,9.890566,10.703968,10.092703,10.627754,10.69979,11.526909,9.416843,11.101795,10.032962,12.913246,5.5053196,5.3224187,11.262692,9.402007,9.566422462463379,10.715341567993164,8.570686340332031,9.106454849243164,10.341757774353027,11.513421058654785,10.186034202575684,11.07397747039795,6.028144359588623,12.271265029907227,
5,39.0,13.352511,9.042771,9.196119,9.817341,11.471241,6.9578505,5.210822,4.839771,5.823606,4.729238,5.427325,4.950741,4.651526,4.0434346,4.580857,4.305391,4.2850266,5.0704255,4.7119384,5.1201124,4.726465,5.0847573,3.855975,4.1355076,4.575513,4.6886644,4.400034,4.9690504,4.40963,4.248359,4.7372007,4.903891,4.3914332,3.8931532,4.8440742,4.13048,4.257329,3.9603205,3.9524813,3.9996605,4.029775,4.2602243,15.01663,7.421936,7.9508076,11.719824,5.633064,5.040605068206787,4.738092422485352,5.214110374450684,4.5966925621032715,5.373988628387451,5.256308078765869,5.222944736480713,5.090301990509033,5.139894962310791,5.1171064376831055,
6,43.0,8.635219,8.497005,10.179666,8.54395,8.51104,8.537536,6.1574087,2.4354188,2.3282673,4.4273973,2.2768948,1.8457372,1.7585043,2.9543178,4.071561,3.8113194,2.6462088,1.4301854,3.3682504,2.5811117,2.7057636,1.7685733,2.2975378,2.9875321,3.9346092,6.614971,2.0291827,3.9688652,2.426645,4.052259,3.0046666,3.0800426,2.9820087,3.2818673,3.4301927,3.5732687,2.4665103,2.2180476,4.2122912,4.581824,3.5178971,3.4734962,4.991471,9.822752,8.488248,6.872312,6.052716,,,,,,,,,,,
7,46.0,2.434549,3.7639506,2.1584237,4.9823103,5.2515316,6.3282056,8.772987,7.087133,4.128877,5.0507183,3.5818837,3.286758,5.182843,6.168668,5.8916388,6.0631256,3.4747648,3.6952934,4.780237,9.445061,7.6898413,7.6473403,2.9261417,4.738107,3.2612514,3.665442,2.9068594,3.7980065,4.9345145,4.38803,4.7146835,4.7483726,3.7166836,4.16539,10.2714615,4.4705753,7.408104,3.9668598,4.593655,3.756945,4.893007,3.8243577,3.5075717,3.8591626,3.8215427,5.355291,4.0940022,,,,,,,,,,,
8,51.0,6.034042,5.6157804,5.8675456,5.771184,5.8619747,5.871716,6.596599,7.812342,4.314768,5.583529,7.07856,5.791664,5.0143347,4.0821195,4.6468697,3.978379,5.1118574,4.5880666,4.223192,4.3095345,6.152044,4.206237,3.168789,4.176967,3.2669163,5.467187,12.531808,3.8705378,4.087907,8.688395,4.7493944,4.521881,4.65382,4.5628014,4.8473916,3.2807682,3.0495002,4.9028707,7.705525,5.545998,5.5008593,5.2372694,5.266564,4.7071176,5.747618,3.574803,7.8322134,4.647923946380615,5.769289016723633,4.5584635734558105,5.035844326019287,6.798914432525635,10.186639785766602,4.912798881530762,6.832808017730713,5.273504734039307,5.498496055603027,5.754927635192871
9,57.0,8.324092,9.037893,8.396249,8.978347,6.5247498,16.334465,8.647247,7.966493,6.4473658,6.744409,10.192947,9.955308,7.1829166,5.9189157,5.964211,6.2637606,6.165094,7.350153,7.6297736,8.573987,7.2361217,7.952697,7.225341,7.905078,7.87505,8.423279,7.8504,7.307123,8.212623,8.441944,7.766487,7.9528146,8.434319,8.090091,8.127969,6.770227,11.93591,10.211038,10.70776,10.421947,10.2506275,10.149299,9.716675,9.884581,9.923696,9.137431,17.140364,12.756710052490234,9.252113342285156,8.011576652526855,8.488360404968262,8.446396827697754,8.550433158874512,8.686250686645508,8.389731407165527,8.980323791503906,8.190157890319824,
