,0,1
0,14.0,4.417694247287571
1,21.0,2.441512498942501
2,23.0,7.602126337997987
3,25.0,4.325871208557231
4,34.0,3.0901596366237385
5,39.0,3.3773462231352056
6,43.0,8.958909194164775
7,46.0,5.698141589627582
8,51.0,4.302303981877259
9,57.0,2.979635058106382
10,71.0,2.8556786078951433
11,72.0,3.6278293310015925
12,77.0,5.395194085390315
13,78.0,4.12402452994273
14,79.0,5.042620149661474
15,80.0,3.0716139067692865
16,82.0,2.579902239831952
17,83.0,4.444571234704867
18,84.0,3.3383528362717954
19,85.0,3.953864535472647
20,87.0,3.434900658951676
21,88.0,6.158297753684678
22,89.0,5.443204725536077
23,91.0,5.879812252917361
24,92.0,7.027799911524085
25,93.0,8.766323496852749
