,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,14.0,4.954898357391357,4.967841625213623,4.971049785614014,4.9958882331848145,5.0111823081970215,5.029479503631592,5.057809829711914,5.079224109649658,5.093567371368408,5.106404781341553,5.122870445251465,5.145376205444336,5.162258148193359,5.1649556159973145,5.165469646453857,5.154179096221924,5.139279842376709,5.122759819030762,5.087314128875732,5.037041187286377,4.995773792266846,4.931898593902588,4.847360134124756,4.769455909729004,4.763185977935791,5.609760284423828,5.587259769439697,5.567915439605713,5.562464237213135,5.564096927642822,5.582095623016357
1,21.0,5.093660831451416,5.108360290527344,5.2231059074401855,5.300926208496094,5.357698917388916,5.403064727783203,5.421005725860596,5.422792911529541,5.406332492828369,5.368312835693359,5.310039043426514,5.222710132598877,5.068714618682861,5.106222629547119,5.246507167816162,5.34625768661499,5.415250301361084,5.446157455444336,5.460317134857178,5.470771789550781,5.44784688949585,5.408084392547607,5.371469974517822,5.310546875,5.244668960571289,5.205423831939697,5.20690393447876,5.210619926452637,5.221755504608154,5.230374813079834,5.237977504730225
2,23.0,4.768163681030273,4.768228054046631,4.768412113189697,4.768677234649658,4.768906116485596,4.769674777984619,4.7697577476501465,4.770638465881348,4.77144193649292,4.772280216217041,4.772908687591553,4.773087024688721,4.768955707550049,4.763896942138672,4.759840488433838,4.754693508148193,4.748388290405273,4.740211009979248,4.732848644256592,4.725321292877197,4.71659517288208,4.705944061279297,4.691647052764893,4.677901744842529,4.675063610076904,4.6729912757873535,4.667574405670166,4.6627726554870605,4.6603474617004395,4.662225723266602,4.660543441772461
3,25.0,4.66091251373291,4.668881893157959,4.706385135650635,4.734805583953857,4.763318061828613,4.786075592041016,4.797389507293701,4.8327131271362305,4.86920690536499,4.8767218589782715,4.880880832672119,5.516311168670654,5.518636226654053,5.529689311981201,5.5443501472473145,5.564778804779053,5.5820841789245605,5.595876216888428,5.615192890167236,5.621006011962891,5.62524938583374,5.629680156707764,5.636501312255859,5.028182506561279,5.038074970245361,5.037045955657959,5.035294532775879,5.040244102478027,5.025865077972412,5.002348899841309,4.9840216636657715
4,34.0,5.328754901885986,5.32885217666626,5.50170373916626,5.501737594604492,5.501750946044922,5.499776840209961,5.315162181854248,5.310535907745361,5.304214954376221,5.297555446624756,5.290391445159912,5.283541202545166,5.2773895263671875,5.2708868980407715,5.077404022216797,5.070169448852539,5.063230991363525,5.057559490203857,5.052578449249268,5.049192905426025,5.0475544929504395,5.036839962005615,5.013279438018799,4.988488674163818,4.964466571807861,4.943762302398682,4.919605255126953,4.876224994659424,4.82729959487915,4.776697635650635,4.730991840362549
5,39.0,4.367942810058594,4.360263347625732,4.359581470489502,4.3543267250061035,4.349977970123291,4.345268249511719,4.3038763999938965,4.293130397796631,4.277571201324463,4.271114826202393,4.2653985023498535,4.259352207183838,4.264315605163574,4.264708995819092,4.2671589851379395,4.270301342010498,4.2720627784729,4.272129535675049,4.274853229522705,4.267251968383789,4.255615234375,4.267209529876709,4.26973819732666,4.269280433654785,4.343040466308594,4.466582775115967,4.554542541503906,4.644690036773682,4.7309417724609375,4.800948619842529,4.847255706787109
6,43.0,5.704908847808838,5.735518932342529,5.745497226715088,5.7509765625,5.754898548126221,5.753862380981445,5.752543926239014,5.750837802886963,5.751588821411133,4.980419635772705,4.981207847595215,4.9737229347229,4.964110374450684,4.961664199829102,4.956602096557617,4.953671932220459,4.95491886138916,4.956575393676758,4.974442005157471,4.986360549926758,4.990299701690674,4.978225231170654,4.975754261016846,4.984894275665283,4.996224880218506,5.000097274780273,5.0102152824401855,5.018340587615967,5.021996021270752,5.018770694732666,5.00681734085083
7,46.0,5.1380133628845215,5.115664005279541,5.051971912384033,4.973410129547119,5.030971527099609,5.070709705352783,5.087329864501953,5.05073356628418,5.046176910400391,5.02959680557251,4.995077133178711,4.947578430175781,4.887955188751221,4.814058780670166,4.836230754852295,4.795434474945068,4.758609771728516,4.758972644805908,4.84061861038208,4.860178470611572,4.880753040313721,4.87452507019043,4.8581695556640625,4.839283466339111,4.818850040435791,4.835285663604736,4.852750301361084,4.856502056121826,4.8433451652526855,4.837193012237549,4.742421627044678
8,51.0,3.94962477684021,3.9484617710113525,3.951495409011841,3.947148323059082,3.9566400051116943,3.9630520343780518,3.9539177417755127,3.9376423358917236,3.9243314266204834,3.9225900173187256,3.9280309677124023,3.921186685562134,3.93239426612854,3.924229860305786,3.9176759719848633,3.920161247253418,3.919044256210327,3.916860580444336,3.916412353515625,3.9196836948394775,3.9212758541107178,3.910578727722168,3.8974227905273438,3.9275124073028564,4.213329792022705,4.218648433685303,4.220391273498535,4.645466327667236,4.641328811645508,4.642332553863525,4.6473002433776855
9,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,71.0,4.8847479820251465,4.863503932952881,4.8345746994018555,5.131137371063232,5.1363725662231445,5.1416826248168945,5.143648624420166,5.147164821624756,5.152891159057617,5.154026985168457,5.155251502990723,5.156137943267822,5.155666351318359,5.15664005279541,5.157212734222412,4.891946315765381,4.893716812133789,4.895512104034424,4.8988776206970215,4.899529933929443,4.900999546051025,4.902696132659912,4.902153968811035,4.901609420776367,4.905976295471191,4.90886926651001,4.913026332855225,4.914826393127441,4.920688152313232,4.927722454071045,4.932544231414795
