,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,14.0,0.3748125937031484,0.21739130434782605,0.21240441801189464,0.3472222222222222,0.20868113522537562,0.3205128205128205,0.4570383912248629,0.25510204081632654,0.4222972972972973,0.23719165085388993,0.1515151515151515,0.21385799828913601,0.36023054755043227,0.2615062761506276,0.29171528588098017,0.2828054298642534,0.5035246727089627,0.43029259896729777,0.5995203836930456,,0.44247787610619466,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21.0,0.3,0.14343086632243257,0.20064205457463885,0.13333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,23.0,0.23333333333333334,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.18832391713747645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,25.0,0.1,0.09487666034155597,0.16666666666666666,0.1,0.11173184357541899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,34.0,0.26666666666666666,,0.2,0.2,0.13333333333333333,0.13333333333333333,0.2,0.2,0.13333333333333333,0.13333333333333333,0.3,0.13333333333333333,0.13333333333333333,0.3,0.16666666666666666,0.26666666666666666,0.0,0.2,,0.26666666666666666,0.3333333333333333,0.3,0.23333333333333334,0.13333333333333333,0.16666666666666666,0.16666666666666666,0.2,0.8417508417508418,0.8710801393728222,,,,,,,,,6.944444444444444,,,,,,,,,,
5,39.0,,0.1313370107696349,,0.2410800385728062,0.12830382345393893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,43.0,0.16666666666666666,0.16666666666666666,0.13333333333333333,0.13333333333333333,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,46.0,0.22163120567375885,0.24618414574101427,0.10150223304912707,0.2901915264074289,0.23779327837666459,0.2044153720359771,0.125,0.15989766549408377,0.16640781007321945,0.27746947835738067,0.1771793054571226,0.13572204125950055,0.25853154084798347,0.286697247706422,0.5787037037037037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,51.0,0.2,,,0.2182643617950061,0.29797377830750893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,57.0,0.2612330198537095,0.15634771732332708,0.23084025854108958,0.11859582542694497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
