,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,14.0,5.328415,5.321263,5.3128533,5.310287,5.3077664,5.3050404,5.302459,5.304403,5.311431,5.316055,5.311286,5.3074474,5.3065314,5.299714,5.2914405,5.2382007,5.1727533,5.10211,5.0226617,4.933806419372559,4.833011627197266,4.722923755645752,4.611191272735596,4.479362964630127,4.31032657623291,4.114767551422119,3.8169097900390625,3.779439926147461,3.859619140625,3.9191977977752686,3.915811538696289,3.9317381381988525,3.929109573364258,3.92734432220459,,,,,,,,,,
1,21.0,4.896828,4.9146333,4.931801,4.952219,4.9769845,4.9780006,4.981824,4.985512,4.987779,4.9742618,4.968759,4.9591746,4.950566,4.9395833,4.9283752,4.914357,4.8969655,4.905967,4.9096866,,,,,,,,,,,,,,,,,,,,,,,,,
2,23.0,4.810137,4.7657695,4.714848,4.6544137,4.5813217,4.5155168,4.5129046,4.508654,4.506196,4.506273,4.5091977,4.511902,4.513636,4.518801,4.523048,4.527634,4.5319443,4.5359597,4.54098,4.546641826629639,4.5514750480651855,4.556282043457031,4.560986518859863,4.565867900848389,4.572238445281982,4.574856281280518,4.577369213104248,4.579525470733643,4.577030181884766,4.5792083740234375,4.5798468589782715,4.578303337097168,4.577399730682373,4.576178073883057,,,,,,,,,,
3,25.0,3.505091,3.5197895,3.5199223,3.5146637,3.508789,3.4984195,3.4924078,3.4971678,3.5266912,3.5491874,3.551404,3.8319747,4.0237756,4.1847672,4.320294,4.4372377,4.539697,4.661816,4.7703195,4.865807056427002,4.9519572257995605,5.035037517547607,5.111915111541748,5.14697790145874,5.175650119781494,5.197554111480713,5.216667652130127,5.232582092285156,5.249388217926025,5.25292444229126,5.255989074707031,5.258305072784424,5.258232593536377,5.256045818328857,,,,,,,,,,
4,34.0,4.2531075,4.2815323,4.3059034,4.3262925,4.3319087,4.1720595,4.0732017,4.0767646,4.0812335,4.087191,4.09543,4.2833614,4.5070295,4.6739297,4.8141413,4.938561,5.037371,5.1168213,5.1790924,5.2264018058776855,5.25710916519165,5.265157222747803,5.266265869140625,5.260779857635498,5.265909671783447,5.268448352813721,5.267509937286377,5.267243385314941,5.268139362335205,5.2688822746276855,5.269616603851318,5.270452976226807,5.2736382484436035,5.282901287078857,,,,,,,,,,
5,39.0,4.1331534,4.128197,4.126977,4.1056676,4.106012,4.1059623,4.105762,4.1050363,4.10405,4.1031165,4.102391,4.1028523,4.10269,4.1025653,4.1005726,4.103664,4.105769,4.1252046,4.120672,4.114193439483643,4.105283260345459,4.0943403244018555,4.0815348625183105,4.06836462020874,4.049340724945068,4.422441482543945,4.396942138671875,4.368329048156738,4.343125343322754,4.277319431304932,4.2784104347229,4.279106140136719,4.280470371246338,4.288398742675781,,,,,,,,,,
6,43.0,4.8538985,4.863026,4.8739395,4.8841286,4.8935866,4.9020867,4.9111466,4.919126,5.3633027,5.3660903,5.3686156,5.360594,5.351109,5.3594756,5.372028,5.376295,5.374499,5.3728676,5.371203,5.369868755340576,4.928037166595459,4.925344944000244,4.929205894470215,4.9214911460876465,4.92308235168457,4.905577182769775,4.874851226806641,4.916226863861084,4.931515216827393,4.928798675537109,4.9258880615234375,4.972048282623291,4.975433349609375,4.977940559387207,,,,,,,,,,
7,46.0,5.74461,5.746115,5.7469554,5.7477703,5.7486873,5.748256,5.666979,5.6666946,5.666617,5.665917,5.664787,5.663841,5.6631684,5.662826,5.6623483,5.6613593,5.660497,5.660849,5.6620445,5.663917541503906,5.6649017333984375,5.667686462402344,5.672098636627197,5.672048091888428,5.672109603881836,5.672313690185547,5.672618389129639,5.673217296600342,5.672739505767822,5.6696953773498535,5.6595940589904785,5.625123977661133,5.574316024780273,5.518765926361084,,,,,,,,,,
8,51.0,3.9201977,3.9040415,3.9057767,3.9016154,3.8975875,4.186016,4.354888,4.468921,4.5530634,4.620499,4.6778646,4.7279563,4.748611,4.75822,4.757952,4.7424407,4.814524,4.81904,4.797256,4.766480922698975,4.726612567901611,4.690162181854248,4.6578826904296875,4.6116461753845215,4.554129600524902,4.475091457366943,4.422386646270752,4.425151348114014,4.33333683013916,4.328418254852295,4.329968452453613,4.3568596839904785,4.368558406829834,4.36327600479126,4.349844932556152,4.334640979766846,4.3190388679504395,4.3046979904174805,4.289073467254639,4.274620532989502,4.258957386016846,4.244571685791016,4.231032371520996,4.20331335067749
9,57.0,4.7225475,4.7229457,4.7434096,4.765164,4.780718,4.795179,4.8075767,4.817555,4.8264384,4.834748,4.8472633,4.858499,4.866867,4.873713,4.8801694,4.8858647,4.891417,4.898501,4.9042373,4.909149169921875,5.366067409515381,5.36870813369751,5.36898946762085,5.369180679321289,5.367674350738525,5.380143642425537,5.389209747314453,5.412641525268555,5.442263126373291,5.464471817016602,5.482414245605469,5.496739864349365,5.039445877075195,5.033912658691406,5.0185394287109375,4.995594501495361,4.966005325317383,4.920429706573486,4.865250110626221,4.868455410003662,4.867111682891846,4.8634934425354,4.860069274902344,4.857311725616455
10,71.0,4.5665927,4.5727215,4.578492,4.5842466,4.591361,4.6027136,4.6097913,4.6140847,4.6257486,4.631684,4.6223893,4.6308956,4.631846,4.6318355,4.632469,4.633105,4.6328597,4.628925,4.623894,4.61152982711792,4.584930419921875,4.566949367523193,4.5769171714782715,4.570384502410889,4.591870307922363,4.600142002105713,4.599752902984619,4.598453998565674,4.5938801765441895,4.591442584991455,4.593503952026367,4.609673976898193,5.176210880279541,5.197494029998779,,,,,,,,,,
11,72.0,3.9413579,3.879117,3.797266,3.8054628,3.8806794,3.9723904,3.9999297,4.122205,4.1912103,4.241652,4.2831817,4.3333406,4.401105,4.5473537,4.6851454,4.771429,4.846449,4.8972306,4.9634132,4.995960712432861,5.036190509796143,5.079473972320557,5.1114935874938965,5.13712215423584,5.160025119781494,5.143182277679443,5.120585918426514,5.103937149047852,5.081820011138916,5.070957183837891,5.049320220947266,5.028451919555664,4.994828701019287,4.961435317993164,4.952749729156494,4.943114757537842,4.933549404144287,4.922663688659668,4.914475917816162,4.910373210906982,4.907777786254883,4.88299560546875,4.894285202026367,4.913741588592529
12,77.0,4.048245,4.0640893,4.0896225,4.11367,4.1284804,4.145807,4.1611285,4.1698456,4.1794705,4.18728,4.1861663,4.1850386,4.1807046,4.1761146,4.171474,4.1660275,4.1598086,4.153292,4.147401,4.144060134887695,4.155490875244141,4.159936904907227,4.164940357208252,4.170141696929932,4.183069705963135,6.519781112670898,6.519328594207764,6.518831729888916,6.5183258056640625,6.517894744873047,6.5175862312316895,6.516908645629883,6.5111870765686035,6.546864032745361,,,,,,,,,,
13,78.0,4.312746,4.2893214,4.250593,4.180044,4.1362996,4.202289,4.2093296,4.212568,4.2132,4.235023,4.2298474,4.2278504,4.219042,4.2004776,4.203508,4.21676,4.255133,4.2031655,4.2329926,4.233717441558838,4.223686695098877,4.2335076332092285,4.244032859802246,4.249557971954346,4.311911106109619,4.358926296234131,4.3811821937561035,4.3924055099487305,4.3912224769592285,4.406274795532227,4.376323223114014,4.383227825164795,4.406787872314453,4.40266752243042,,,,,,,,,,
14,79.0,5.1081653,5.111943,5.1212287,5.116385,5.104691,5.0845847,5.0563607,5.0179095,5.0120683,5.0055413,4.999729,4.994877,4.9973645,4.9877505,4.966635,4.95235,4.935494,4.903406,4.8567586,4.7940993309021,4.722520351409912,4.614220142364502,4.466928482055664,4.275920391082764,4.239652156829834,4.368266582489014,4.534378528594971,4.642421245574951,4.722606182098389,4.772979259490967,4.82006311416626,4.864176273345947,5.3358635902404785,5.397124767303467,,,,,,,,,,
15,80.0,4.502339,4.529642,4.5697937,4.609322,4.6463284,4.6805634,4.6874795,4.6896605,4.6900992,4.6860023,4.686423,4.689999,4.689734,4.695538,4.687259,4.6988125,4.706316,4.716234,4.726265,4.737184524536133,4.746675491333008,4.7203850746154785,4.690628528594971,4.673178195953369,4.655631065368652,4.639327049255371,4.65570068359375,4.675516128540039,4.697443008422852,4.7183756828308105,4.739474296569824,4.7588019371032715,4.779412746429443,4.827063083648682,,,,,,,,,,
16,82.0,3.7606618,3.7525349,3.7316132,3.713144,3.7983224,3.8898125,3.9552886,4.025656,4.094489,4.1500273,4.1928535,4.2369857,4.2726684,4.304844,4.3455863,4.38716,4.398458,4.410378,4.417418,4.432580471038818,4.437185764312744,4.44128942489624,4.445581912994385,4.445449352264404,4.4461588859558105,4.44340181350708,4.436805248260498,4.427474498748779,4.433182239532471,4.461964130401611,4.4741740226745605,4.4763336181640625,4.478580474853516,4.484822750091553,,,,,,,,,,
17,83.0,5.503723,5.5069885,5.5098076,5.51185,5.513294,5.5151143,5.5038543,5.4882064,5.471871,5.4547744,5.4369187,5.418077,5.3979588,5.3737087,5.3485,5.319025,5.28482,5.2449803,5.2395005,5.240112781524658,5.24057149887085,5.240907669067383,5.241147518157959,5.2414093017578125,5.242162227630615,5.243061542510986,5.2409467697143555,5.244347095489502,5.2575764656066895,5.2698750495910645,5.281742572784424,5.293177604675293,5.304134368896484,5.313502788543701,,,,,,,,,,
18,84.0,4.807377,4.7431808,4.722134,4.7250524,4.729704,4.733867,4.7488,4.77387,4.7906375,4.8067737,4.8314576,4.8623576,4.8926854,4.922754,4.9454384,4.964929,4.9830146,5.001266,5.0112185,5.0131330490112305,5.017330646514893,5.017333030700684,5.012668609619141,5.006510257720947,5.023469924926758,5.039379119873047,5.059906482696533,5.080260276794434,5.0973896980285645,5.111466884613037,5.123392581939697,5.132551670074463,5.136768817901611,5.140370845794678,,,,,,,,,,
