,0,1,2,3,4,5,6,7,8,9
0,14.0,925.5734996116598,923.4308134842156,924.4341348214014,928.6448593312218,935.3812804644444,939.1337818041635,939.5121072371016,,
1,21.0,810.6381418872854,842.3755545185427,864.3438505554047,872.2650861273435,959.661316719188,968.2608264962979,910.8525075450054,,
2,23.0,913.381888172863,926.1933620531307,967.2763200685748,966.2088864960784,955.8001284208568,959.1461463281756,954.9018829852176,,
3,25.0,695.414351030529,719.3173898497794,780.8922903985476,856.0213692089878,811.6767783812388,754.3517462205616,730.973221276486,,
4,34.0,782.1568954805998,765.2824032932081,787.1088678570304,814.9284783042868,831.0667182980048,817.0281711716556,810.228419369023,822.7063794792618,830.7232335470756
5,39.0,363.1673340947366,314.7510189566768,399.77282725108216,415.15567875481065,397.8418427241539,401.7209464463798,348.09909618257757,305.1640448808172,384.1614738596933
6,43.0,215.74345261652883,233.86523983656178,260.22463223226544,260.5585345923608,258.58175657637685,275.93667748109374,273.63561965672613,,
7,46.0,881.68665549463,887.8400064172372,888.7145414812328,890.3900337916004,897.6943411390507,904.0858271662468,899.6739296868188,,
8,51.0,824.7840200677851,436.2874742210384,532.586923186508,610.4846614959808,761.305444066425,816.3962852183978,717.4304931822654,715.7677623518425,766.1710961573098
9,57.0,576.7146266544946,574.5835945376255,563.9189151141726,563.0934951771865,580.9138691965964,573.6550653687204,537.5531751264477,544.6781631473157,577.0240602247313
10,71.0,792.8777941149781,620.5501486513127,613.6859245368717,596.4997195618582,609.6006066468713,643.9284938584253,604.9432554829392,583.0496177339382,587.0873135020115
11,72.0,902.7651527299848,871.868688416396,853.1762279311661,841.8107592687767,821.3583231339438,770.1763615189939,686.9962310946083,,
12,77.0,663.2338973050546,662.7152911325245,680.6154668265489,721.028898656418,748.5670510412185,722.9671177045708,636.2891691827738,,
13,78.0,671.954415927753,748.6593566656486,781.6947357918823,808.4546010538834,802.2013673288129,770.4597299785978,685.9104429935143,,
14,79.0,892.5482731073998,875.291465928566,882.5057604830833,879.6231371382398,808.066982117028,772.5125717138267,789.2398834452094,,
15,80.0,838.2046532597237,824.7688256938573,824.7900352260581,811.2599451400743,769.1323881092438,730.1731793883093,678.0110406801283,,
16,82.0,940.413563041531,921.6416789548164,866.93499650869,851.8524693725976,862.0917276089951,857.2889679790705,843.3760761164085,828.1772264989784,813.9435682455986
17,83.0,923.0418608225295,916.3775170015797,896.7630975858524,880.7362411433955,878.9177412368665,882.0817356031805,884.2716555437922,,
18,84.0,712.5669533920667,733.8989481453957,628.016213491856,621.5819237744603,702.965994096937,670.79552994387,607.3383862769981,,
19,85.0,521.7533403940624,630.5043166318064,668.8686659365405,661.6683094228663,607.6382787593433,472.15875002829864,326.4086276908531,,
20,87.0,360.3558299957826,408.46226549616756,471.0757680855652,566.0101997516064,620.569867312707,674.8575221377681,693.4460997900086,,
21,88.0,672.0781643383439,687.0655575299388,692.8900220326443,692.4866183559885,685.7186332095475,563.4898117130726,398.5514476301016,,
22,89.0,612.098393036853,409.92229593230047,442.7207155811194,478.9594230362841,483.6638192434924,552.8423861683126,653.445694718519,,
23,91.0,798.7116280933707,771.6840134062516,811.680095618603,859.2413163430563,894.0943258750053,855.3262880059185,839.135077108638,,
24,92.0,817.0911636512408,713.6953203420063,687.5275989553777,681.2021972192937,668.4110814406432,656.610755051144,626.6013388715114,,
25,93.0,659.0823814506097,813.6042352365473,869.8473485113426,876.9108327700927,838.3492784678004,791.6385652699697,783.3269866459386,,
