,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168
0,14.0,11.551367,3.3878906,-3.7802734,40.283203,10.620117,16.662598,164.9762,-58.425293,11.551367,5.0722656,4.9478517,22.033691,10.620117,8.666992,161.37268,-43.38501,11.551367,5.0722656,4.9478517,22.033691,10.620117,18.371582,159.57642,-43.38501,11.551367,5.0722656,4.9478517,22.033691,10.620117,18.371582,159.57642,-43.38501,11.551367,5.0722656,4.9478517,23.31543,10.620117,18.371582,159.57642,-43.38501,11.551367,5.0722656,4.9478517,23.31543,10.620117,18.371582,159.57642,-43.38501,11.551367,5.0722656,4.9478517,23.31543,10.620117,18.371582,159.57642,-43.38501,11.551367,5.0722656,4.9478517,44.677734,11.71875,18.371582,160.64209,-43.38501,11.551367,5.0722656,4.9478517,44.677734,11.71875,18.371582,160.64209,-43.38501,11.527441,5.0722656,4.9478517,44.677734,11.71875,18.371582,160.64209,-43.38501,11.527441,5.0722656,4.9478517,44.677734,11.71875,18.371582,160.64209,-43.38501,11.493945,6.2015624,4.9478517,44.677734,31.49414,18.371582,160.64209,-43.38501,12.24043,6.2015624,4.9478517,44.677734,35.40039,24.597168,160.64209,-43.38501,12.24043,6.2015624,-1.7035156,44.677734,35.40039,24.597168,160.64209,-43.81897,12.24043,6.2015624,-1.7035156,44.677734,35.40039,24.597168,160.64209,-44.835205,12.24043,6.2015624,-1.7035156,44.677734,35.40039,24.597168,160.64209,-44.835205,12.24043,6.2015624,-1.7035156,44.677734,35.40039,24.597168,160.64209,-44.835205,12.427051,6.2015624,-1.7035156,44.677734,35.40039,24.597168,160.64209,-44.835205,12.427051,6.2015624,-1.7035156,44.677734,35.40039,24.597168,160.64209,-44.835205,12.427051,6.2015624,-1.7035156,14.770508,35.40039,24.597168,157.0221,-44.835205,12.427051,6.2015624,-1.7035156,14.770508,35.40039,24.597168,156.27502,-44.835205
1,21.0,30.35703,8.560644,9.704297,108.27637,537.78076,194.88525,174.16077,-50.108643,30.35703,8.560644,9.704297,108.27637,537.78076,194.88525,174.16077,-50.108643,30.35703,8.560644,9.704297,79.52881,537.78076,74.401855,133.54431,-50.108643,30.35703,8.560644,9.704297,79.52881,537.78076,74.401855,134.47815,-50.108643,30.35703,8.560644,9.704297,79.52881,537.78076,74.401855,134.47815,-50.108643,30.35703,8.560644,9.704297,79.52881,537.78076,74.401855,134.47815,-50.108643,30.35703,8.560644,9.704297,79.52881,537.78076,74.401855,134.47815,-50.108643,30.35703,8.560644,9.704297,79.52881,537.78076,74.401855,134.47815,-50.108643,30.35703,8.560644,9.704297,79.52881,537.78076,74.401855,135.34607,-50.108643,10.029688,7.9290037,-0.35410157,38.81836,65.18555,50.964355,135.34607,-50.108643,10.4125,7.546191,-0.35410157,29.418945,16.418457,19.40918,135.51086,-55.50293,10.4125,7.546191,-0.6364258,30.212402,18.066406,19.40918,135.57129,-55.50293,10.4125,7.546191,-0.6364258,30.212402,18.066406,21.362305,136.89514,-54.992065,10.4125,7.546191,-0.6364258,30.212402,18.066406,21.362305,136.89514,-54.70642,10.4125,7.546191,-0.6364258,30.212402,18.066406,21.362305,136.89514,-54.70642,10.4125,7.546191,-0.6364258,30.212402,18.066406,21.362305,137.71362,-54.70642,10.4125,7.546191,-0.6364258,30.212402,40.222168,26.672363,137.71362,-54.20105,10.4125,7.546191,-0.6364258,30.212402,40.222168,26.672363,137.71362,-54.20105,10.4125,7.546191,-0.6364258,30.212402,40.222168,26.672363,138.39478,-54.20105,10.4125,7.546191,-0.6364258,30.212402,40.222168,26.672363,138.42773,-54.20105,10.4125,7.546191,-0.6364258,30.212402,40.222168,26.672363,138.42773,-54.20105
2,23.0,12.867285,3.2395508,5.780469,64.7583,109.069824,39.67285,20.456543,-53.778076,12.867285,3.2395508,5.780469,64.7583,109.069824,39.67285,20.456543,-53.778076,12.867285,3.2395508,5.780469,46.936035,37.04834,33.63037,20.456543,-56.12915,8.536718,2.5026367,5.4407225,17.028809,2.1362305,12.512207,19.989624,-56.12915,8.479297,2.5026367,5.325879,17.028809,2.1362305,12.512207,19.989624,-56.12915,8.417089,2.234668,5.325879,16.357422,1.7700195,12.512207,19.621582,-56.12915,8.417089,2.234668,5.325879,16.357422,1.5869141,12.512207,19.621582,-56.12915,8.417089,2.234668,5.325879,16.357422,1.5869141,12.512207,19.621582,-56.12915,8.388379,2.234668,5.3067384,13.671875,1.5869141,9.460449,19.621582,-56.12915,8.388379,2.234668,5.3067384,9.643555,1.5869141,9.460449,19.621582,-56.12915,8.388379,1.593457,5.3067384,9.643555,1.5258789,1.6479492,13.601074,-57.260742,8.388379,1.593457,5.3067384,9.643555,1.5258789,1.6479492,13.601074,-57.260742,8.388379,1.593457,5.3067384,9.643555,1.5258789,1.6479492,13.601074,-57.260742,8.388379,1.593457,5.3067384,9.643555,1.5258789,1.6479492,13.601074,-57.260742,8.388379,1.593457,5.3067384,9.643555,1.5258789,1.6479492,13.601074,-57.260742,8.388379,1.593457,5.3067384,9.643555,1.5258789,1.6479492,13.601074,-57.260742,8.388379,1.593457,5.3067384,9.643555,1.5258789,1.6479492,13.601074,-57.260742,8.388379,1.593457,5.3067384,9.643555,1.5258789,1.6479492,13.601074,-57.260742,8.388379,1.593457,5.3067384,9.643555,1.5258789,1.6479492,13.601074,-57.260742,8.388379,1.593457,5.3067384,9.643555,1.5258789,1.6479492,13.601074,-57.260742,8.345312,1.3541992,5.244531,1.6479492,0.91552734,1.5258789,13.260498,-57.260742
3,25.0,14.274121,7.8476562,5.244531,87.34131,45.47119,20.507812,122.79968,-59.831543,14.274121,7.8476562,5.244531,158.14209,45.47119,20.507812,123.72803,-59.831543,10.972363,7.440918,1.1245117,158.14209,25.6958,14.038086,123.72803,-79.20593,10.972363,7.440918,1.1245117,158.14209,25.6958,14.038086,123.72803,-79.20593,10.972363,7.440918,3.4261718,158.14209,73.30322,14.038086,123.72803,-79.20593,10.972363,7.440918,5.6416993,158.14209,98.44971,39.855957,123.72803,-49.487915,10.972363,7.440918,5.6416993,158.14209,98.44971,39.855957,123.72803,-49.487915,10.972363,7.440918,5.6416993,158.14209,98.44971,39.855957,123.72803,-49.487915,10.972363,7.440918,5.6416993,158.14209,98.44971,39.855957,123.72803,-49.487915,10.972363,7.440918,5.6416993,158.14209,98.44971,39.855957,123.72803,-49.487915,10.972363,7.440918,5.6416993,158.14209,98.44971,39.855957,123.72803,-49.487915,10.972363,7.440918,5.6416993,158.14209,98.44971,39.855957,123.72803,-49.487915,10.972363,7.440918,5.6416993,158.14209,98.44971,39.855957,123.72803,-49.487915,10.905371,1.7322266,5.6416993,42.114258,98.44971,39.855957,118.306274,-49.487915,10.905371,1.7322266,5.6416993,42.114258,98.44971,39.855957,118.306274,-49.487915,10.905371,1.7322266,5.6416993,42.114258,98.44971,39.855957,118.306274,-49.487915,10.575195,1.7322266,5.6416993,42.114258,98.44971,39.855957,28.64685,-49.487915,8.598926,-4.469336,0.35410157,15.075684,15.74707,4.699707,-99.541626,-54.3219,8.598926,-4.469336,0.35410157,15.075684,15.74707,4.699707,-99.56909,-54.3219,8.598926,-4.469336,0.35410157,15.075684,15.74707,4.699707,-99.58008,-54.3219,8.598926,-4.469336,0.35410157,15.075684,15.74707,4.699707,-99.58557,-54.3219
4,34.0,8.637207,4.6703124,-0.8708984,60.97412,58.776855,28.198242,169.151,-43.934326,7.862012,3.947754,-5.689551,60.97412,11.962891,22.827148,169.151,-46.818237,104.206345,20.06416,-5.689551,60.97412,15.258789,22.827148,169.151,73.125,104.206345,20.06416,-5.689551,60.97412,15.258789,22.827148,169.151,73.125,104.206345,20.06416,-5.689551,60.97412,15.258789,22.827148,169.151,73.125,104.206345,20.06416,-5.689551,60.97412,15.258789,22.827148,169.151,73.125,104.206345,20.06416,-5.689551,60.97412,15.258789,22.827148,169.151,73.125,104.206345,20.06416,-5.689551,60.97412,15.258789,22.827148,169.151,73.125,104.206345,20.06416,-5.689551,60.97412,15.258789,22.827148,169.151,73.125,104.206345,20.06416,-5.689551,60.97412,15.258789,22.827148,169.151,73.125,104.206345,20.06416,-5.785254,60.97412,15.258789,14.526367,169.151,73.125,104.206345,20.06416,-5.785254,60.97412,15.258789,14.526367,169.151,73.125,104.206345,20.06416,-6.2015624,9.643555,15.258789,5.1879883,161.57043,73.125,104.206345,20.06416,-6.2015624,9.643555,15.258789,5.1879883,161.57043,73.125,7.4983397,2.6988282,-6.2015624,9.643555,1.2207031,5.1879883,161.57043,-47.93335,7.4983397,2.6988282,-6.2015624,9.643555,1.2207031,5.1879883,161.57043,-47.93335,7.4983397,2.6988282,-6.2015624,9.643555,1.2207031,5.1879883,161.57043,-47.938843,7.4983397,2.6988282,-6.2015624,9.643555,1.2207031,5.1879883,161.57043,-47.938843,7.4983397,2.6988282,-6.2015624,9.643555,1.2207031,5.1879883,161.57043,-47.944336,7.4983397,2.6988282,-6.2015624,9.643555,1.2207031,5.1879883,161.57043,-47.944336,7.4983397,2.6988282,-6.2015624,9.643555,1.2207031,5.1879883,161.57043,-47.944336
5,39.0,14.082715,2.0336914,0.9953125,34.851074,28.625488,22.338867,177.97852,-78.21167,14.082715,2.0336914,0.9953125,28.442383,28.625488,22.338867,177.52258,-78.21167,14.082715,2.0336914,0.9953125,28.442383,28.625488,22.338867,177.52258,-78.21167,14.082715,2.0336914,0.9953125,28.442383,28.625488,22.338867,177.52258,-78.21167,14.082715,2.0336914,0.9953125,28.442383,28.625488,22.338867,177.52258,-78.21167,14.082715,2.0336914,0.9953125,28.442383,28.625488,22.338867,160.21362,-78.21167,14.082715,2.0336914,0.9953125,28.442383,28.625488,22.338867,160.21362,-78.21167,14.082715,2.0336914,0.9953125,28.442383,28.625488,22.338867,160.21362,-78.21167,14.082715,1.5791016,0.9953125,6.3476562,7.446289,5.79834,144.8877,-78.67859,12.604101,1.4594727,0.124414064,3.540039,5.6152344,3.6621094,138.41675,-79.18945,9.780859,1.4451172,-1.2106445,0.91552734,0.79345703,3.6621094,138.41675,-79.18945,9.780859,1.4451172,-1.2106445,0.91552734,0.91552734,3.6621094,138.41675,-79.18945,9.780859,1.4451172,-1.2106445,0.91552734,0.91552734,3.6621094,138.41675,-79.18945,9.780859,1.4451172,-1.2106445,0.91552734,0.91552734,3.6621094,138.41675,-79.18945,9.780859,1.4451172,-1.2106445,0.7324219,0.91552734,3.0517578,135.93933,-79.18945,9.780859,1.4451172,-1.2106445,0.7324219,0.91552734,3.0517578,135.93933,-79.18945,9.780859,1.4451172,-1.2106445,0.7324219,0.91552734,3.0517578,135.93933,-79.18945,9.776074,1.4451172,-1.2106445,0.7324219,0.91552734,3.0517578,135.93933,-79.18945,9.776074,1.4451172,-1.2106445,0.7324219,0.91552734,3.0517578,135.93933,-79.18945,9.776074,1.4451172,-1.2106445,0.7324219,0.91552734,3.0517578,135.93933,-79.18945,9.776074,1.4451172,-1.2106445,0.7324219,0.91552734,3.0517578,135.93933,-79.18945
6,43.0,7.4791994,2.0336914,-7.1633787,5.3710938,2.9907227,13.244629,174.57825,-38.842163,7.4791994,2.0336914,-7.1633787,5.3710938,2.9907227,13.244629,173.61694,-38.842163,6.4168944,1.3494141,-7.6036134,1.2207031,1.4038086,2.319336,171.43066,-38.842163,6.4168944,1.3494141,-7.5988283,1.2207031,1.4038086,2.319336,171.43066,-38.842163,6.4168944,1.3494141,-7.5988283,1.2207031,1.4038086,2.319336,171.43066,-38.842163,6.4168944,1.3494141,-7.5988283,1.2207031,1.4038086,2.319336,171.43066,-38.842163,6.4168944,1.3494141,-7.5988283,1.2207031,1.4038086,2.319336,171.43066,-38.842163,6.4168944,1.3494141,-7.5988283,1.2207031,1.4038086,2.319336,171.43066,-38.842163,6.4168944,1.3494141,-7.5988283,1.2207031,1.4038086,2.319336,171.43066,-38.842163,6.4168944,1.3494141,-7.5988283,1.2207031,1.4038086,2.319336,171.43066,-38.842163,6.4168944,1.3494141,-7.5988283,1.2207031,1.4038086,2.319336,171.43066,-38.842163,6.345117,1.3398438,-7.5988283,0.8544922,0.8544922,1.2817383,170.79895,-38.968506,6.345117,1.3398438,-7.5988283,0.8544922,0.8544922,1.2817383,170.79895,-38.984985,6.340332,1.3398438,-7.5988283,0.36621094,0.5493164,1.2817383,170.73853,-38.984985,6.340332,1.3398438,-7.5988283,0.36621094,0.5493164,1.2817383,170.72754,-38.984985,6.436035,1.3398438,-7.555762,3.7231445,0.6713867,1.2817383,170.9198,-38.984985,7.0533204,2.5600586,-7.129883,22.888184,7.8125,9.216309,171.43066,-38.82019,7.0533204,2.5600586,-7.129883,22.888184,7.8125,9.216309,172.03491,-38.82019,7.0533204,2.5600586,-7.129883,22.888184,7.8125,9.216309,172.03491,-38.82019,7.0533204,2.5600586,-7.129883,22.888184,7.8125,9.216309,172.03491,-38.82019,7.0533204,2.5600586,-7.129883,22.888184,7.8125,9.216309,173.34229,-38.78723
7,46.0,9.852636,11.819336,-0.6507813,46.26465,31.25,16.662598,141.25122,-41.28662,9.326269,9.843066,0.80390626,81.726074,47.180176,53.771973,157.93396,-36.37024,9.326269,9.843066,0.80390626,81.726074,47.180176,53.771973,157.93396,-36.37024,11.106348,9.843066,0.80390626,81.726074,95.09277,53.771973,157.93396,-36.37024,11.106348,9.843066,0.80390626,81.726074,95.09277,53.771973,157.93396,-36.37024,11.106348,9.843066,0.80390626,81.726074,95.09277,53.771973,157.93396,-36.37024,11.106348,9.843066,0.80390626,81.726074,95.09277,53.771973,157.93396,-36.37024,11.106348,9.843066,0.80390626,81.726074,95.09277,53.771973,157.93396,-36.37024,11.106348,9.843066,0.80390626,81.726074,95.09277,53.771973,157.93396,-36.37024,11.106348,9.843066,0.80390626,81.726074,95.09277,53.771973,157.93396,-36.37024,11.106348,9.843066,0.80390626,81.726074,95.09277,53.771973,157.93396,-36.37024,11.106348,9.843066,0.80390626,81.726074,95.09277,53.771973,157.93396,-36.37024,11.106348,9.843066,0.80390626,81.726074,95.09277,53.771973,157.93396,-36.37024,11.106348,8.9769535,-1.4499023,70.617676,95.09277,46.447754,157.70874,-41.49536,11.106348,8.9769535,-1.4499023,70.617676,95.09277,46.447754,157.6648,-41.49536,8.096484,8.9769535,-3.7754884,47.180176,19.226074,29.35791,140.8612,-41.57776,7.684961,4.5554686,-4.6128907,1.8310547,0.48828125,0.9765625,136.58203,-49.47693,7.7280273,4.6990232,-4.60332,5.004883,1.4038086,3.6010742,136.75781,-49.04297,8.575,5.7086916,-3.555371,25.024414,9.338379,18.310547,143.80005,-44.20349,8.575,5.7086916,-3.555371,25.024414,9.338379,18.310547,143.80005,-44.20349,8.575,5.7086916,-3.555371,25.024414,9.338379,18.310547,143.80005,-44.20349
8,51.0,10.383789,3.0529296,0.32539064,13.977051,10.620117,20.141602,179.94507,-72.59216,10.383789,3.0529296,0.32539064,13.977051,10.620117,11.84082,179.94507,-72.59216,10.383789,3.0529296,0.32539064,13.977051,10.620117,11.84082,179.94507,-72.59216,10.383789,3.0529296,0.13398437,13.977051,10.620117,11.84082,117.99866,-72.59216,10.383789,2.454785,0.13398437,13.977051,10.620117,11.84082,119.64661,-75.38269,10.3359375,2.454785,0.13398437,13.977051,8.666992,11.84082,125.85388,-75.38269,10.3359375,2.3782227,0.13398437,13.977051,8.666992,11.84082,125.85388,-76.03088,10.3359375,2.3782227,0.13398437,13.977051,8.666992,11.84082,125.85388,-76.206665,10.3359375,2.3782227,0.13398437,12.6953125,8.666992,11.84082,125.85388,-76.206665,10.3359375,2.3782227,0.13398437,12.6953125,8.666992,11.84082,125.85388,-76.206665,10.379004,2.3782227,0.13398437,12.6953125,8.666992,11.84082,125.85388,-76.206665,10.379004,2.3782227,0.13398437,12.6953125,8.666992,11.84082,125.85388,-76.206665,10.379004,2.019336,0.13398437,12.6953125,8.666992,7.2631836,125.85388,-78.30505,10.379004,1.9379883,0.043066405,12.6953125,8.666992,7.2631836,125.85388,-78.568726,10.379004,1.9379883,0.043066405,12.6953125,8.666992,7.2631836,125.85388,-78.568726,10.379004,1.9092773,-0.071777344,12.6953125,5.2490234,7.446289,125.85388,-78.568726,10.379004,1.9092773,-0.071777344,12.6953125,5.2490234,7.446289,125.85388,-78.568726,10.379004,1.9092773,-0.071777344,12.6953125,5.2490234,7.446289,118.6084,-78.568726,10.379004,1.9092773,-0.071777344,4.760742,3.3569336,7.446289,118.6084,-78.568726,10.379004,1.7896484,-0.071777344,4.760742,3.3569336,7.446289,118.6084,-79.420166,10.379004,1.7896484,-0.071777344,4.760742,3.3569336,7.446289,118.6084,-79.420166
9,57.0,11.216406,3.5936522,-1.2919922,40.71045,20.874023,11.59668,150.5127,-69.175415,11.216406,3.5936522,-1.2919922,40.71045,20.874023,11.59668,150.5127,-69.175415,11.216406,3.5936522,-1.2919922,40.71045,20.874023,11.59668,145.19531,-69.175415,9.508105,3.0816407,-1.8662109,4.638672,11.779785,6.591797,136.7633,-69.175415,9.508105,3.0816407,-1.8662109,4.638672,11.779785,6.591797,136.7633,-69.175415,9.728223,3.0816407,-1.4499023,7.507324,22.705078,6.591797,136.7633,-69.175415,22.016504,3.4213867,0.85654294,56.762695,89.96582,13.61084,138.10364,-69.175415,22.016504,3.4213867,0.85654294,56.762695,89.96582,13.61084,138.10364,-69.175415,22.016504,3.4213867,0.85654294,56.762695,89.96582,13.61084,138.10364,-69.175415,22.016504,3.4213867,0.85654294,56.762695,89.96582,13.61084,138.10364,-69.175415,22.016504,3.4213867,0.85654294,56.762695,89.96582,13.61084,138.10364,-69.175415,22.016504,3.4213867,0.85654294,56.762695,89.96582,13.61084,138.10364,-69.175415,22.016504,3.4213867,0.85654294,56.762695,89.96582,13.61084,138.10364,-69.21936,22.016504,3.4213867,0.85654294,56.762695,89.96582,13.61084,138.10364,-69.31824,22.016504,6.2924805,2.239453,65.18555,102.6001,22.888184,149.64478,-67.2583,22.016504,6.2924805,2.239453,65.18555,102.6001,22.888184,149.64478,-67.2583,22.016504,6.2924805,2.239453,65.18555,102.6001,22.888184,149.64478,-67.2583,22.016504,6.2924805,2.239453,65.18555,102.6001,22.888184,149.64478,-67.2583,13.719043,6.2924805,2.239453,65.18555,102.6001,22.888184,149.64478,-67.2583,13.719043,6.2924805,2.239453,65.18555,102.6001,22.888184,149.64478,-67.2583,13.719043,6.2924805,2.239453,65.18555,102.6001,22.888184,149.64478,-67.2583
