,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,14.0,9.550176,13.622035,128.67365,7.773277,7.775695,7.787862,7.7407336,7.800487,7.7635427,7.7442594,7.741592,7.7434916,7.749207,7.7385225,7.7436266,7.7385225,7.7385225,7.7470436,7.740302,7.755363,7.7385225,12.526607,8.944695,8.95073,8.949653,10.172987,10.397968,9.0027,9.006245,8.949161,8.94788,8.954209,8.94788,10.160347,9.352012,8.944804,8.9477625,8.963155,13.771384,9.924063,14.155617,12.24938,12.865095,8.98492,8.992603,12.458423,,,,,,,,,,,
1,21.0,10.259162,9.963505,9.919685,9.919021,9.9176855,10.304992,10.023369,9.926738,9.923137,9.920407,9.92477,9.951768,9.920397,9.912064,9.934727,9.952477,9.928734,9.925509,9.928734,9.921033,9.932728,10.281261,9.825413,9.819877,9.813323,9.807549,9.822556,9.835196,9.815644,9.914845,20.6846,11.755767,9.205489,9.138687,9.111778,9.107461,9.3717575,9.161129,9.187082,9.195763,9.226453,9.354012,10.792386,9.072552,9.329156,9.320547,,,,,,,,,,,
2,23.0,6.509276,6.5074816,6.510178,6.5086374,6.5065894,6.756168,6.5462704,6.5650897,6.541566,6.5436625,6.537427,6.550991,6.5454445,6.557782,6.5868855,6.56548,6.5681787,6.5642195,6.553512,6.566533,6.553788,6.549133,6.5569596,6.566387,6.562932,6.575832,6.576631,6.5640697,6.58254,6.5692945,6.599548,6.584808,6.575832,6.575036,6.584474,6.622464,6.595503,6.5979137,6.5860662,6.5994396,6.5687356,6.7482853,6.6049385,6.5679493,6.5750556,6.570333,,,,,,,,,,,
3,25.0,9.617745,9.377431,9.366753,9.371074,9.364624,9.3710375,9.405632,9.621496,9.381822,9.736964,10.200271,9.381773,107.932175,9.515521,9.8017235,9.207667,9.226559,9.147522,9.175422,9.740992,9.508124,9.4759245,9.4845085,9.4717,10.290548,9.709036,9.330276,10.906734,9.419844,9.418419,9.421943,9.4340105,9.448987,13.3156595,9.924134,10.207753,10.086582,9.926737,12.722443,11.757737,9.8783455,9.838488,10.164597,9.870009,9.678412,12.0054655,,,,,,,,,,,
4,34.0,7.6548204,7.656184,7.6646943,7.656796,7.685153,7.6886086,7.5749283,7.568939,7.564937,7.468286,7.605349,7.477405,7.466641,7.509441,9.94637,7.151544,6.6545424,6.6465974,6.6191096,7.82813,7.3028255,7.304006,7.301191,7.180109,7.1683574,7.350338,7.382045,7.368415,7.253025,7.138279,7.153397,7.100006,7.458254,7.256055,7.463949,7.417525,7.348769,7.302406,7.5969296,7.4667144,7.4654236,7.8399553,8.301572,7.746819,8.536333,10.383759,9.491874694824219,9.484418869018555,9.45388412475586,9.468483924865723,9.454764366149902,9.452489852905273,9.451656341552734,9.455580711364746,9.541900634765625,9.4842529296875,9.452127456665039
5,39.0,11.731862,9.835788,10.020621,13.413326,9.856679,9.842429,9.832165,9.83967,9.840911,9.845065,9.841647,9.840325,9.83823,9.838209,9.841587,9.882336,9.846557,9.840671,9.846557,9.849767,9.840409,9.841115,9.841824,9.839232,9.849412,9.838516,9.848472,9.84215,9.84031,9.8413925,9.847267,9.839004,9.842534,9.842534,9.846557,9.851999,9.840409,9.842117,9.834116,9.84031,9.844015,13.962164,9.903551,9.900682,11.320302,12.907635,7.540272235870361,7.5554585456848145,7.540399551391602,7.552457809448242,7.605349540710449,7.71912145614624,7.441360950469971,7.463342189788818,7.436797618865967,7.435358047485352,
6,43.0,9.898861,9.890028,13.763822,10.86535,9.891033,11.260287,10.306339,9.888214,10.68122,10.011051,9.88643,9.895819,9.886394,9.88643,9.892103,9.95324,9.940465,9.962696,9.89794,9.91235,10.7648115,12.464445,9.872289,9.889264,9.876758,10.030126,10.042505,9.900238,9.905784,9.929978,10.05692,9.852499,9.942889,9.943971,9.9022875,9.884572,9.852651,9.915814,9.98972,9.867894,9.906942,9.986626,13.991947,11.6845875,10.007686,14.283711,,,,,,,,,,,
7,46.0,9.749252,11.619363,7.1329236,8.499603,8.379641,7.5047007,7.4108152,7.477869,7.423667,7.4994407,7.518444,7.4580097,7.4745383,7.4849296,7.4612126,7.4610467,7.4710374,7.461096,7.4645066,7.4847555,7.4847555,7.5436177,7.4902554,7.4681997,13.494195,8.813281,9.842671,7.9175944,7.9408064,7.8932004,7.894065,7.9322143,7.918971,7.961654,7.908953,7.903044,7.968705,7.9068985,7.862153,7.8590918,7.8573794,8.057057,7.8543425,7.852606,7.9142056,7.9220977,,,,,,,,,,,
8,51.0,14.319983,13.320517,13.107291,12.403871,9.278689,13.203724,23.105042,9.7808,9.740629,9.758884,9.7542715,9.748077,9.741399,9.733578,9.743129,9.745061,10.201483,8.528755,8.435411,8.628041,9.417678,7.224835,12.3286495,9.889919,9.495835,13.130141,11.282766,104.22159,9.896263,14.580641,10.862107,10.879939,10.378619,9.795555,9.797221,9.8086815,9.80204,9.828673,9.996264,10.716538,9.860364,9.823939,11.405328,9.805092,10.465083,16.864079,12.231444358825684,10.005780220031738,9.90807056427002,9.953438758850098,10.042447090148926,10.00124740600586,9.902719497680664,11.11682415008545,11.980840682983398,9.96614933013916,9.950029373168945
9,57.0,8.846265,8.848106,8.840116,8.853348,8.867113,8.9971485,9.127532,8.956353,9.055605,8.94104,8.933364,9.0422,8.9727745,8.9760275,8.942407,8.961805,8.934352,8.943281,8.980401,9.013595,8.974949,9.002507,8.963378,8.989708,9.094125,8.949374,8.996343,8.93403,9.292002,9.001846,9.021999,8.982507,9.006588,8.951972,8.945127,9.00381,9.261032,9.461698,9.04429,9.051412,9.015327,9.024567,9.02217,9.037378,9.114702,9.126579,9.30866527557373,9.232193946838379,9.062935829162598,9.46064567565918,9.023015022277832,9.085776329040527,9.067235946655273,9.070515632629395,9.052909851074219,9.042451858520508,8.996870040893555
10,71.0,17.18976,17.391632,15.639104,112.99866,16.400976,17.108566,15.281833,9.913719,9.702907,9.793455,10.031017,10.128674,9.969727,9.687989,9.916478,9.930518,9.781337,9.81035,9.810627,9.797058,9.798202,9.79647,9.809422,9.797058,9.801295,9.7980385,9.788198,9.859524,9.696831,9.700182,9.705874,10.213135,9.754691,9.720014,10.212358,9.768432,9.763722,9.757012,9.790915,9.78192,9.786417,9.775643,9.784391,9.782344,9.786839,9.77129,9.805709838867188,9.788481712341309,9.786417007446289,9.829429626464844,9.713754653930664,9.723603248596191,9.72946548461914,9.727884292602539,9.73421859741211,9.732401847839355,
11,72.0,9.4987,9.490172,9.503596,9.48696,9.489196,9.490316,9.51245,9.492565,9.498342,9.514883,9.498342,9.501142,9.492087,9.489042,9.492565,9.758904,9.522524,9.517955,9.498167,9.5098,9.506386,9.494654,9.50165,9.491179,9.502757,9.518072,9.498167,9.515589,9.5190935,9.491149,9.508924,9.514551,9.642226,9.501631,9.5108795,9.48884,9.489987,9.487673,9.501737,9.49116,9.493529,9.503915,9.492315,9.493529,9.502806,9.495818,,,,,,,,,,,
12,77.0,9.861079,9.861079,9.996804,9.907342,9.924857,9.868347,12.31034,10.1646185,11.441533,11.431281,9.834279,9.826178,10.863457,9.797267,11.580396,9.97795,11.898448,9.921337,9.916214,10.217187,9.915139,10.039287,12.902259,10.074954,9.97907,9.93982,9.935164,9.925522,9.950002,11.347873,11.905248,13.686831,11.014605,10.140916,9.963383,9.910919,16.200665,9.907561,9.81751,9.87436,9.888672,9.831189,9.822364,10.01993,9.793589,10.443001,,,,,,,,,,,
13,78.0,10.140289,10.275326,12.091412,10.949338,11.1148815,16.58014,12.646559,14.781923,10.340023,9.994396,10.754775,10.2162285,10.375155,11.759229,9.941544,10.234276,10.0301,11.394025,11.09879,12.186929,13.414125,10.083415,9.7945,10.789471,9.978955,9.879942,11.108009,14.779185,11.308064,13.068603,10.963771,10.045866,12.1859665,11.306989,14.5550995,15.526977,13.7782755,15.413404,17.828638,11.297879,10.683364,9.522342,11.956111,10.163061,12.466879,10.618424,,,,,,,,,,,
14,79.0,9.599506,9.565627,9.585445,9.5712185,11.0657,10.6501045,9.824682,9.832791,9.827424,9.843088,9.843859,9.834512,9.825027,10.625654,12.604124,11.11321,8.537497,8.531967,10.984973,9.24677,9.258646,9.202369,9.204448,9.212559,9.200055,12.028068,15.423209,8.156001,8.27638,8.25429,9.059964,9.837728,8.822906,8.417124,9.012617,8.68256,8.476246,9.745439,9.652134,13.620772,10.77681,9.527697,13.781769,11.153897,11.11704,11.905274,,,,,,,,,,,
15,80.0,9.94835,9.904724,9.984369,9.921456,11.628102,9.843629,9.814468,9.814706,9.839805,9.823996,9.825678,9.845327,9.8279295,9.802828,9.796573,9.820086,9.81622,9.808292,9.817839,9.83466,9.98462,9.80592,9.803543,9.7980385,9.7948885,9.809092,9.820863,11.114964,9.667065,9.753934,9.69006,9.684941,9.712161,9.692455,9.691618,9.685706,9.707291,9.712288,11.76544,10.285005,9.633656,9.618036,9.618036,9.660073,148.3479,9.617497,,,,,,,,,,,
16,82.0,9.858984,9.836959,9.915686,9.927522,9.814879,12.123841,10.102671,10.069245,9.938171,9.959162,9.947607,9.941976,9.942468,9.960463,13.75556,10.059874,10.626035,12.608256,9.95642,9.935667,9.929837,9.934386,9.949427,9.996724,9.960507,9.958737,9.935424,9.931684,9.935678,9.940823,9.924609,9.937291,9.929182,9.929539,9.9376745,9.933985,9.933418,10.064499,9.935869,9.95344,9.976697,10.02396,13.170951,9.919047,9.941903,9.914054,10.005066871643066,9.907428741455078,9.910117149353027,9.907844543457031,9.907376289367676,9.900562286376953,9.917449951171875,9.90355110168457,9.898957252502441,9.91882610321045,9.893024444580078
17,83.0,9.951686,9.929449,10.142132,10.398603,9.960027,11.652501,9.652657,9.653657,9.642024,9.653629,9.6629305,9.644378,9.649017,9.646677,10.123899,10.728433,10.581082,10.500046,10.827949,9.731526,9.713526,9.698988,9.699516,9.91321,10.832665,10.700938,10.10237,9.924384,9.913668,9.910993,10.182554,10.218733,9.927736,9.919568,10.03584,10.051099,9.948891,9.936399,9.939997,9.933202,9.938542,9.944661,9.940694,9.956977,9.932806,9.928143,,,,,,,,,,,
18,84.0,9.828389,9.820598,9.815027,9.823772,9.819797,9.892997,9.88952,9.808731,9.828666,9.811741,9.81668,9.817876,9.807849,9.814387,9.859782,9.807516,9.843803,9.810259,9.812176,9.811308,9.813061,9.834501,9.81311,9.797571,9.819151,10.110133,19.277523,9.810058,9.800853,9.801286,9.843487,9.820499,9.799791,126.57636,9.81529,9.891224,9.934438,11.168769,9.929786,13.611603,9.9971,9.916364,9.818148,9.838156,9.896666,9.849033,,,,,,,,,,,
19,85.0,10.584053,10.039583,10.978016,10.799029,10.270498,15.380502,8.071623,8.062239,7.818197,7.676524,9.905647,6.4644217,6.2763762,6.366164,6.4405923,6.496043,6.560917,6.537543,6.537336,6.54404,6.5514817,6.5716105,6.620626,6.506266,6.696118,6.671416,6.642021,6.705575,6.675197,6.6508164,6.6127815,6.7409678,6.632582,6.7179794,6.7941837,6.7029395,6.652009,6.640739,6.6217747,6.6110864,7.7109776,8.354555,8.040539,9.131948,7.901769,7.8801427,,,,,,,,,,,
20,87.0,9.329607,9.205035,9.227847,9.206836,9.239405,9.289383,8.769843,8.77517,8.763535,8.758112,8.762587,8.762989,8.760545,8.760789,8.760545,8.760545,8.755889,8.752848,8.758597,8.756058,8.760723,8.758908,8.754994,8.757827,8.758191,8.764651,8.757827,8.753528,8.757123,8.755672,8.753934,8.758191,8.751009,8.760789,8.762766,8.755331,8.757506,8.759692,8.758597,8.756132,8.76823,13.914619,11.399566,8.998889,9.947926,8.978806,,,,,,,,,,,
21,88.0,9.692271,10.537337,10.137148,10.760033,12.168167,11.80631,9.627878,9.563693,9.573127,9.5699215,9.566002,9.569122,9.566802,9.578826,10.694199,11.155415,9.742589,9.7330265,9.733125,107.94984,9.728298,9.733049,9.74742,10.581889,9.927654,9.458975,9.4913435,9.469027,9.454221,9.4620495,9.466469,9.590057,9.458948,9.497147,9.465083,9.540623,9.542476,9.550794,9.527284,9.558219,10.002035,10.593187,9.759416,10.153793,11.2862,10.877552,,,,,,,,,,,
22,89.0,9.851172,9.813754,9.8148155,9.812294,9.816679,9.827107,10.041262,8.470673,8.430823,8.469959,8.622804,8.759117,8.572885,8.52277,8.525796,8.49886,8.867797,8.842479,8.810327,164.26617,8.603349,8.363124,8.343486,8.3447485,8.409089,8.356193,10.73068,9.966112,9.836984,9.955818,11.8889885,9.971744,10.436419,9.975008,10.233575,9.900839,9.896631,9.886369,9.892269,9.886369,9.89424,9.896214,9.974411,9.946765,10.431414,9.867463,,,,,,,,,,,
23,91.0,9.909674,10.186982,9.3162365,9.269633,15.468055,10.5265465,10.812315,10.696836,10.21729,10.076763,9.8740225,9.893811,9.861836,10.3499565,11.769516,10.070436,9.881209,9.91168,9.888742,10.699773,11.89392,10.110632,9.605402,11.16144,10.87372,10.762518,9.115849,9.715541,10.880786,9.197389,9.2170515,11.654853,9.726776,9.263708,12.371466,11.606928,9.93227,9.937419,9.932721,9.930227,9.929106,10.229495,11.426738,12.244503,12.753705,19.078783,,,,,,,,,,,
24,92.0,9.523807,8.927523,8.927523,10.405348,8.911509,9.283603,8.848986,8.9456835,8.831104,8.837132,8.823197,8.823197,8.835472,8.840641,8.828739,8.832361,8.839448,117.640854,8.835472,8.843732,8.929165,8.881552,8.877491,8.877851,8.874705,8.862819,8.860234,8.869775,8.915941,8.864822,12.72915,8.683439,8.668962,8.750649,9.208891,8.648116,8.661595,8.783061,9.279016,8.63072,8.635501,8.625339,8.631134,9.326418,9.359027,10.55491,,,,,,,,,,,
25,93.0,8.779895,8.866553,8.721901,8.342048,8.585964,8.858897,8.323696,153.99355,149.60036,8.403003,8.366945,8.391554,8.39731,8.3573,8.3456335,8.390955,8.376538,8.353926,8.347168,8.614754,8.59195,8.3588915,8.342019,166.6007,13.615329,10.353284,8.60326,8.613281,8.567478,8.705903,8.537493,8.7444725,8.5953045,8.615276,9.3665905,8.810433,9.68842,8.666733,8.557285,8.66614,8.5845995,8.564453,8.632434,13.820733,13.49318,9.615965,,,,,,,,,,,
