,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
0,14.0,206.23249016583202,176.40299467108153,100.8444346506043,190.4459678404,134.2518363209813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21.0,38.40017361071865,24.20512789569876,110.810259363684,39.296628240855924,30.266538901792313,34.19275506166866,39.03566088883907,23.76379989213301,30.662630771325993,31.685712474236713,41.62921653190959,29.06612299865325,25.388098699106152,38.50818094898797,21.929345493462094,31.490033696746377,22.39096630118554,,27.02856917896527,20.07802570064356,23.132074973118677,38.853988600422106,123.62443124237215,48.188894469296656,40.433843740371735,164.8,38.25998417261681,187.4879996159754,,217.2965203996092,37.19293327655518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,23.0,51.28464160057956,56.40517901046405,44.281925081108305,68.77271750354501,75.12259527590653,49.029923543745355,43.00780274560144,49.15728113620826,56.346215757988105,43.013694437518424,44.660324559658974,61.89103728220887,68.61162842809924,91.66109073950383,69.21505006563255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,25.0,72.54978342062894,63.829790964195325,102.57615956990556,85.55240474562602,44.44320732897155,190.49513133339758,108.00138573059093,102.6905599902499,18.997352665148473,106.06325622470608,26.581042074997903,100.76124454554373,122.17195026617948,105.76009915429937,231.00957012124695,166.63807828629115,14.940623220676645,165.97319675422392,114.25165206683009,186.77606123953407,209.61504507115276,186.01616490359694,59.88418914194943,198.56444797596575,116.07445886154284,21.789343959928708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,34.0,83.31869862261534,96.7610975547508,201.544039852336,103.16991641693676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,39.0,53.93477542365408,111.50037369145151,74.49981357172796,52.0,128.49383902221408,164.0,0.0,195.29436471360071,0.0,0.0,64.0,73.62671194365686,192.46356076468663,16.0,,34.9719680423169,185.070256929632,67.9869268479038,130.88544609695916,33.711797452233085,67.03551297633219,0.0,38.90638336657195,0.0,34.54748744683018,112.63313110369533,49.047917640324656,0.0,35.29243846800263,37.20082930961689,0.0,,0.0,46.34711133746936,36.0,0.0,38.40703119572447,0.0,63.949632958724294,70.21075432321373,38.04246344472596,119.88327656516567,54.483641395554045,150.0,0.0,32.0,151.9298083546039,219.58825105182655,94.21935257684592,32.947461307535825,44.03370609802532,71.9239021952144,,0.0,81.7293484039396,88.50687801307478,,107.49418588928427,221.28972605419995,176.63803541580606,105.95975350799058,175.96854075555703,121.31571707687567,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,
6,43.0,22.192410230007965,36.33499843224925,22.510166046156215,51.87112713610943,26.61334894813316,42.06461813407358,10.63224000080158,10.727903687111903,12.396304584308131,15.307894333520322,6.10822064417231,15.69791566460394,15.605563356756969,9.631189425522544,14.666183510903927,13.11558042579443,14.092280103576826,15.269653370315474,6.661154746198344,16.102201181095353,9.038653928124472,39.159300345653584,25.38828660923987,42.72473034101902,45.22937867511842,124.38617298863005,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,46.0,172.8086993314102,193.25332324256215,158.14548066750297,174.35565607702165,199.2163344934197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,51.0,241.38121072048855,52.0,156.9101653813417,11.832159566199232,,47.189923594861746,14.0,58.0,0.0,0.0,69.49628966631545,63.3381084050618,86.48252996550754,96.2074894340377,,,73.21065496223893,78.27234505238744,245.59430364621872,65.767676479274,,118.9572460545758,0.0,83.28798766262088,151.83616901852542,189.33502053238857,210.16242234831853,9.457610691924256,78.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,57.0,170.31922968355627,232.83736813492806,185.88526927471509,120.27188135132411,188.70644517074555,193.33971371127865,54.38954147832304,134.87113190828578,87.13208364316786,234.8850782829765,171.4530839617649,146.62932858060833,92.0,192.70241882815645,0.0,48.0,108.49958525266352,114.0,134.02328155958577,148.67139005949403,99.6121331297883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,71.0,115.67151886704137,113.56247344149237,150.54376638816723,85.87354252691831,203.66813707394584,39.99050282923155,148.09118812407442,169.39657611652015,50.379286136330606,137.37350286696787,134.88605537224484,125.80620016517469,130.45853199936207,46.285346853332896,81.69349416948316,116.79465627988803,161.76388829264567,190.49515050747067,146.05891653915458,158.61713512592374,93.84604150507809,198.55344639260272,83.23695333203877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,72.0,0.0,194.0,90.11597465981761,171.59124556793552,0.0,37.567753151041096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,77.0,51.32859426368627,22.771814937671426,25.77576404086999,86.62334157595816,217.37459096952324,105.55615334463607,169.54963972951984,174.2931041888934,34.99315233098002,34.777234794833966,72.27211104495564,154.94952423847062,72.10781798782978,176.47990032589354,176.32969120372212,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,78.0,159.50990026961858,138.92665086651897,44.06539042111698,63.58072823549754,158.52789449599504,149.34821354435041,125.07372825657673,184.39325027858078,176.05952014903508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,79.0,139.96626577699197,151.6734634211695,92.71221901969318,129.57955891117598,141.2957413442634,94.45045732493246,102.80077820717118,190.66200460500775,158.7773283564124,194.76996391378012,145.16800611705045,114.30174490745489,151.91550608036798,175.03904326368638,111.54426228623143,176.82352784626823,194.5872512450583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,80.0,116.51418607000417,22.240703426125915,24.18972627259054,36.27671429443411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,82.0,188.42378930417243,96.5060734991442,115.8734642712568,107.67647014191272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,83.0,94.5821218718304,193.79612354224219,171.8814850353556,127.81486611501809,183.3451078470014,157.74610838541724,164.53000470728614,155.46232126574378,174.0547040444469,174.83045755499495,157.97056126016668,221.8614579863603,183.47025190295383,194.3176780429408,125.45915670049756,165.37329409550986,208.7267685404185,199.14776808066443,223.98825245997972,104.17079991799791,229.75155663842145,217.71100762303382,186.56568697259297,180.9625059823956,171.4889047269369,123.04405715027444,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,84.0,187.16996297836442,164.91781073468283,167.46056252144862,165.66394662048995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,85.0,127.5424347594159,118.0357467041235,228.9099167795052,180.03237020321555,0.0,116.94443124834974,2.0,0.0,48.378831343191244,71.37817650817829,33.83618298969176,50.815030773755545,143.90120067447512,173.09811779126173,129.99829058705177,80.03999000499688,58.08805576211191,,9.977753031397176,189.04202942438195,191.82085067668027,219.44830826415588,152.4288562346964,164.18866331072712,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,87.0,92.15988165672874,225.9920243321175,132.9966118569646,0.0,124.45079348883236,203.58229294317323,200.9119692232462,188.74887480736632,153.08246143827188,173.0563197225642,123.30231912826305,93.16178137332133,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,88.0,51.55371105911719,48.346773337606756,37.5895606419133,65.98033367703565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,89.0,134.0,18.909019551742052,32.07259570493132,203.34836010048264,8.0,215.23717151087075,53.21876254095479,0.0,0.0,,257.90695996812497,8.2365041127896,226.7601375903622,25.82966255613999,55.669598226201224,37.532993799892466,,8.763560920082657,198.8013057896589,174.6615970080079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,91.0,196.52750883373824,148.6047105579093,154.7622271058914,169.52162176817913,166.03714443862654,122.47811595909242,166.22800606396024,124.7179217273925,171.84614853243613,191.80030767621662,172.7589580890091,139.77062915815875,147.937425942389,200.89300634915094,153.8314939939915,154.28439152872124,161.2217029434933,173.95383726724742,186.1063017620724,110.49271469196509,198.9025445343076,185.32393261529933,260.23579051826573,197.1366023852496,157.55767959702882,165.7543736879791,154.62930583243988,81.12184555673404,17.91027017601292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,92.0,28.70655179053171,52.1121723634739,64.73001781717328,17.204045697029333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,93.0,26.09871370667254,5.986651818838306,29.035525281886354,17.162750362339946,28.5657137141714,35.86864926366757,33.131856590063535,30.242409060541522,10.994948334980428,20.396078054371138,25.725041842099646,0.0,36.27504359582202,32.2940447365112,37.76946576771636,34.60577986406317,60.60495029285974,172.80025720145468,30.301882476715097,54.3975456295736,176.0,,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
