,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
11,33.0,3757195.176130553,1265582.9425043492,1189393.491936394,608740.3982684157,15162636.336650517,20169403.442140065,4163184.841021966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,35.0,7048100.590422733,4830192.273627098,3512305.2542792554,3526260.9310073545,2467057.488344604,4289361.481767828,4379915.745377886,3574575.0211319188,1577141.7794153923,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4.0,890403073.1950481,953888984.4231977,178504151.8181619,96574063.74079002,56595591.18691675,537280311.599272,477763212.3951045,42393595.80538722,37173955.00551369,32581205.94890111,60373930.21042738,75997033.68841751,51172745.945954144,59179964.63478504,75692480.7271565,45150601.638048746,64094708.49107499,108292105.39321457,112924119.51842624,108172649.8336044,73888466.00271374,69209761.08131532,119535283.87752473,104230715.60487562,56357081.529143214,75538662.48941839,103989486.1554187,76689559.2489377,860515673.4969311,858500738.3217442,293512038.1691749,334737193.45696616,59626234.99007222,32397979.51504732,44849172.24697367,1046384825.3839588,1005892016.5941093
14,42.0,5802830.245386969,3093916.063634799,2196172.610001,3452379.1706122495,5203316.591162412,4885708.976182069,1894308.2536578428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,45.0,9140335.220639419,7202307.827766985,8077465.846248373,14659736.12509274,14999992.108532377,12874884.729158808,6872731.834033046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,47.0,23128923.484627724,12237046.567423426,7957985.516924379,7192312.321860606,6914198.502369698,90698481.00302532,81519351.72573626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,48.0,20166564.89723111,16864859.738174465,21076700.949586615,31369970.11053278,34417285.332938194,21265472.868703634,13326346.198542457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,49.0,12714197.073321817,9703585.679046221,10424716.08060346,14939499.10712578,30625287.546048544,33533107.628319364,15931193.530410638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,54.0,3164012.1583685502,4561410.855478652,5307510.52190936,5793933.629873695,8781229.409141058,11505773.822421694,8068920.289200566,4521554.611975162,5516597.182326643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,55.0,48071617.037338614,95659776.28097366,98987952.82056913,37451455.92138759,31393059.096390802,22639305.829170432,45684492.17882009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,6.0,20736520.67210944,63773853.331516206,76564949.00278288,32112106.363841183,21457392.643674232,19712540.537764285,10885881.007936217,61743650.77469729,36891947.06780088,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,66.0,1856512.6803701837,1099719.5750952521,1069068.9992869303,1701182.122686637,1946062.044832383,3138950.614938402,1680819.4581678833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,69.0,10621919.819903202,12854159.547667576,17883778.134195857,17240661.444272432,9171303.74468757,7684505.073411421,9757801.629572287,8563306.24712082,2250754.022627206,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,7.0,16808126.917410888,1477285.401797406,508963.46279592253,1059422.4877148464,1541287.4793841522,1804223.78692154,4099641.42783156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,8.0,2897232.360318846,3186369.290403354,4392479.040139667,3552335.0210027574,2827557.2862885725,2522596.5933928834,1767187.0078024701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
