,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,10.0,-13.0,-12.833333,-12.7,-12.616667,-12.583333,-12.483334,-12.45,-12.683333,-12.866667,-13.033334,-13.183333,-13.316667,-13.333333,-13.5,-13.633333,-13.716666,-13.75,-13.833333,-13.9,-13.833333,-13.866667,-13.883333,-13.966666,-13.966666,-14.0,-13.9,-14.2,-14.133333,-14.183333,-14.2,-14.266666,-14.383333,-14.35,-14.35
1,12.0,-22.683332,-23.3,-23.066668,-22.7,-22.316668,-21.85,-21.333334,-20.216667,-19.383333,-19.133333,-17.55,-18.016666,-18.683332,-19.35,-19.883333,-20.4,-20.883333,-21.466667,-21.866667,-22.733334,-23.633333,-24.466667,-26.783333,-26.9,-26.8,-26.716667,-26.65,-26.616667,-26.55,-26.466667,-26.683332,-26.25,-25.616667,-25.45
2,15.0,-28.95,-29.483334,-30.383333,-30.85,-31.75,-32.533333,-33.233334,-34.0,-34.35,-34.666668,-34.916668,-35.133335,-35.25,-35.0,-34.383335,-33.866665,-33.266666,-32.766666,-32.25,-31.5,-31.15,-30.816668,-30.633333,-30.533333,-30.75,-30.983334,-31.233334,-30.85,-30.95,-30.533333,-30.0,-29.65,-29.45,-29.216667
3,16.0,-26.916666,-27.566668,-27.75,-28.116667,-28.466667,-28.833334,-29.183332,-29.333334,-29.85,-30.1,-30.55,-31.1,-31.383333,-30.95,-30.766666,-30.55,-30.5,-30.466667,-30.466667,-30.466667,-30.25,-30.05,-30.05,-30.033333,-30.116667,-30.566668,-30.983334,-31.533333,-31.866667,-32.066666,-32.25,-31.833334,-31.85,-31.716667
4,18.0,-34.6,-34.616665,-34.5,-34.133335,-33.75,-33.283333,-32.883335,-32.55,-32.316666,-32.083332,-31.966667,-32.133335,-34.0,-33.5,-29.516666,-25.066668,-22.6,-21.716667,-21.116667,-20.483334,-19.8,-19.116667,-18.466667,-18.15,-16.35,-16.7,-20.466667,-24.716667,-27.05,-27.8,-28.233334,-28.733334,-29.3,-29.833334
5,22.0,-15.116667,-16.833334,-19.5,-20.333334,-20.483334,-20.483334,-20.266666,-20.333334,-20.55,-19.683332,-18.566668,-18.683332,-21.566668,-21.516666,-20.133333,-20.05,-20.633333,-21.466667,-22.65,-22.416666,-22.233334,-22.7,-23.15,-23.666666,-22.683332,-21.6,-21.1,-20.766666,-20.616667,-20.35,-20.233334,-21.133333,-21.933332,-22.683332
6,26.0,-14.2,-14.533334,-13.533334,-12.283334,-12.65,-13.6,-15.6,-17.016666,-17.416666,-17.183332,-16.816668,-16.6,-14.883333,-12.35,-11.916667,-11.7,-11.1,-10.183333,-9.5,-8.533334,-5.9333334,-2.9666667,0.31666666,1.65,0.96666664,-0.81666666,-0.93333334,-1.0333333,-0.9166667,-0.9,-0.9166667,-2.15,-6.1833334,-10.266666
7,27.0,-8.966666,-8.85,-8.85,-8.816667,-8.816667,-8.616667,-8.566667,-8.783334,-9.633333,-8.216666,-6.6,-6.116667,-5.85,-5.633333,-5.4333334,-5.2833333,-4.9,-4.5833335,-4.1833334,-5.3,-5.483333,-7.1666665,-8.683333,-8.783334,-8.983334,-9.116667,-9.083333,-9.216666,-9.45,-9.866667,-9.833333,-9.75,-9.9,-9.65
8,29.0,10.083333,9.583333,10.9,12.483334,13.3,14.416667,15.416667,16.2,17.45,18.866667,20.033333,21.283333,22.2,22.816668,22.733334,21.216667,19.616667,19.75,19.966667,18.633333,16.716667,14.766666,12.85,11.2,9.9,8.4,6.8,4.2166667,2.3833334,0.46666667,-1.05,-1.0833334,-0.96666664,-0.81666666
9,31.0,-12.616667,-12.716666,-12.816667,-12.9,-12.95,-13.066667,-14.4,-15.566667,-15.683333,-15.916667,-16.166666,-16.4,-16.566668,-16.716667,-16.883333,-17.033333,-17.233334,-17.433332,-17.566668,-17.516666,-17.533333,-17.383333,-17.216667,-17.05,-16.883333,-16.716667,-16.6,-16.533333,-16.466667,-16.35,-16.383333,-16.466667,-16.566668,-16.633333
10,32.0,-22.183332,-21.883333,-21.683332,-20.216667,-20.933332,-20.6,-19.866667,-18.733334,-17.75,-16.35,-15.016666,-14.55,-15.1,-15.05,-14.866667,-15.4,-13.55,-13.216666,-13.283334,-12.916667,-13.216666,-13.916667,-14.4,-14.916667,-15.5,-16.233334,-17.15,-18.266666,-20.266666,-21.55,-22.85,-25.05,-26.283333,-27.416666
11,33.0,-10.233334,-9.95,-9.7,-9.55,-9.283334,-9.033334,-10.466666,-12.2,-13.8,-15.45,-17.266666,-19.266666,-21.116667,-22.966667,-24.966667,-24.916666,-23.35,-22.816668,-21.483334,-20.233334,-18.883333,-17.55,-16.15,-14.516666,-11.8,-8.316667,-4.9,-3.4333334,-3.5166667,-2.5333333,-0.7,1.5666667,3.5666666,5.5666666
12,35.0,-15.633333,-15.9,-16.166666,-16.383333,-16.533333,-16.7,-16.883333,-16.733334,-16.483334,-16.216667,-15.916667,-15.683333,-15.466666,-15.3,-15.15,-15.05,-15.05,-15.05,-15.05,-15.05,-15.0,-14.983334,-14.95,-14.9,-14.816667,-14.733334,-14.6,-14.433333,-14.333333,-14.25,-14.166667,-14.033334,-13.933333,-13.816667
13,4.0,-14.766666,-14.933333,-15.85,-16.283333,-15.916667,-14.716666,-13.533334,-12.633333,-11.05,-9.166667,-8.933333,-11.216666,-12.566667,-12.833333,-12.316667,-12.483334,-11.4,-9.75,-7.9,-5.4,-4.733333,-6.1,-8.166667,-8.516666,-7.4333334,-7.25,-6.5666666,-5.2833333,-6.6833334,-9.566667,-12.633333,-15.766666,-17.733334,-18.283333
14,42.0,-3.9333334,-6.5666666,-9.016666,-10.933333,-10.8,-9.416667,-9.4,-8.0,-6.016667,-4.0333333,-2.05,-0.05,1.95,3.9666667,6.05,8.133333,10.8,11.0,11.016666,10.933333,10.816667,11.033334,11.95,12.866667,13.783334,14.683333,15.516666,16.35,16.333334,17.1,18.183332,19.233334,20.266666,20.866667
15,45.0,-13.9,-13.816667,-12.183333,-12.6,-13.25,-13.516666,-13.666667,-13.716666,-13.616667,-14.15,-14.766666,-18.4,-20.45,-21.566668,-24.083334,-24.466667,-24.116667,-23.833334,-23.5,-23.133333,-22.933332,-22.533333,-22.333334,-22.116667,-21.866667,-21.616667,-21.366667,-21.266666,-21.1,-21.1,-20.966667,-20.9,-21.066668,-21.283333
16,47.0,3.0333333,0.26666668,-0.68333334,-3.8833334,-6.483333,-1.7333333,1.9,1.6333333,1.3,1.9,1.9666667,3.9666667,8.616667,12.516666,16.883333,22.383333,26.3,25.633333,21.833334,18.066668,14.416667,12.733334,11.883333,10.6,10.95,11.066667,8.133333,4.0,-0.33333334,-4.9166665,-5.5833335,-4.766667,-4.2,-6.3
17,48.0,15.083333,15.283334,15.966666,15.8,15.85,15.833333,15.183333,14.7,14.633333,15.633333,16.35,16.566668,15.616667,14.25,13.5,14.783334,16.5,18.35,20.266666,21.266666,21.566668,21.3,20.666666,20.433332,20.65,20.833334,20.283333,18.8,16.816668,14.616667,12.783334,9.783334,6.5666666,3.95
18,49.0,-18.633333,-18.866667,-19.233334,-19.6,-19.916666,-20.0,-20.066668,-20.4,-20.483334,-20.6,-21.283333,-22.066668,-22.5,-22.7,-22.8,-23.033333,-23.283333,-23.45,-23.9,-24.316668,-24.866667,-25.35,-25.3,-24.95,-24.766666,-24.9,-25.066668,-25.216667,-25.283333,-25.25,-25.216667,-25.216667,-25.083334,-24.916666
19,54.0,9.05,9.133333,9.15,9.233334,9.25,9.233334,9.166667,9.2,9.2,9.183333,8.866667,8.95,9.05,9.133333,9.25,9.25,9.25,9.266666,9.333333,9.3,9.333333,9.3,9.25,9.216666,9.166667,9.083333,9.033334,9.033334,9.033334,9.033334,8.966666,8.916667,8.883333,8.883333
20,55.0,-15.733334,-16.333334,-17.016666,-17.65,-17.316668,-16.666666,-17.166666,-17.683332,-17.833334,-16.75,-15.583333,-14.65,-13.583333,-13.433333,-14.15,-14.833333,-15.5,-16.166666,-16.816668,-17.283333,-17.333334,-17.383333,-17.316668,-17.25,-17.216667,-16.516666,-15.516666,-14.65,-13.783334,-13.2,-12.783334,-12.483334,-12.6,-12.716666
21,6.0,-23.6,-22.85,-21.983334,-21.3,-21.4,-22.216667,-22.916666,-23.783333,-26.016666,-26.266666,-26.116667,-26.166666,-26.233334,-26.583334,-27.05,-27.983334,-28.516666,-28.3,-28.033333,-27.216667,-26.383333,-26.366667,-26.166666,-25.916666,-25.75,-25.433332,-25.133333,-24.333334,-23.533333,-23.416666,-23.616667,-24.266666,-25.166666,-25.433332
