,0,1,2,3,4,5,6,7,8,9
0,14,0,14,10,10,13,11,11,,
1,21,6,9,9,8,7,9,8,,
2,23,0,8,7,8,9,10,8,,
3,25,8,10,5,8,8,5,6,,
4,34,5,8,8,5,4,12,10,8.0,7.0
5,39,8,13,13,9,10,9,4,4.0,8.0
6,43,2,2,6,8,8,10,2,,
7,46,5,7,8,10,12,3,2,,
8,51,7,15,11,8,4,7,11,7.0,7.0
9,57,4,2,2,14,18,17,2,1.0,2.0
10,71,5,5,7,8,17,13,8,5.0,3.0
11,72,3,9,9,14,10,7,7,,
12,77,7,10,2,3,2,3,2,,
13,78,10,17,7,9,14,11,10,,
14,79,4,3,2,3,1,10,5,,
15,80,9,18,13,3,6,18,13,,
16,82,6,18,13,13,16,15,7,8.0,9.0
17,83,8,10,14,8,16,2,2,,
18,84,7,11,15,11,9,11,11,,
19,85,8,16,14,11,12,15,10,,
20,87,5,11,13,14,15,11,7,,
21,88,12,13,13,13,11,13,10,,
22,89,5,5,4,1,1,5,1,,
23,91,5,7,11,12,8,9,13,,
24,92,8,8,6,8,8,5,6,,
25,93,2,3,5,6,9,9,10,,
