,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,5.0,2.2185426604169754e-05,1.7466691463138468e-05,1.3316081815806984e-05,9.76659463461783e-06,6.764062345768037e-06,4.3032096967544905e-06,2.421540821766022e-06,1.0716420042191267e-06,2.8056233623679555e-07,4.716928158991582e-08,3.6237107846709476e-07,1.2553458075989022e-06,2.7289034313074574e-06,4.79648080568863e-06,7.4740650606855165e-06,1.0800771181223008e-05,1.4762789330850114e-05,1.9427426070098726e-05,2.480667647897129e-05,3.094186369828636e-05,3.784630965721793e-05,4.558061508888777e-05,5.419628015463033e-05,6.373811510762851e-05,7.425117265747776e-05,8.575863023490155e-05
0,8.0,1.6466176244872752e-07,6.475865230808838e-07,1.9113461990791186e-06,3.881382536490818e-06,6.545112303923846e-06,9.907746345565176e-06,1.3984809727151055e-05,1.881783380209381e-05,2.43858217233757e-05,3.074976596396028e-05,3.7929038834021836e-05,4.590443918284209e-05,5.4738584002313336e-05,6.447161416030989e-05,7.510309487214802e-05,8.671466574870907e-05,9.931310010030768e-05,0.00011299726762660194,0.00012779548795040005,0.00014381083609658467,0.00016099569143142493,0.00017947609977006027,0.0001993945713923782,0.0002207497752728396,0.00024362853745735094,0.00026808480044174227
0,11.0,1.5941156429087167e-06,1.3566181140216054e-06,1.161768719382601e-06,9.829430386265511e-07,8.235998586211925e-07,6.78506112141514e-07,5.506529427489932e-07,4.537590331897387e-07,3.4055141326559423e-07,2.5707168495351116e-07,1.8219347049224942e-07,1.2345555149520307e-07,7.691737039801367e-08,4.099751589154364e-08,1.5819390529687497e-08,6.781299130920824e-09,1.1065209014926378e-09,1.1281726118337454e-08,3.972352626246825e-08,6.194957778415748e-08,1.0394096380263237e-07,1.6506925083643557e-07,2.2207411952669516e-07,2.9971368873979335e-07,3.8729858657569286e-07,4.877005980420477e-07
0,17.0,1.2202285877943347e-05,1.1746690166274177e-05,1.1334143204384152e-05,1.0947580777542695e-05,1.0584816925392805e-05,1.0250916163708366e-05,9.927973320577988e-06,9.626156952038274e-06,9.346362338986751e-06,9.085704866390563e-06,8.840342218556302e-06,8.613752310540606e-06,8.403237533291705e-06,8.20917098316753e-06,8.033689231039076e-06,7.864492550155533e-06,7.71045370338037e-06,7.571621540711737e-06,7.446643100326453e-06,7.333310637840388e-06,7.2325099817421765e-06,7.14299894839693e-06,7.0651303406166254e-06,6.999246818097412e-06,6.971779164903673e-06,6.903552255144662e-06
0,20.0,3.4821245221131707e-06,1.7350230272358867e-06,5.789789837244769e-07,7.09631031450571e-08,1.9874851868697776e-07,9.568956502436772e-07,2.3611300159377945e-06,4.408715265275088e-06,7.093031636539118e-06,1.0454577141046045e-05,1.4476601273337777e-05,1.9203404342682474e-05,2.4644706919173555e-05,3.081496432630751e-05,3.773463896181756e-05,4.5436592461205655e-05,5.396120821757848e-05,6.332940425325052e-05,7.358955510630454e-05,8.478466528591267e-05,9.694719185486459e-05,0.00011012542596294578,0.000124397926445763,0.0001397856124012585,0.00015638070185853387,0.0001742454043452707
0,23.0,0.0002801993653807307,0.0002536417161756002,0.00022904149364989844,0.00020611778832213307,0.00018476831869557316,0.00016510164045100716,0.00014653585902989452,0.00012951281542597197,0.00011376177001936289,9.92189524965276e-05,8.585976877473802e-05,7.362860592055774e-05,6.244619556623542e-05,5.230805984300825e-05,4.316539286126534e-05,3.4989331847687174e-05,2.7728457990188782e-05,2.1341793867739556e-05,1.584193337935768e-05,1.1170656788890652e-05,7.358182338889731e-06,4.332713262603101e-06,2.112838273578718e-06,7.213726835790667e-07,9.338188845082573e-08,2.4204860330887627e-07
0,28.0,5.215917671434239e-05,5.0254345482626594e-05,4.848203164794483e-05,4.6824476007872934e-05,4.527938770749007e-05,4.3841984858457464e-05,4.250729360232672e-05,4.126436439733263e-05,4.011727470252166e-05,3.906202716858251e-05,3.80803951579547e-05,3.7190318879407534e-05,3.637770290821972e-05,3.564189054868768e-05,3.498051042340823e-05,3.439006785605275e-05,3.3869324698936084e-05,3.3416395946744894e-05,3.3027402919408925e-05,3.270362129934417e-05,3.244195231697693e-05,3.224828598656445e-05,3.2104153086147555e-05,3.202809007053317e-05,3.2012611553924124e-05,3.205541075436036e-05
0,29.0,1.3764240208709476e-05,1.3763539116216306e-05,1.3818752728796818e-05,1.3907101824898528e-05,1.402762547084117e-05,1.4181769512005367e-05,1.4371346582842112e-05,1.459850948051876e-05,1.4858320788535433e-05,1.5158281457561614e-05,1.5491064960230474e-05,1.586502903868965e-05,1.6280434486497087e-05,1.6738282114318534e-05,1.7238724591796818e-05,1.7787130694318335e-05,1.8383775604347552e-05,1.903102982965525e-05,1.9734872599749566e-05,2.049220081524605e-05,2.1309385601406432e-05,2.2192262990052167e-05,2.3134257811728142e-05,2.415043833097282e-05,2.5237183069912856e-05,2.6397988206384254e-05
0,32.0,0.0027325118826136106,0.0025543222656640354,0.002385747052605972,0.0022268507943538655,0.0020769130143692884,0.0019355948673181228,0.0018023642141155143,0.0016767579231541777,0.0015583990006101782,0.0014468686190192929,0.0013418143864330598,0.001242904995145034,0.001149817040036394,0.0010622028697062419,0.0009797664321098418,0.0009023083301799518,0.0008294453104374113,0.0007610369921449525,0.0006968172258792842,0.0006365994646090624,0.0005801293989412255,0.0005272845430328572,0.0004777931342016806,0.0004315436898046066,0.0003884034070515577,0.0003483274873646499
0,35.0,0.0011549165995588969,0.0010666288496694089,0.0009836861093987202,0.0009058411664861801,0.0008328891209968583,0.0007645956823666433,0.0007006265371491217,0.0006407394363436789,0.0005846755512573664,0.0005322497707503582,0.0004832731299637332,0.00043755243337056807,0.00039489683202711213,0.00035512158727543023,0.000318116038945869,0.0002837731711420724,0.00025188527448234243,0.00022233496425860312,0.0001950434731072656,0.00016991024913066166,0.0001468242193307542,0.00012567284666488573,0.00010640887689569522,8.892549535929295e-05,7.31979532130984e-05,5.921763422494686e-05
