,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,11.0,1.8315530193472195e-05,1.7204386430948757e-05,1.6740472487960306e-05,1.630711508873665e-05,1.5918905470135525e-05,1.5568264330598626e-05,1.5253268559663584e-05,1.4973146079773722e-05,1.4726267901836428e-05,1.4511808908275246e-05,1.4327594838195517e-05,1.4174073363198622e-05,1.4052854484124717e-05,1.3955759563122998e-05,1.3891158781633076e-05,1.385700081011694e-05,1.3845726403593203e-05,1.3867745812607803e-05,1.3917467948937055e-05,1.3996701378787403e-05,1.4105825497745403e-05,1.4244758004675501e-05,1.4413206121733592e-05,1.4612754315967275e-05,1.484598158620011e-05,1.4028053005466556e-05
0,12.0,2.7616698337842974e-05,2.564567357372011e-05,2.4711382150529863e-05,2.3270848683914628e-05,2.2202904144045882e-05,2.1165827620923093e-05,2.019986096611613e-05,1.92907476118268e-05,1.8430298113909384e-05,1.7622294929873575e-05,1.6862040511539238e-05,1.6152034650838924e-05,1.5488302719841258e-05,1.501497247012467e-05,1.4297079901017415e-05,1.3748049907041432e-05,1.3258343885470182e-05,1.2796017041723983e-05,1.2365690735857991e-05,1.1967625500403405e-05,1.1602299474867022e-05,1.1268716327293615e-05,1.0963744550834191e-05,1.0690097132383006e-05,1.0551343702941722e-05,9.491025915923949e-06
0,13.0,7.338878277513118e-05,6.804153696529625e-05,6.36908231380128e-05,5.965678855067436e-05,5.5893655583474146e-05,5.239894266040443e-05,4.912746144764902e-05,4.60881864023677e-05,4.324934724290126e-05,4.061424041005375e-05,3.816080449468949e-05,3.5905155291014364e-05,3.3777779392727513e-05,3.182795313894607e-05,3.0025792238540824e-05,2.834722536073115e-05,2.6785874739422296e-05,2.534701362817995e-05,2.400802586802445e-05,2.278468830244008e-05,2.1635637409431313e-05,2.0571690216884627e-05,1.9600090294254867e-05,1.867797492979187e-05,1.782020495447617e-05,1.5823899988890495e-05
0,14.0,3.5968636616542656e-05,3.410028043858345e-05,3.270971400802446e-05,3.140775448609909e-05,3.017921532690241e-05,2.902161193182098e-05,2.793798241052177e-05,2.6978352294175723e-05,2.5957712733666993e-05,2.5059478263375418e-05,2.4218666403589982e-05,2.3431457049890732e-05,2.269763797136795e-05,2.2015491551926155e-05,2.1379449003470444e-05,2.079052370529724e-05,2.0247584540246516e-05,1.9744629355712967e-05,1.9283619716997582e-05,1.8862373361415064e-05,1.8481803570847695e-05,1.813870500083108e-05,1.7831051367496393e-05,1.75601625814278e-05,1.7322323615687783e-05,1.5897540135859424e-05
0,15.0,6.627416330944416e-06,7.603029130830767e-06,8.809066460129961e-06,1.0154797945890528e-05,1.1640873315664461e-05,1.3293509443276679e-05,1.5126734493157292e-05,1.7141036443394845e-05,1.937726083488108e-05,2.1806505920299412e-05,2.448870445791314e-05,2.7441024436115336e-05,3.066506048344724e-05,3.417911386160296e-05,3.802678082486134e-05,4.223851433446023e-05,4.682636506446454e-05,5.181905077808137e-05,5.726111370910029e-05,6.3192372151788e-05,6.960735526981485e-05,7.659885744228701e-05,8.419264350701987e-05,9.248741577105375e-05,0.00010141680604489684,0.00010314891778251945
0,16.0,1.4869797762876758e-05,1.487818943346541e-05,1.5364916589686472e-05,1.5902793719015278e-05,1.6499905989497416e-05,1.715164375336644e-05,1.7870752660932277e-05,1.865301986289374e-05,1.950554218107032e-05,2.0430907774181446e-05,2.1424690189358462e-05,2.2506605790571743e-05,2.3669027044909135e-05,2.491737927877794e-05,2.6310849161313765e-05,2.76967343958664e-05,2.9243034061101193e-05,3.0893458190840294e-05,3.265867923255197e-05,3.4544795240290346e-05,3.6561022622453963e-05,3.87245825561858e-05,4.101868674277538e-05,4.348683480782797e-05,4.6127523672931435e-05,4.539717208178671e-05
0,17.0,5.407678900561198e-05,4.801715566752994e-05,4.2514006494025444e-05,3.7397589452211496e-05,3.2669942454740546e-05,2.829473476895351e-05,2.437661232782305e-05,2.058342810961217e-05,1.7221140022247303e-05,1.4179934139451406e-05,1.1448972831095648e-05,9.0233352754341e-06,6.893427435431045e-06,5.054419356470002e-06,3.5118062121266806e-06,2.242283563738337e-06,1.3819951922772165e-06,7.504421689691884e-07,1.397621395142975e-07,2.2224903626225097e-09,1.4502443988809387e-07,5.73084450075082e-07,1.287650870006153e-06,2.295062100514446e-06,3.5956892122282953e-06,4.827823034999223e-06
0,18.0,0.000109917749463876,0.00010560868010479869,0.00010227761504372069,9.920754599169226e-05,9.636031141664175e-05,9.376548110124861e-05,9.137258774739759e-05,8.919668398071573e-05,8.721952682258266e-05,8.543616305840842e-05,8.398376874731807e-05,8.241970345951737e-05,8.138594408846098e-05,8.00951065801815e-05,7.916708712139075e-05,7.842590406193233e-05,7.782975639878138e-05,7.739270007958743e-05,7.709816232003164e-05,7.696320649024476e-05,7.698070726349375e-05,7.714142397665196e-05,7.745685929404591e-05,7.811084396304474e-05,7.85482824123766e-05,7.36874791486305e-05
0,19.0,1.660209348274543e-05,1.575208662497659e-05,1.5343649528423785e-05,1.4964917600748732e-05,1.4626038341822296e-05,1.4318538423340524e-05,1.404748573780689e-05,1.3806283136004378e-05,1.3589759885450104e-05,1.3402934568905837e-05,1.3245845241832491e-05,1.3115446433875201e-05,1.3011031473009313e-05,1.2932015653527527e-05,1.2876972637193886e-05,1.2847582399032102e-05,1.2842756589737389e-05,1.2861740086038385e-05,1.2904217784425465e-05,1.2971523236938501e-05,1.306588269569318e-05,1.3184232263146171e-05,1.3326993833138235e-05,1.3495024695402792e-05,1.3689882462718573e-05,1.2917440736712481e-05
0,20.0,2.6242106190290892e-05,2.5046963889784406e-05,2.4485624368708553e-05,2.4000551868428282e-05,2.3581024886296525e-05,2.32630892465653e-05,2.2923086914485683e-05,2.268134034995836e-05,2.2493937945935556e-05,2.236163356094645e-05,2.228224422582291e-05,2.225587210299106e-05,2.2279156675393326e-05,2.2368191025001935e-05,2.2504914392861084e-05,2.2664926258729173e-05,2.2950737834913446e-05,2.319568877533534e-05,2.3546708456731212e-05,2.4101285626753672e-05,2.441949052550574e-05,2.4943955331099345e-05,2.5525215463442102e-05,2.6172263369736328e-05,2.6890030420585547e-05,2.5793140685674612e-05
