,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,1,10,10,11,11,11,11,10,11,11,10,10,9,8,8,7,7,7,8,9,9,8,9,9,10,10
0,2,16,21,21,20,21,22,21,18,13,19,22,22,22,16,17,17,17,17,17,16,16,11,8,7,9
0,3,8,7,7,7,7,6,6,6,6,6,6,6,7,7,9,9,8,9,9,8,8,8,8,10,8
0,4,11,10,10,11,11,12,12,13,13,13,13,12,12,13,13,12,12,10,10,9,9,9,9,10,9
0,5,9,8,7,8,8,7,6,8,7,7,6,6,6,7,7,7,7,7,7,6,6,6,6,7,6
0,6,12,12,11,11,10,7,8,8,8,8,8,7,7,7,7,8,7,7,7,6,6,6,5,7,7
0,7,11,12,12,11,12,13,12,12,11,12,11,11,10,9,9,10,10,10,10,9,10,9,10,10,11
0,8,10,10,9,8,8,8,8,8,8,8,8,9,9,9,9,10,9,10,10,10,10,10,9,9,8
0,9,10,10,11,11,9,11,9,9,10,10,9,9,9,9,8,8,8,8,8,9,9,9,10,9,9
0,10,8,8,7,7,8,7,7,7,6,7,7,6,6,6,6,7,6,6,6,8,8,8,8,9,9
0,11,5,5,4,4,4,4,4,5,4,4,4,4,5,5,5,6,6,6,6,6,7,6,7,7,6
0,12,8,8,7,7,8,7,8,8,9,10,10,13,13,14,13,13,13,14,14,14,14,14,14,11,11
0,13,8,9,8,7,6,7,6,7,9,9,9,8,8,7,7,7,7,7,7,8,8,9,9,9,9
0,14,8,8,7,7,8,8,7,7,7,8,6,6,6,5,6,7,6,7,7,7,6,6,7,7,8
0,15,9,7,6,6,6,5,5,5,5,5,6,5,5,5,6,5,6,5,5,6,6,6,6,6,6
0,16,10,9,9,9,9,10,11,10,10,12,11,11,14,15,15,15,15,16,15,15,15,14,15,14,12
0,17,5,5,5,5,5,7,7,7,7,8,8,8,8,8,7,8,8,6,6,6,5,5,4,4,4
0,19,9,9,9,9,8,9,9,8,8,7,7,8,9,8,7,8,9,9,11,11,12,16,18,19,18
0,20,7,8,8,9,8,9,8,9,8,8,8,7,7,7,7,7,8,7,8,8,8,8,8,8,8
0,21,8,7,7,7,7,7,6,6,5,6,6,5,6,6,6,6,5,5,5,5,5,5,5,6,6
0,22,7,6,6,7,6,6,5,5,5,5,6,7,7,6,7,6,7,7,9,9,9,9,8,8,8
0,23,7,7,7,7,7,7,7,8,8,7,6,5,6,5,5,5,5,4,5,4,5,5,5,5,5
0,24,10,10,9,9,10,9,9,9,8,8,8,8,8,8,7,8,7,6,7,10,11,11,11,12,11
0,25,5,4,5,5,6,6,6,7,7,7,6,6,6,6,7,10,10,11,13,13,14,14,14,14,14
0,26,11,11,11,11,10,9,9,11,11,10,9,10,10,9,9,8,9,9,9,7,7,7,7,6,6
0,27,11,12,12,12,12,12,9,10,10,9,9,8,9,8,8,8,8,8,8,7,7,6,7,8,6
0,28,7,6,6,6,6,6,5,5,5,5,5,4,4,4,4,3,4,4,4,4,4,5,5,5,5
0,29,7,7,6,7,7,7,7,7,8,7,6,6,7,6,7,8,9,9,9,9,9,9,9,10,10
0,30,8,9,10,10,10,8,11,12,11,10,11,13,15,14,14,14,14,15,12,12,12,13,12,10,9
0,31,7,7,7,10,10,10,12,12,11,12,18,18,18,18,19,17,16,16,14,16,18,16,11,10,10
0,32,12,12,14,13,13,11,11,12,11,12,10,12,12,11,9,10,10,9,10,12,14,13,15,15,15
0,34,7,7,8,7,7,6,6,6,5,5,5,6,6,7,7,8,8,9,9,9,8,9,8,8,7
0,35,12,11,8,9,9,9,7,8,7,7,6,6,6,6,6,6,6,6,7,7,8,8,7,7,7
0,36,10,10,10,9,10,9,9,10,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,10,10
0,37,12,12,12,13,14,14,13,13,12,13,13,12,8,9,9,8,7,7,7,6,6,6,6,6,6
0,39,11,10,11,10,10,9,9,11,10,12,13,13,13,12,12,14,13,13,13,12,12,10,10,10,10
0,40,7,7,7,5,5,6,6,6,6,7,7,7,9,8,9,9,9,9,9,8,9,10,9,9,8
0,41,15,14,14,14,13,12,13,12,11,11,11,10,10,9,10,10,10,11,10,10,10,11,11,11,12
0,42,6,6,10,10,11,11,11,11,11,11,11,11,11,11,8,8,7,8,8,9,8,8,8,8,9
0,43,9,8,8,7,7,8,8,8,8,8,9,8,8,8,9,9,9,9,9,10,10,10,10,10,10
0,44,7,7,7,7,8,9,10,10,10,10,12,12,11,11,11,11,9,8,6,7,7,7,5,5,5
0,46,7,6,7,7,7,8,7,6,6,6,7,6,6,7,7,7,7,7,8,8,9,9,8,9,8
0,47,12,11,10,9,9,9,9,8,8,7,7,8,7,7,7,7,7,7,8,9,8,8,8,8,9
0,48,13,11,12,12,12,12,11,14,13,14,14,10,7,7,7,7,7,7,7,5,5,6,6,6,6
0,49,16,14,14,13,13,13,14,15,14,13,14,12,10,11,10,11,11,10,9,9,9,9,9,9,9
0,52,12,12,10,10,10,10,8,8,9,10,9,10,11,12,12,11,10,9,10,9,8,7,8,7,6
0,54,6,5,5,6,7,8,8,8,7,12,11,11,12,12,12,12,12,13,13,12,12,9,9,9,9
0,55,16,15,14,14,14,14,14,14,13,13,14,11,8,9,9,8,9,8,8,9,11,12,14,14,14
0,56,14,14,15,15,14,15,17,17,19,20,19,25,30,30,32,35,34,34,33,33,34,34,36,27,19
0,57,12,11,10,10,11,10,10,10,10,10,10,9,8,9,9,8,8,9,9,9,10,10,9,10,10
0,58,9,9,9,8,8,8,8,8,9,8,9,8,8,8,7,7,6,7,7,7,6,7,6,7,6
0,59,8,8,9,8,9,9,10,8,8,7,7,7,7,7,7,6,6,6,6,7,7,7,7,8,8
0,60,10,10,10,11,11,10,9,9,9,9,9,9,11,10,11,10,11,11,11,10,10,10,10,8,6
0,61,8,8,8,9,9,9,9,8,8,7,7,8,7,8,8,8,7,8,8,8,8,9,10,9,9
0,62,10,10,9,7,7,7,6,7,7,7,7,8,10,10,12,12,12,12,12,11,11,12,12,11,10
0,63,7,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,6,7,8,8,8,8,7,7,6
0,64,12,11,11,10,10,9,10,10,11,10,9,8,8,8,8,8,8,8,8,8,7,7,10,11,11
0,65,8,9,8,9,9,8,7,7,7,8,9,9,8,7,7,6,6,6,5,5,4,4,4,4,5
0,66,8,7,8,7,7,6,5,5,5,7,6,6,6,7,7,7,7,7,6,7,7,6,6,7,7
0,67,7,7,7,7,6,6,7,7,8,7,6,6,6,5,6,7,7,6,6,7,7,7,7,7,6
0,68,16,12,13,13,12,11,10,11,10,10,9,9,7,7,7,7,6,7,7,7,6,8,8,9,9
0,69,6,6,6,6,6,6,7,7,6,6,7,7,7,7,7,7,7,7,7,8,7,7,7,7,7
0,70,9,9,9,8,8,8,6,7,6,7,6,4,5,6,6,5,5,6,7,7,6,6,6,7,7
0,71,7,7,7,8,7,8,8,7,6,6,6,6,6,6,6,6,6,7,9,9,9,11,10,10,9
0,72,19,18,16,17,16,17,18,21,17,16,12,13,15,15,15,16,17,14,15,14,16,16,17,17,15
0,73,8,8,7,7,5,5,5,5,5,5,6,6,6,5,5,5,6,6,6,6,7,6,6,6,6
0,74,8,9,9,9,9,10,11,10,10,11,11,11,11,9,10,9,9,8,7,8,9,8,8,7,8
0,75,7,8,7,6,7,8,8,10,12,12,12,12,13,11,11,13,12,13,12,10,7,8,8,8,8
0,76,7,7,7,7,8,8,8,7,7,7,7,6,6,7,7,6,5,6,7,7,7,7,7,8,8
0,77,9,9,9,9,9,7,7,8,7,7,7,6,7,6,6,7,6,8,8,6,7,8,7,7,7
0,78,9,9,10,10,9,9,9,9,10,11,12,11,11,10,9,9,8,9,10,9,9,8,6,7,8
0,79,8,8,7,9,9,8,7,8,8,8,8,8,8,8,8,7,6,7,7,7,7,6,8,7,7
0,80,12,11,13,12,11,12,12,13,13,12,13,12,10,11,10,10,10,10,9,9,8,8,9,8,8
0,81,12,11,12,13,12,11,11,10,11,12,13,14,15,15,14,13,13,14,14,15,14,14,13,12,11
0,82,10,9,9,10,9,9,8,9,9,9,10,9,8,7,8,7,7,6,7,7,6,5,5,5,5
0,83,11,11,10,11,10,10,10,9,9,8,9,9,9,9,9,7,7,7,8,7,7,7,7,7,7
