,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,1,6,5,5,5,5,6,6,5,6,6,5,7,8,7,8,8,9,8,9,9,8,9,9,8,7
0,2,22,23,22,21,20,19,15,14,14,15,15,17,17,16,17,21,20,21,22,22,23,24,23,21,19
0,3,8,8,9,10,10,10,10,9,9,9,8,8,8,8,7,6,6,6,6,6,6,6,6,6,6
0,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,5,10,9,9,10,10,10,10,9,8,7,6,6,6,6,6,5,5,5,5,6,6,6,6,7,6
0,6,8,7,7,6,6,7,9,10,10,10,9,9,9,9,9,9,9,8,7,6,6,5,5,5,5
0,7,14,15,14,13,13,14,13,13,12,11,11,11,11,11,11,11,10,9,10,9,9,9,8,9,9
0,8,12,9,9,9,9,9,9,9,9,9,9,9,9,8,8,9,9,9,10,11,11,11,11,11,12
0,9,12,12,10,10,10,11,11,12,11,11,11,11,11,10,10,10,11,10,9,9,9,9,9,10,9
0,10,10,9,8,9,9,8,9,9,9,9,9,8,8,8,8,8,9,8,7,7,7,7,7,7,7
0,11,8,8,8,10,9,8,8,8,5,5,5,6,6,6,6,5,6,6,6,6,5,5,5,5,5
0,12,8,7,6,7,7,8,8,8,7,9,8,8,8,9,9,9,8,7,7,7,7,6,6,6,7
0,13,8,9,8,9,7,6,6,5,6,5,4,5,7,6,7,7,7,8,8,9,8,9,10,10,7
0,14,7,6,6,6,6,5,6,6,7,6,6,6,7,7,7,6,7,7,7,7,7,7,7,8,6
0,15,13,11,10,9,9,10,9,9,9,8,6,6,6,7,7,8,8,7,7,8,8,8,8,9,10
0,16,12,11,11,10,9,9,9,9,9,8,8,7,8,8,7,7,7,7,7,6,6,6,5,7,7
0,17,8,7,7,7,7,7,6,6,7,7,7,7,8,8,7,8,9,8,9,9,7,8,8,7,7
0,19,8,7,7,8,8,8,8,8,7,9,8,8,8,9,8,8,9,8,8,9,9,8,8,8,8
0,20,6,5,7,6,6,6,6,6,7,7,8,8,9,9,8,8,8,9,9,8,8,8,7,7,6
