,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,14.0,365.2,397.09090909090907,349.0,346.4,382.1818181818182,398.2857142857143,372.85714285714283,359.7647058823529,308.46153846153845,471.52941176470586,422.22222222222223,446.93333333333334,404.85714285714283,316.57142857142856,433.3333333333333,337.2307692307692,362.5,344.0,499.8,350.6666666666667,594.0,,638.6666666666666,,,620.0,,,,,984.0,624.0,640.0,644.0,,,,,,,,,,,,,,
1,21.0,650.8571428571429,653.2307692307693,643.0,642.6666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,23.0,659.8536585365854,738.1621621621622,722.1333333333333,663.5061728395061,738.0540540540541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,25.0,636.986301369863,654.8493150684932,644.1643835616438,626.5205479452055,632.3157894736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,34.0,1013.8461538461538,1028.076923076923,1012.6792452830189,987.5636363636364,1021.8867924528302,1024.6792452830189,1004.0,1062.96,1045.0,1016.6037735849056,1024.6274509803923,1047.7692307692307,1049.7254901960785,1019.3076923076923,1037.8461538461538,1039.3076923076924,1097.3877551020407,1054.5882352941176,1084.1632653061224,1002.3396226415094,1019.2452830188679,1125.1666666666667,1076.0,891.8620689655172,980.6545454545454,1019.0769230769231,928.0689655172414,940.7017543859649,521.3333333333334,,,628.0,,625.3333333333334,,636.0,,626.0,577.3333333333334,642.0,608.0,,,,,,,
5,39.0,718.4615384615385,717.9672131147541,728.9411764705883,721.0434782608696,769.1428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,43.0,456.0,472.0860215053763,450.989010989011,454.6796116504854,456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,46.0,571.483870967742,574.1052631578947,588.7428571428571,595.9322033898305,599.8840579710145,621.170731707317,627.5813953488372,637.45,649.1111111111111,650.421052631579,614.4096385542168,624.4819277108434,641.3939393939394,655.5294117647059,116.86486486486487,,,,,,,612.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,51.0,721.6231884057971,815.9344262295082,771.8805970149253,798.4705882352941,801.0769230769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,57.0,413.7721518987342,441.3731343283582,408.6545454545454,413.609756097561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,71.0,783.3846153846154,775.3191489361702,744.4827586206897,760.0689655172414,246.54545454545453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,72.0,819.6363636363636,812.3636363636364,805.0714285714286,808.3174603174604,805.2063492063492,782.5625,793.4117647058823,800.3225806451613,797.8507462686567,807.3432835820895,852.7619047619048,872.3870967741935,844.5625,847.0819672131148,838.9655172413793,825.8125,837.4193548387096,836.8813559322034,817.9047619047619,827.0,859.0967741935484,852.0,877.7704918032787,442.2857142857143,347.09090909090907,863.9333333333333,303.6363636363636,274.6666666666667,306.6666666666667,632.0,,640.0,,,,,,,,,,,,,,,,
12,77.0,592.735632183908,582.7764705882353,590.1428571428571,568.9156626506024,589.7254901960785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
