,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,0,39,40,43,46,50,51,53,48,46,49,51,53,58,65,74,78,87,89,84,85,85,80,77,75,70,64,54,51,39,33,37,41,48,48,46
1,1,41,44,47,46,44,45,46,44,46,47,48,48,49,48,48,48,50,48,48,51,49,48,49,52,52,51,51,53,54,56,54,52,53,56,52
2,2,42,44,44,41,46,53,50,56,59,52,48,47,47,47,50,52,48,44,45,43,40,44,47,48,52,52,54,58,59,58,58,55,56,58,54
3,3,54,60,65,66,68,69,69,70,72,72,71,70,70,68,68,66,65,63,65,64,63,62,63,66,67,68,69,71,71,70,68,69,69,68,66
4,4,40,44,48,47,45,40,39,39,39,41,43,44,44,41,38,38,37,44,45,46,44,43,42,44,45,47,45,44,44,40,41,40,42,43,41
5,5,49,53,56,54,56,55,55,52,50,50,51,54,58,59,59,59,59,61,62,64,66,67,67,65,64,67,66,65,63,61,58,55,55,53,50
6,6,54,59,62,62,60,58,57,51,48,46,51,56,58,60,61,64,64,66,70,75,77,83,84,83,84,88,88,85,84,84,82,83,81,80,75
7,7,32,37,39,39,44,49,50,51,57,60,62,65,66,65,69,69,70,68,68,69,64,62,59,57,59,59,56,55,52,50,50,48,47,50,50
8,8,45,46,48,46,44,41,32,33,32,34,36,43,44,50,54,55,57,58,61,62,69,69,68,72,77,74,68,64,62,59,62,65,66,71,68
9,9,45,46,52,54,55,58,60,60,63,65,65,60,61,64,60,54,57,52,49,49,48,48,47,50,53,50,51,50,45,42,39,42,41,42,40
10,10,39,44,45,49,48,47,50,54,52,52,48,51,52,49,55,54,52,53,54,56,58,55,55,52,54,54,45,45,47,46,45,45,43,46,45
11,11,53,61,67,70,67,58,63,66,64,70,76,78,82,79,75,76,79,81,83,86,87,81,83,89,87,83,81,82,83,86,85,95,95,94,90
12,12,36,43,45,47,47,51,52,56,61,62,61,59,58,54,54,54,59,56,62,59,56,55,56,60,61,67,69,69,65,67,63,61,59,61,56
13,13,67,68,71,74,79,81,82,80,79,81,80,79,83,91,92,91,85,82,81,78,76,70,67,60,50,45,48,48,57,63,64,64,63,68,69
14,14,40,46,56,56,52,50,46,45,39,41,45,48,47,46,42,46,49,54,51,53,59,62,62,61,62,61,58,53,48,45,45,45,43,41,38
15,15,38,38,42,43,46,46,48,48,47,46,49,51,52,55,55,57,57,59,59,57,57,58,57,56,56,54,54,54,55,53,53,53,52,48,44
16,16,52,55,59,59,61,65,73,70,66,60,65,59,62,63,62,60,57,53,49,52,55,57,55,56,50,46,51,51,53,54,53,48,44,41,37
17,17,28,30,31,35,39,43,48,49,49,46,47,42,40,43,45,42,40,38,35,35,34,36,35,39,37,36,43,45,49,50,53,62,63,61,57
18,18,50,52,52,45,44,42,41,41,39,42,38,36,38,39,41,42,41,44,44,42,42,41,42,44,41,39,40,45,45,45,48,48,50,49,49
19,19,48,54,57,59,64,64,67,72,73,73,72,70,69,63,65,63,61,63,59,57,58,56,56,60,67,77,88,98,102,96,96,93,90,93,87
20,20,74,76,80,86,84,79,80,76,71,70,68,68,69,70,70,67,70,71,77,82,86,84,79,81,74,85,89,95,98,106,104,105,104,102,99
21,21,36,37,42,46,46,47,51,50,49,48,48,49,51,51,50,48,47,48,47,50,52,54,52,51,51,56,63,64,64,63,64,60,58,58,60
22,22,4,4,4,4,4,4,4,5,6,10,10,7,7,8,8,8,8,12,12,10,9,5,5,5,5,5,5,5,6,2,2,2,2,2,2
23,23,61,69,75,78,74,74,69,66,62,64,61,57,55,56,57,52,50,47,50,58,68,76,81,85,80,74,72,75,79,80,80,80,75,67,60
24,24,50,55,56,55,55,54,53,54,51,52,53,52,52,53,54,55,57,59,62,60,61,57,56,57,57,54,53,53,53,50,51,53,54,58,57
25,25,44,47,50,52,53,54,54,52,51,51,52,53,54,55,58,58,60,60,60,59,58,56,53,48,47,47,45,42,41,42,44,47,49,51,50
