,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
0,14.0,505.8,334.6666666666667,356.8695652173913,440.94117647058823,314.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21.0,688.0,658.9135802469136,666.0,677.2151898734177,672.9473684210526,703.8961038961039,718.7567567567568,700.9350649350649,709.7368421052631,707.578947368421,694.6666666666666,738.4324324324324,727.7837837837837,758.8333333333334,726.56,740.3835616438356,716.6486486486486,734.0,768.5714285714286,758.6478873239437,735.6164383561644,704.5194805194806,684.8108108108108,711.4782608695652,680.5633802816901,712.5633802816901,727.7714285714286,689.9701492537314,751.8333333333334,705.6,118.3529411764706,380.0,,605.5,,580.0,,632.0,,618.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,23.0,690.2784810126582,701.0,694.025974025974,702.6666666666666,733.4594594594595,748.6111111111111,726.7027027027027,738.918918918919,742.0,757.0704225352113,764.9855072463768,726.1917808219179,685.1645569620254,669.2266666666667,287.3333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,25.0,658.1052631578947,655.820895522388,665.1428571428571,618.2941176470588,670.5882352941177,672.3380281690141,694.7368421052631,658.9032258064516,635.5942028985507,660.0,672.5714285714286,647.3513513513514,643.6363636363636,667.5555555555555,672.32,658.6842105263158,652.3037974683544,642.7733333333333,677.5238095238095,692.0,704.1269841269841,668.3692307692307,673.5625,609.4736842105264,388.53333333333336,978.6666666666666,592.0,,,,612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,34.0,1021.0566037735849,1016.2264150943396,982.074074074074,965.4545454545455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,39.0,722.7586206896551,710.9285714285714,749.6603773584906,759.457627118644,772.9824561403509,773.7931034482758,807.1698113207547,809.2881355932203,793.5849056603773,798.2068965517242,768.516129032258,826.8666666666667,803.0,801.9016393442623,759.1384615384616,805.9016393442623,777.795918367347,769.0526315789474,810.1379310344828,786.4262295081967,789.8947368421053,766.1428571428571,791.448275862069,813.6551724137931,789.4666666666667,797.6,804.063492063492,783.7647058823529,799.7931034482758,766.4561403508771,780.5090909090909,763.448275862069,769.4666666666667,783.5172413793103,795.9230769230769,804.48,792.875,818.984126984127,824.3921568627451,821.4237288135594,787.4754098360655,793.7142857142857,801.9285714285714,812.8524590163935,836.9795918367347,838.64,834.3728813559322,214.83333333333334,824.0,859.6065573770492,813.1692307692308,768.9142857142857,787.3684210526316,803.5172413793103,814.2068965517242,789.1803278688525,832.3692307692307,731.3846153846154,798.5084745762712,582.2222222222222,289.5238095238095,145.05263157894737,131.73333333333332,592.0,,620.8,629.0,,630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.0,,404.0,,404.0
6,43.0,444.4952380952381,448.4869565217391,446.4070796460177,452.8495575221239,451.44954128440367,450.3119266055046,447.04918032786884,444.37735849056605,447.32142857142856,448.29357798165137,442.6666666666667,445.4,452.07207207207205,449.09090909090907,446.1818181818182,447.5966386554622,444.0747663551402,459.7241379310345,459.92660550458714,466.13084112149534,468.62068965517244,476.04819277108436,472.69767441860466,487.6,470.9756097560976,458.7857142857143,,982.4,636.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,46.0,575.0555555555555,583.84,605.3150684931506,602.578947368421,589.6666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,51.0,734.0307692307692,808.0,756.4848484848485,764.9014084507043,835.6190476190476,794.2352941176471,778.1142857142858,902.2,877.311475409836,792.952380952381,818.6060606060606,834.5,765.9411764705883,869.6129032258065,876.9677419354839,832.3692307692307,944.280701754386,831.0769230769231,838.5625,919.3898305084746,806.625,910.5762711864406,833.6,828.7384615384616,827.1746031746031,829.0847457627119,775.375,,403.55555555555554,409.8181818181818,591.0,598.0,612.4444444444445,618.8571428571429,624.6666666666666,620.8,622.0,,,640.0,640.0,,,631.2,632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,57.0,460.734693877551,471.36842105263156,546.5217391304348,522.0408163265306,579.6595744680851,491.2631578947368,457.1304347826087,461.5,361.2307692307692,327.28,460.375,494.62068965517244,547.8181818181819,530.7272727272727,421.7560975609756,482.4,485.968253968254,364.0,267.61538461538464,514.2702702702703,306.83870967741933,270.81081081081084,482.0,355.1111111111111,223.63636363636363,,,1017.5510204081633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,71.0,820.7547169811321,790.3703703703703,728.2461538461539,741.3103448275862,836.8727272727273,788.0,785.2903225806451,774.5573770491803,782.0327868852459,856.3225806451613,796.1311475409836,859.622641509434,802.3728813559322,821.4237288135594,828.2181818181818,826.7936507936508,842.3157894736842,795.1034482758621,897.1063829787234,724.8888888888889,806.8070175438596,302.46153846153845,428.57142857142856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,72.0,806.8070175438596,790.0,777.2352941176471,781.25,786.984126984127,795.5121951219512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,77.0,609.8133333333334,594.961038961039,597.05,610.5316455696203,629.0704225352113,637.1948051948052,645.8181818181819,649.027027027027,634.7341772151899,640.64,668.4,683.5675675675676,710.25,599.8064516129032,452.5833333333333,527.0,981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,78.0,637.0769230769231,637.3493975903615,638.7619047619048,649.0243902439024,653.170731707317,654.5822784810126,632.5116279069767,654.0,643.3086419753087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,79.0,825.4035087719299,358.90909090909093,742.4516129032259,810.0,808.258064516129,1039.6444444444444,1011.52,889.5094339622641,472.8421052631579,1019.4893617021277,968.1818181818181,1084.7826086956522,1049.9166666666667,201.83783783783784,419.73333333333335,318.5882352941176,206.06060606060606,,632.0,,544.0,,,,,,,,404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,80.0,611.0,611.2,660.7058823529412,399.42857142857144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,82.0,615.1428571428571,728.8955223880597,737.5438596491229,317.77777777777777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
