,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,0,42,45,48,49,49,48,51,52,55,53,52,53,50,50,48,48,48,48,48,49,49,50,50,49,49,48,50,52
1,1,9,8,11,11,13,13,14,16,16,18,20,20,21,19,20,19,18,16,17,19,19,19,19,20,20,19,19,19
2,2,15,14,13,14,13,14,13,10,10,10,11,15,14,14,16,14,16,20,22,23,23,23,20,21,24,24,26,25
3,3,13,14,14,10,10,10,7,9,9,10,12,13,11,13,16,18,19,21,21,25,23,22,22,23,22,21,18,21
4,4,11,10,9,9,10,12,12,15,18,17,16,16,21,20,21,20,19,18,14,13,13,14,18,15,17,15,15,17
5,5,41,44,43,41,41,42,39,34,28,29,30,31,31,34,34,32,30,31,36,37,35,33,32,31,28,30,30,29
6,6,16,17,15,14,16,17,17,17,16,16,15,16,15,19,20,20,21,21,22,22,23,25,25,25,22,22,18,16
7,7,27,28,25,25,24,24,25,25,25,25,25,24,23,22,22,26,25,23,22,22,21,21,21,20,23,22,20,20
8,8,14,16,19,20,23,26,29,29,32,31,33,33,33,32,31,30,27,24,22,23,24,22,26,26,27,30,30,32
9,9,33,30,32,30,31,31,32,33,31,31,30,28,30,29,30,29,30,28,27,31,31,32,34,35,36,38,37,38
10,10,25,27,28,31,30,29,31,33,35,34,35,35,34,35,33,30,27,27,26,26,28,27,27,25,22,23,23,23
11,11,20,22,25,29,32,33,35,33,34,36,33,31,29,29,29,25,23,20,19,17,17,19,20,22,24,21,25,27
12,12,25,25,23,23,23,22,21,20,21,23,24,24,23,24,24,23,24,24,22,19,16,16,14,12,13,12,12,10
13,13,19,17,20,20,23,25,23,19,19,18,18,18,19,17,19,20,19,19,19,18,20,21,22,21,22,20,15,13
14,14,47,46,47,48,49,45,42,42,39,39,40,39,38,37,34,32,36,34,34,37,34,33,32,31,32,35,36,36
15,15,20,18,20,20,21,21,19,18,17,16,17,19,20,18,17,16,18,18,17,18,19,20,18,17,17,20,21,19
16,16,35,34,36,36,41,45,46,45,43,42,43,40,41,40,40,37,34,32,33,34,33,32,40,42,44,46,48,49
17,17,62,64,67,63,62,63,59,57,58,57,56,57,55,54,58,58,57,58,60,58,58,54,52,51,52,56,57,60
18,18,10,9,10,10,13,13,15,17,20,20,23,25,26,26,26,23,23,21,18,16,16,13,13,13,15,17,21,22
19,19,32,30,27,25,25,25,25,26,27,28,28,25,24,24,27,27,25,26,26,24,23,21,22,24,25,25,26,28
20,20,16,15,16,16,15,13,14,15,13,12,12,13,12,15,16,17,18,16,16,21,22,22,23,23,21,24,23,23
21,21,16,15,13,14,15,16,17,18,19,22,24,23,23,26,26,24,24,24,23,21,19,21,23,23,23,25,29,31
22,22,23,20,18,15,12,8,8,9,11,11,12,10,11,12,12,13,14,15,17,16,14,14,13,14,14,14,15,15
23,23,20,18,19,16,12,10,12,11,9,7,6,6,8,7,7,8,10,10,12,12,13,15,17,16,16,18,17,16
24,24,68,69,70,71,74,73,70,72,71,73,72,75,73,70,69,72,74,70,65,63,61,63,62,63,64,69,67,67
25,25,25,27,24,27,26,26,28,24,23,25,26,26,26,27,26,25,24,23,24,26,24,23,20,20,20,20,20,21
