,LA,HA
0,83.64888123924268,104.65116279069767
1,84.50461326205053,89.74227858457763
2,74.83083454955552,88.73239436619718
3,86.96552438140594,92.33983286908078
4,92.4744031938296,56.85531303097634
5,78.76908007509591,77.95282017794466
6,81.95726080621661,128.31316071702162
7,90.50296541631364,91.43062029401219
8,73.70220038453321,76.78722260615834
9,89.53204584040746,87.07278893816853
10,70.5437555712661,64.61291664191076
11,69.24674924982688,70.60778070053995
12,103.25611888111888,102.43596117114524
13,91.11378750589098,90.58214122762286
14,118.37771067801262,71.2725770275056
15,80.7955251709136,78.78983508421855
16,101.71469860767584,86.7819544118112
17,67.44850215713677,98.20359281437125
18,72.74119448698315,71.20826069464933
19,77.13377606656503,81.28598598337805
20,77.43221486800746,87.71230364404754
21,64.55891508540184,105.16350237961211
22,96.95003244646334,80.48529061930061
23,111.74461447435657,83.86916410399776
24,74.46835734575326,105.67469226600603
25,100.71942446043167,100.6929406669554
