,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,0.0,83.7696335078534,82.79973504084786,83.04581561421809,81.99748836522124,82.74767626388575,80.23370638578012,75.6024570798551,77.53116448768623,81.65680473372781,79.86393551726687,78.69525547445255,74.8792270531401,72.60726072607261,71.74351692698602,78.52055264738694,81.29770992366413,80.59701492537313,83.59970494221784,77.66533301953402,86.09047940580687,81.84523809523809,88.61811132650236,81.9304152637486,78.02518707793392,72.71625511286169,76.58022690437602,80.98006644518273,78.25495236655074,74.80605836719616,74.37824436352366,74.96486022177105,196.07843137254903,,,,,59.04478656403079,,,,,,,,,,,,,,,,,,,,
1,1.0,91.6030534351145,150.82266910420475,156.4828614008942,166.2433618102055,143.3389544688027,171.7557251908397,118.79949979157983,174.75728155339806,164.83516483516485,117.1875,160.9517144856543,174.10228509249183,151.47265077138852,203.35700451904455,177.3049645390071,202.7027027027027,,,,100.0,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,77.51937984496124,454.54545454545456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3.0,85.88672237697307,90.56963533804719,92.44627054361568,92.40246406570841,89.18792051322173,86.58969804618117,89.13505979018414,87.19005224045324,86.30227926532417,85.06193105506641,89.69437472316552,90.88189094173086,85.51438196423945,94.0,162.4548736462094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.0,91.3903316020775,89.82826948480844,88.18666176740768,118.70845204178538,139.94598575988215,85.33210332103322,95.86950300486501,92.83819628647214,88.05082019942104,91.9696840671038,90.0405816706121,91.21722659754761,95.71558796718323,113.01072152999132,203.23673315769665,94.5273631840796,95.62573558258141,83.6981715168684,83.79888268156425,88.99059242308671,99.48896379254104,123.69008761381207,224.3793761935073,125.69832402234637,,,,,,113.63636363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5.0,75.71142633365243,78.88064607005353,78.36508912108175,80.05556367890043,74.03860321202298,71.87085360459974,72.21687282423524,70.06747238081115,69.1193680514921,70.59861744374173,66.50635004133163,69.79362101313322,71.94510035419127,76.25356235076639,76.49963571602039,72.51227130745202,77.909022367429,104.8951048951049,128.93982808022923,95.54140127388536,108.17307692307693,,,97.71986970684038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.0,93.31088992974239,94.19326241134752,93.0919837458441,91.9429879624843,86.79411118435509,88.52821836960531,91.21922278255711,97.16599190283401,91.00211972809005,90.54770318021201,82.16744392627137,86.92781690140845,87.22214043868689,82.15276763546078,83.79888268156425,80.34338542813119,84.94520850187541,82.66924852908319,85.63167259786478,86.23231132075472,85.94094314676069,83.09942384399469,86.6153390583358,86.18149675898646,84.0583984663029,85.61897702001482,83.19775181186216,78.53982300884955,88.46947803007961,84.60111317254174,81.57565958697728,87.87947957087422,83.53039896254481,90.42511547796133,349.0216816499207,90.9090909090909,,,,,,,148.5148514851485,,150.0,,,,150.0,,,197.3684210526316,,,,,
7,7.0,91.39627073851123,91.88870027308289,91.56554753219683,90.16273273713531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.0,259.2165898617512,224.66960352422907,247.320692497939,255.6818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.0,84.9056603773585,83.97565922920893,88.95478131949592,85.17196625567813,85.24457073269738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.0,72.37635705669481,73.32071901608325,73.26007326007326,74.50331125827815,71.41067401653721,68.99856252994729,69.70469195023234,71.52145643693108,74.16165090283748,73.79468678255165,173.77201112140872,74.3155149934811,69.38383662070169,68.22386679000925,67.99888981404385,162.7813504823151,135.04823151125402,67.80299463226292,63.553936107109564,64.04174573055029,64.17874970287616,65.95251418978336,74.04302877898854,217.52837326607818,288.0,123.62637362637363,,,,,,,,,145.63106796116506,,,,,,,,148.5148514851485,,,,,,,,,,,,,,
