,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220
13,13,27,28,27,28,27,26,26,28,29,28,30,31,30,31,30,31,31,30,29,30,30,29,28,28,28,27,26,24,24,26,26,27,25,26,26,24,25,25.0,25.0,26.0,24.0,23.0,22.0,23.0,24.0,23.0,26.0,27.0,28.0,31.0,31.0,31.0,32.0,33.0,34.0,33.0,33.0,32.0,32.0,31.0,30.0,30.0,29.0,28.0,27.0,26.0,25.0,26.0,26.0,26.0,27.0,29.0,29.0,29.0,30.0,32.0,33.0,33.0,34.0,34.0,34.0,34.0,32.0,31.0,32.0,34.0,33.0,31.0,32.0,32.0,31.0,29.0,31.0,33.0,33.0,34.0,33.0,34.0,36.0,38.0,38.0,40.0,41.0,40.0,39.0,40.0,39.0,38.0,38.0,38.0,37.0,36.0,36.0,39.0,38.0,39.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,36.0,32.0,31.0,29.0,31.0,31.0,30.0,31.0,33.0,30.0,30.0,31.0,32.0,36.0,38.0,40.0,39.0,40.0,39.0,35.0,35.0,33.0,31.0,31.0,26.0,25.0,21.0,22.0,22.0,22.0,22.0,26.0,26.0,28.0,30.0,31.0,32.0,33.0,33.0,31.0,29.0,29.0,26.0,30.0,29.0,28.0,30.0,28.0,29.0,28.0,29.0,28.0,27.0,26.0,24.0,24.0,22.0,22.0,22.0,22.0,22.0,21.0,23.0,28.0,30.0,30.0,31.0,33.0,31.0,32.0,29.0,31.0,33.0,36.0,34.0,35.0,36.0,36.0,35.0,36.0,37.0,40.0,39.0,37.0,33.0,34.0,34.0,33.0,34.0,35.0,35.0,34.0,34.0,33.0,34.0,35.0,32.0
14,14,27,29,29,32,32,32,29,25,24,23,27,29,31,31,28,29,28,30,36,36,37,35,35,31,31,34,32,34,38,35,33,33,33,31,31,31,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,35,36,38,37,35,34,33,36,37,34,33,35,35,36,36,37,38,38,35,33,35,35,34,36,36,38,36,37,39,38,38,39,36,37,35,35,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,19,18,17,17,15,16,14,15,17,19,20,19,18,17,17,19,17,19,19,19,20,21,25,26,28,27,26,26,25,26,24,24,25,22,22,21,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,36,38,40,36,31,30,28,29,29,26,24,23,22,21,20,20,20,17,16,15,17,17,19,17,15,16,18,17,17,18,17,15,15,14,15,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,29,27,27,25,24,24,23,21,20,17,18,19,19,20,22,21,21,24,27,29,30,31,32,30,28,29,28,27,26,25,25,24,23,18,17,17,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,16,19,21,22,22,22,24,25,25,23,24,25,24,24,24,25,24,24,22,24,24,24,25,26,24,24,22,21,20,22,20,20,18,16,14,14,14,17.0,19.0,19.0,17.0,18.0,19.0,18.0,21.0,23.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,19,21,22,22,23,22,21,21,19,21,23,25,24,23,23,22,22,22,23,25,23,22,20,19,18,15,15,15,16,15,12,11,9,10,10,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,63,63,60,58,57,55,51,48,51,50,44,45,44,46,47,46,46,46,46,44,45,45,45,47,48,48,49,52,59,59,58,61,63,68,71,68,69,69.0,65.0,61.0,63.0,63.0,61.0,59.0,53.0,49.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,27,27,26,29,30,30,34,35,37,40,37,37,37,38,38,39,40,40,41,42,43,46,48,49,48,47,47,46,44,41,40,37,34,29,28,26,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,29,31,30,32,32,30,27,27,32,34,37,38,36,38,37,36,37,40,39,35,32,33,36,39,37,38,37,38,37,38,41,42,42,38,36,38,37,38.0,40.0,40.0,40.0,39.0,41.0,42.0,44.0,47.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,52,52,53,52,49,47,48,46,46,46,47,47,46,45,45,45,47,48,50,50,52,51,51,53,52,52,52,53,50,49,53,52,51,51,50,50,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,59,58,57,54,54,56,53,53,53,58,56,54,54,55,56,54,52,49,48,47,42,43,44,45,48,48,49,50,50,48,51,52,53,52,53,50,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
