,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,10.0,716.25,724.64,722.4927536231884,731.7297297297297,725.0958904109589,747.8153846153846,793.625,773.8823529411765,734.7826086956521,751.2777777777778,762.4347826086956,801.2903225806451,826.3636363636364,836.3125,764.1311475409836,738.0281690140845,744.4444444444445,717.7058823529412,772.5454545454545,696.9411764705883,733.0909090909091,677.0625,732.3287671232877,768.9824561403509,825.125,783.4920634920635,740.9230769230769,766.7246376811594,802.074074074074,806.6875,800.375,306.0,,,,,1016.1777777777778,,,,,,,,,,,,,,,,,,,,
1,12.0,655.0,397.8181818181818,383.42857142857144,360.9166666666667,418.5882352941176,349.3333333333333,505.05263157894734,343.3333333333333,364.0,512.0,372.7826086956522,344.625,396.1111111111111,295.04761904761904,338.4,296.0,,,,600.0,,,,,,,,,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15.0,774.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16.0,698.5945945945946,662.4736842105264,649.025641025641,649.3333333333334,672.7368421052631,692.9230769230769,673.1358024691358,688.1518987341772,695.2307692307693,705.3684210526316,668.9382716049382,660.1975308641976,701.6363636363636,638.2978723404256,369.3333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,18.0,656.5245901639345,667.9411764705883,680.375,505.44,428.7368421052632,703.1351351351351,625.8507462686567,646.2857142857143,681.4246575342465,652.3888888888889,666.3661971830986,657.7704918032787,626.8571428571429,530.9230769230769,295.22222222222223,634.7368421052631,627.4461538461538,716.8615384615384,716.0,674.2285714285714,603.0819672131148,485.0833333333333,267.40425531914894,477.3333333333333,,,,,,528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,22.0,792.4827586206897,760.6428571428571,765.6470588235294,749.4794520547945,810.3880597014926,834.8307692307692,830.8307692307692,856.3174603174604,868.063492063492,849.875,902.1694915254237,859.6774193548387,833.9692307692308,786.8484848484849,784.3174603174604,827.4461538461538,770.1290322580645,572.0,465.3333333333333,628.0,554.6666666666666,,,614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,26.0,643.0117647058823,636.9882352941177,644.5238095238095,652.5783132530121,691.2911392405064,677.75,657.7560975609756,617.5,659.3253012048193,662.6341463414634,730.2162162162163,690.2278481012659,687.8987341772151,730.3466666666667,716.0,746.7945205479452,706.3376623376623,725.7837837837837,700.6753246753246,695.7948717948718,698.1538461538462,722.0266666666666,692.7179487179487,696.2051282051282,713.7894736842105,700.7792207792207,721.1733333333333,763.943661971831,678.2,709.2105263157895,735.5135135135135,682.7532467532468,718.3013698630137,663.5324675324675,171.9090909090909,660.0,,,,,,,404.0,,400.0,,,,400.0,,,304.0,,,,,
7,27.0,656.4819277108434,652.9638554216867,655.2682926829268,665.4634146341464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,29.0,231.46666666666667,267.05882352941177,242.6,234.66666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,31.0,706.6666666666666,714.4927536231884,674.5,704.4571428571429,703.8571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
