,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,14.0,48.0,49.0,52.0,55.0,56.0,59.0,58.0,58.0,56.0,59.0,63.0,64.0,66.0,69.0,70.0,69.0,71.0,75.0,79.0,79.0,78.0,72.0,71.0,76.0,80.0,80.0,78.0,80.0,81.0,79.0,75.0
1,21.0,42.0,45.0,48.0,48.0,51.0,58.0,59.0,56.0,60.0,58.0,61.0,62.0,59.0,61.0,65.0,66.0,66.0,68.0,73.0,77.0,72.0,75.0,73.0,71.0,71.0,68.0,64.0,65.0,64.0,62.0,56.0
2,23.0,46.0,47.0,48.0,42.0,43.0,42.0,44.0,43.0,40.0,42.0,47.0,47.0,47.0,45.0,48.0,49.0,49.0,52.0,48.0,51.0,55.0,57.0,53.0,53.0,55.0,59.0,60.0,62.0,61.0,59.0,61.0
3,25.0,50.0,52.0,58.0,56.0,57.0,58.0,59.0,60.0,65.0,60.0,59.0,65.0,65.0,68.0,68.0,68.0,71.0,77.0,80.0,77.0,73.0,76.0,76.0,76.0,76.0,75.0,72.0,75.0,75.0,76.0,70.0
4,34.0,35.0,37.0,40.0,38.0,35.0,36.0,36.0,36.0,37.0,35.0,39.0,39.0,39.0,40.0,42.0,44.0,44.0,48.0,50.0,50.0,51.0,53.0,50.0,52.0,54.0,54.0,56.0,55.0,58.0,56.0,53.0
5,39.0,41.0,45.0,50.0,48.0,50.0,48.0,46.0,44.0,45.0,48.0,47.0,47.0,50.0,48.0,48.0,49.0,53.0,58.0,64.0,72.0,73.0,76.0,77.0,77.0,75.0,73.0,69.0,66.0,64.0,65.0,59.0
6,43.0,71.0,76.0,80.0,87.0,90.0,87.0,82.0,78.0,77.0,80.0,82.0,80.0,81.0,74.0,76.0,80.0,77.0,79.0,87.0,93.0,94.0,92.0,90.0,95.0,97.0,103.0,105.0,100.0,103.0,102.0,96.0
7,46.0,46.0,48.0,52.0,55.0,57.0,58.0,60.0,61.0,64.0,61.0,58.0,56.0,56.0,55.0,51.0,46.0,42.0,39.0,38.0,35.0,34.0,37.0,35.0,37.0,38.0,39.0,43.0,45.0,48.0,50.0,47.0
8,51.0,48.0,52.0,55.0,44.0,46.0,47.0,48.0,54.0,53.0,51.0,50.0,53.0,53.0,50.0,55.0,60.0,60.0,57.0,54.0,51.0,50.0,48.0,49.0,49.0,50.0,53.0,49.0,47.0,50.0,54.0,53.0
9,57.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,71.0,41.0,43.0,44.0,48.0,48.0,47.0,47.0,46.0,47.0,47.0,50.0,47.0,48.0,50.0,54.0,54.0,56.0,60.0,63.0,64.0,67.0,65.0,65.0,69.0,67.0,61.0,59.0,60.0,60.0,55.0,54.0
11,72.0,36.0,41.0,44.0,43.0,45.0,46.0,46.0,47.0,47.0,47.0,47.0,48.0,52.0,50.0,48.0,47.0,46.0,48.0,49.0,51.0,51.0,54.0,50.0,47.0,51.0,52.0,60.0,67.0,75.0,77.0,75.0
12,77.0,55.0,64.0,66.0,70.0,73.0,70.0,68.0,70.0,72.0,74.0,80.0,83.0,86.0,78.0,82.0,78.0,78.0,78.0,83.0,86.0,87.0,87.0,89.0,87.0,82.0,91.0,91.0,92.0,92.0,96.0,96.0
13,78.0,41.0,45.0,46.0,47.0,52.0,62.0,65.0,68.0,68.0,69.0,70.0,77.0,81.0,84.0,84.0,83.0,82.0,79.0,77.0,80.0,90.0,98.0,100.0,92.0,87.0,87.0,101.0,99.0,102.0,101.0,98.0
14,79.0,56.0,60.0,66.0,70.0,72.0,72.0,74.0,77.0,75.0,80.0,86.0,87.0,84.0,88.0,92.0,93.0,92.0,92.0,94.0,99.0,101.0,102.0,97.0,98.0,106.0,109.0,107.0,107.0,106.0,108.0,105.0
15,80.0,54.0,58.0,61.0,60.0,60.0,59.0,58.0,61.0,61.0,58.0,58.0,58.0,57.0,54.0,53.0,54.0,57.0,58.0,61.0,57.0,61.0,65.0,70.0,72.0,69.0,70.0,68.0,66.0,65.0,68.0,61.0
