,0,1,2,3,4
0,0.0,391.0,441.3333333333333,340.0,369.53846153846155
1,1.0,691.3417721518987,671.2592592592592,676.2,672.3636363636364
2,2.0,694.0,678.45,700.9350649350649,711.0
3,3.0,666.1587301587301,650.2933333333333,645.5,649.9555555555555
4,4.0,534.2857142857143,490.2857142857143,414.3333333333333,505.6
5,5.0,765.5873015873016,768.3225806451613,755.4920634920635,810.3333333333334
6,6.0,478.4646464646465,462.8181818181818,472.25,465.2549019607843
7,7.0,676.0526315789474,676.974358974359,703.7260273972603,654.8571428571429
8,8.0,794.0,796.2388059701492,808.1194029850747,730.1176470588235
9,9.0,372.9,343.46666666666664,297.8181818181818,363.8666666666667
10,10.0,956.5106382978723,917.2727272727273,426.4,921.1111111111111
11,11.0,858.9508196721312,847.1698113207547,863.9310344827586,378.0
12,12.0,595.6781609195402,629.7471264367816,613.5172413793103,624.1333333333333
13,13.0,755.9444444444445,680.5,709.6842105263158,735.0
14,14.0,945.7454545454545,892.4827586206897,949.6428571428571,953.5294117647059
15,15.0,531.2,655.304347826087,750.3478260869565,539.0
16,16.0,765.3559322033898,336.14814814814815,527.0204081632653,747.7209302325581
17,17.0,412.0,438.5882352941176,356.8888888888889,353.7391304347826
18,18.0,52.666666666666664,120.0,,124.0
19,19.0,799.4,738.625,751.6470588235294,727.7446808510638
20,20.0,642.3829787234042,550.6666666666666,569.4545454545455,663.027027027027
21,21.0,590.304347826087,580.8085106382979,536.0,539.7101449275362
22,22.0,826.125,810.6268656716418,775.7142857142857,758.7755102040817
23,23.0,376.8888888888889,796.0,514.4,756.2285714285714
24,24.0,597.1868131868132,589.695652173913,608.5842696629213,607.4754098360655
25,25.0,656.4736842105264,613.8918918918919,615.9012345679013,641.1724137931035
