,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0,45,49,50,51,51,48,47,42,45,41,40,40,44,43,45,45,47,46,47,52,49,48,49,49,49,51,52
1,1,49,52,56,57,56,55,55,58,59,57,57,60,60,61,62,60,62,62,63,63,64,64,64,62,61,61,60
2,2,51,57,60,61,62,63,62,63,61,62,66,66,67,67,67,67,68,68,70,70,70,72,67,66,66,64,63
3,3,63,68,70,74,75,73,73,72,72,73,70,69,70,70,70,69,68,68,69,69,70,71,73,73,71,70,70
4,4,47,51,55,50,43,45,47,47,52,51,50,47,48,48,47,49,52,53,52,51,49,49,50,48,50,50,52
5,5,52,56,59,59,59,59,61,60,59,58,56,57,58,58,57,56,55,55,56,55,56,59,59,60,61,61,63
6,6,42,45,46,48,49,52,53,55,52,52,51,50,51,50,49,48,49,47,46,45,46,46,47,46,47,47,49
7,7,33,37,41,39,43,46,47,51,52,53,50,48,45,44,43,40,41,36,33,34,40,39,40,42,43,44,42
8,8,42,47,54,52,58,66,65,72,75,87,95,100,101,100,96,93,91,83,85,86,84,79,67,65,68,68,67
9,9,44,49,53,54,53,54,64,68,70,70,71,71,71,70,70,71,73,73,66,61,60,60,56,57,57,58,53
10,10,38,41,43,41,46,51,49,44,42,39,42,43,38,36,38,39,39,37,36,36,37,37,36,36,37,39,37
11,11,47,56,64,67,68,71,78,83,88,88,84,85,87,80,80,92,97,102,97,90,88,88,90,87,88,89,93
12,12,34,36,42,42,43,46,40,33,31,35,34,33,35,36,33,29,32,32,36,41,41,43,46,48,47,45,47
13,13,38,40,45,42,42,44,44,45,47,52,50,48,49,45,42,42,45,43,39,36,35,35,36,38,43,48,49
14,14,21,27,33,37,41,40,46,50,50,55,60,65,67,66,65,68,67,67,68,67,64,63,64,61,61,58,53
15,15,44,47,47,47,51,54,56,55,56,57,58,57,56,57,57,57,55,53,51,50,50,48,49,48,47,47,45
16,16,31,35,38,38,41,48,56,59,58,60,64,66,71,73,71,68,66,68,66,67,66,64,66,62,58,55,61
17,17,42,45,49,48,52,53,53,51,51,50,50,49,49,49,49,50,50,51,51,54,54,53,53,52,52,52,51
18,18,36,41,46,44,44,49,53,54,52,50,52,52,52,51,51,49,47,47,49,49,50,52,53,51,53,54,53
19,19,41,48,55,57,59,63,64,68,69,73,80,88,93,93,90,87,85,77,72,66,70,65,56,52,50,45,45
20,20,42,42,42,42,37,35,42,40,43,50,54,50,47,53,59,62,63,62,55,57,57,52,49,48,48,45,42
21,21,49,56,59,59,55,53,55,57,59,56,55,56,55,52,52,53,57,58,58,58,58,59,60,60,59,59,57
22,22,10,10,10,8,8,7,8,6,2,2,1,1,1,1,2,3,3,3,3,5,9,10,13,16,18,18,22
23,23,37,39,42,43,45,52,53,55,54,58,64,65,61,58,55,55,53,52,54,50,49,45,47,50,51,60,67
24,24,52,56,59,61,61,57,58,58,60,60,62,63,64,66,64,62,61,63,63,63,64,65,65,65,65,65,66
25,25,38,39,40,39,40,42,41,45,46,44,44,43,44,45,47,48,48,51,53,51,46,43,41,40,37,37,33
