,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
13,13,45,49,51,56,63,63,67,66,67,70,69,71,76,78,78,75,72,71,70,73,71.0,68.0,76.0,78.0,83.0,85.0,92.0,95.0,94.0,95.0,91.0,96.0,101.0,114.0,105.0,,,,,,,,,,
14,14,44,49,51,46,42,39,47,46,47,52,58,62,61,59,67,76,83,91,87,88,86.0,80.0,72.0,68.0,67.0,69.0,59.0,52.0,50.0,42.0,47.0,52.0,57.0,61.0,62.0,,,,,,,,,,
15,15,53,58,62,65,66,66,67,68,66,67,67,63,62,61,60,59,64,63,66,65,63.0,63.0,69.0,72.0,73.0,73.0,75.0,76.0,71.0,71.0,65.0,66.0,69.0,68.0,61.0,,,,,,,,,,
16,16,57,62,69,70,77,88,89,89,88,91,96,95,96,96,98,101,104,96,95,102,106.0,110.0,110.0,111.0,113.0,113.0,118.0,119.0,117.0,117.0,121.0,120.0,116.0,114.0,111.0,,,,,,,,,,
17,17,47,48,51,54,53,55,52,52,50,53,58,59,65,67,65,68,72,76,81,83,84.0,80.0,77.0,74.0,70.0,74.0,79.0,73.0,76.0,67.0,60.0,57.0,59.0,65.0,63.0,,,,,,,,,,
18,18,38,43,51,51,48,50,55,53,56,57,58,54,54,51,48,48,49,52,47,49,48.0,51.0,56.0,57.0,55.0,52.0,51.0,48.0,51.0,51.0,52.0,55.0,54.0,50.0,43.0,,,,,,,,,,
19,19,53,58,60,59,57,57,58,54,51,56,54,54,56,58,64,72,74,77,79,83,89.0,90.0,94.0,97.0,103.0,101.0,99.0,95.0,96.0,93.0,96.0,107.0,114.0,112.0,104.0,,,,,,,,,,
20,20,43,47,49,47,50,50,55,62,64,65,65,64,61,59,62,70,68,61,59,53,52.0,54.0,58.0,61.0,63.0,70.0,65.0,59.0,60.0,66.0,64.0,69.0,75.0,75.0,67.0,,,,,,,,,,
21,21,54,60,63,58,60,60,57,48,44,41,37,34,32,32,30,31,30,30,34,42,47.0,49.0,50.0,55.0,62.0,60.0,62.0,63.0,62.0,58.0,55.0,51.0,51.0,52.0,48.0,,,,,,,,,,
22,22,44,46,46,45,45,44,46,40,38,41,45,48,52,58,62,61,64,63,62,67,68.0,74.0,76.0,70.0,63.0,61.0,62.0,65.0,62.0,62.0,60.0,63.0,68.0,63.0,57.0,,,,,,,,,,
23,23,31,35,42,44,45,47,51,53,52,51,58,60,58,56,52,55,61,61,57,52,55.0,59.0,59.0,56.0,57.0,56.0,56.0,48.0,44.0,48.0,50.0,58.0,57.0,50.0,44.0,,,,,,,,,,
24,24,36,49,50,49,47,51,55,59,61,64,67,72,73,65,72,73,75,74,75,76,76.0,74.0,79.0,81.0,78.0,73.0,63.0,68.0,68.0,63.0,60.0,61.0,61.0,60.0,53.0,,,,,,,,,,
25,25,56,61,63,60,63,61,61,58,55,58,59,55,52,50,54,58,57,57,56,60,59.0,57.0,55.0,55.0,56.0,62.0,56.0,54.0,55.0,52.0,51.0,49.0,51.0,52.0,51.0,,,,,,,,,,
