,0,1,2,3,4,5,6
0,14.0,332.61538461538464,404.4,316.0,342.0,690.9090909090909,
1,21.0,629.6279069767442,693.0526315789474,714.9253731343283,,,
2,23.0,645.3809523809524,718.2105263157895,708.4155844155844,686.379746835443,716.0,
3,25.0,629.6551724137931,635.6129032258065,624.6913580246913,667.1780821917808,643.2631578947369,
4,34.0,1045.0,1101.7142857142858,1029.2549019607843,1059.0588235294117,1074.7272727272727,
5,39.0,400.6666666666667,422.09090909090907,366.4864864864865,402.7142857142857,700.1481481481482,
6,43.0,473.70212765957444,473.4634146341463,459.23809523809524,459.5121951219512,460.5,
7,46.0,504.2197802197802,558.4736842105264,595.3766233766233,554.2272727272727,503.6595744680851,
8,51.0,657.7560975609756,620.7272727272727,697.3513513513514,758.6865671641791,633.7674418604652,723.2941176470588
9,57.0,351.64102564102564,395.4736842105263,424.12371134020617,385.7241379310345,365.8181818181818,417.3333333333333
10,71.0,375.8095238095238,322.70588235294116,372.13793103448273,412.85714285714283,856.3333333333334,
11,72.0,273.3333333333333,226.66666666666666,697.4035087719299,805.6666666666666,339.0,798.3333333333334
12,77.0,590.2926829268292,630.3589743589744,595.609756097561,609.8795180722891,595.7948717948718,
13,78.0,468.5833333333333,656.3174603174604,641.1228070175439,570.9230769230769,661.6774193548387,
14,79.0,977.2765957446809,872.5818181818182,952.4347826086956,735.2340425531914,959.2727272727273,
15,80.0,513.3333333333334,443.6923076923077,477.28,410.2857142857143,522.6666666666666,
16,82.0,366.7142857142857,307.17241379310343,332.6896551724138,391.8709677419355,524.4,
17,83.0,460.26666666666665,471.6,430.6666666666667,376.0,431.55555555555554,
18,84.0,112.0,,90.0,112.0,,
19,85.0,464.4,208.1290322580645,467.73333333333335,775.2280701754386,771.1666666666666,
20,87.0,393.9016393442623,612.4897959183673,557.6470588235294,548.3809523809524,563.4,
21,88.0,529.5145631067961,556.2474226804123,573.3052631578947,561.8333333333334,572.0952380952381,
22,89.0,587.5135135135135,639.4444444444445,708.375,712.054794520548,708.1290322580645,
23,91.0,377.6,197.33333333333334,196.47058823529412,461.2,769.5,
24,92.0,621.9759036144578,593.7826086956521,626.8705882352941,572.5591397849462,560.3720930232558,
25,93.0,615.0112359550562,662.0,647.9012345679013,634.046511627907,579.4285714285714,
