,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1,9,8,9,8,7,8,8,7,8,7,7,7,7,7,6,7,7,7,6,6,6,6,6,5,5,5,5,5,4,4,5,5,5,6,6,6,7,6,7,6,6,7,6,6,6,5,6,5,5
0,2,9,8,8,7,8,7,7,6,7,7,6,6,6,5,5,5,5,5,5,5,4,4,4,6,6,6,7,7,7,7,7,7,8,8,9,8,7,7,8,7,7,8,7,8,8,8,9,8,8
0,3,25,20,21,22,21,18,17,17,18,20,18,17,12,12,11,12,12,11,11,13,12,8,10,10,10,9,10,8,9,10,10,9,10,10,10,10,10,10,10,9,9,10,10,10,9,9,9,9,9
0,4,8,6,8,8,8,8,10,9,9,10,10,10,9,10,9,9,9,9,8,8,9,8,9,8,8,8,8,8,8,8,8,7,7,8,7,7,7,7,7,7,7,8,7,8,9,8,7,8,8
0,5,9,8,8,9,11,11,10,11,11,11,12,12,12,13,13,13,10,11,10,10,11,11,10,10,11,11,10,10,10,9,10,9,9,10,10,10,8,8,8,8,8,9,8,9,9,8,8,8,9
0,6,8,10,10,10,11,11,12,11,9,10,10,11,10,8,7,7,6,6,6,5,6,5,5,5,6,6,7,6,6,7,6,6,5,6,5,5,5,4,4,5,4,4,5,5,5,5,5,5,5
0,7,10,10,11,7,8,9,9,9,10,9,8,9,10,11,10,10,11,10,10,10,10,11,11,10,8,7,7,7,6,5,5,5,4,4,5,5,11,11,11,11,10,10,10,11,11,11,10,10,5
0,8,9,7,7,7,7,6,6,6,6,6,7,6,6,6,6,5,5,6,6,6,6,5,4,5,4,4,5,5,6,6,6,6,6,7,8,7,7,8,6,6,5,5,5,5,5,4,5,5,4
0,9,12,12,14,13,18,20,18,18,17,16,19,20,21,21,18,18,13,12,13,12,12,13,8,8,9,11,12,12,11,11,12,12,12,11,16,16,16,16,16,16,19,19,19,19,18,18,14,13,12
0,10,14,14,14,7,8,8,8,7,7,7,7,7,7,7,6,7,6,7,6,5,6,6,5,6,6,5,7,6,7,6,7,7,7,7,8,8,8,8,7,7,9,9,10,11,12,13,12,12,12
0,11,9,9,9,7,8,8,7,8,7,7,6,7,7,7,6,7,6,7,8,8,7,9,10,9,9,8,9,8,9,9,8,8,8,7,7,6,7,8,8,11,12,11,11,12,12,11,11,11,10
0,12,6,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,7,8,7,7,7,7,7,8,8,7,7,7,7,7,7,8,8,8,8,7,6,6,7,7,7,7,7,6,6,7
0,13,7,6,7,6,6,7,6,6,6,6,6,6,6,7,6,6,7,6,6,6,7,6,6,7,6,6,6,6,5,6,5,6,6,6,6,6,6,5,6,6,6,6,7,6,6,6,6,6,7
0,14,8,8,8,8,5,5,4,4,4,5,5,6,6,5,5,6,7,8,8,9,8,8,8,7,7,7,8,6,6,6,6,5,5,6,7,7,7,7,7,8,8,7,6,6,7,6,5,6,5
