,0,1
0,1.0,4.327626120032519e-08
0,2.0,2.4776209103909428e-05
0,3.0,3.219007750918932e-05
0,4.0,4.2457843624837844e-05
0,5.0,2.6978842695159325e-05
0,6.0,0.00048046816108965914
0,8.0,3.535688354501519e-07
0,9.0,6.342283407746595e-05
0,10.0,1.714375149237236e-05
0,11.0,1.9708666020722926e-05
0,12.0,6.787626675507248e-05
0,13.0,1.7246143051795514e-05
0,14.0,0.0001489167012850438
0,15.0,1.4084468768910088e-05
0,16.0,1.4968266591783403e-06
0,17.0,2.2677220720477607e-05
0,18.0,3.815410684839652e-05
0,19.0,1.6411971758121307e-05
0,20.0,6.415932998419871e-06
0,21.0,0.00047169666100547303
0,22.0,1.043054484246574e-06
0,23.0,4.939233720204992e-06
0,24.0,4.486882314723092e-05
0,25.0,1.914647747385914e-06
0,26.0,0.00016956583180825928
0,27.0,0.001057818064094984
0,28.0,3.2126380442043425e-05
0,29.0,2.897214522175297e-06
0,30.0,1.4655242498884916e-07
0,31.0,1.4808238335513357e-06
0,32.0,0.0012141183933751152
0,33.0,0.00010690698564502348
0,34.0,1.681641918587868e-05
0,35.0,9.800025122617942e-05
0,36.0,0.00014131889881475364
0,37.0,5.296941089226038e-05
0,38.0,4.446932790383095e-05
0,39.0,5.307903945547934e-06
0,40.0,5.605447732361323e-05
0,41.0,7.372299631097209e-05
0,42.0,7.128077411392023e-05
0,43.0,2.6155758807991518e-05
0,44.0,2.708465180288931e-07
0,45.0,7.520220790696342e-05
0,46.0,7.3621545387943e-05
0,47.0,8.473563000277943e-07
0,48.0,0.0012391720306125474
0,49.0,1.5495177387741723e-05
0,50.0,9.737872459331681e-05
0,51.0,0.00022402522764358707
0,52.0,6.736420321521652e-05
0,53.0,1.6657679042371403e-06
0,54.0,1.777667049007181e-05
0,55.0,6.230771850700372e-05
0,56.0,0.0001405259673404338
0,57.0,2.0539625238489435e-05
0,58.0,5.3657418619523924e-05
0,59.0,3.946231535682744e-08
0,60.0,0.0002892688268637237
0,61.0,9.997546951263207e-06
0,62.0,1.7472259829507327e-05
0,63.0,5.2262349547132865e-05
0,64.0,4.705998134518892e-05
0,65.0,6.137140149620083e-05
0,66.0,7.771440919622281e-05
0,67.0,0.0016254269269508307
0,68.0,0.0011229771290831795
0,69.0,4.559585699656406e-05
0,70.0,3.766973703637762e-06
0,71.0,1.2255254172101439e-05
0,72.0,6.857817711982386e-06
0,73.0,3.969218011236103e-05
0,74.0,0.00010998700576680469
0,75.0,1.5915167484370454e-05
0,76.0,7.386096173465322e-05
0,77.0,3.933825712766722e-07
0,78.0,0.001019588801532707
0,79.0,0.0004226744567448846
0,80.0,1.9911052476526403e-05
0,81.0,0.00021441916079160527
0,82.0,3.1204754421922746e-07
0,83.0,6.844697974411005e-05
0,84.0,0.00013347708545772665
0,85.0,0.00042827987663765043
0,86.0,5.009174644214308e-06
0,87.0,1.840978797991349e-05
0,88.0,0.0007054870750217476
0,89.0,8.202362072703471e-08
0,90.0,1.6888701763588207e-05
0,91.0,4.725137051030119e-06
0,92.0,2.3565930626573184e-06
0,93.0,2.7240224326629636e-05
0,94.0,3.977181080246733e-07
0,95.0,2.2271932995162652e-05
0,96.0,5.271937879933039e-06
0,97.0,3.379861250704471e-06
0,98.0,5.955877985402723e-06
0,99.0,3.1127364694899045e-05
0,100.0,0.0020368215102510227
0,101.0,0.0001159609825852703
0,102.0,0.00024364470717741835
0,103.0,6.7433982669630205e-06
0,104.0,9.814546772488423e-06
0,105.0,9.12515723681096e-08
0,106.0,3.9003546419465975e-05
0,107.0,7.444645186337099e-06
0,108.0,0.00023688742294783165
0,109.0,6.6813048375028635e-06
0,110.0,0.00020393597285696508
0,111.0,2.144364675158133e-05
0,112.0,8.8678226840054e-05
0,113.0,2.0785406183005763e-05
0,114.0,2.8250245513760854e-05
0,115.0,8.837980166400359e-06
0,116.0,2.862696346570745e-05
0,117.0,0.00020560184559839014
0,118.0,3.339883900316729e-06
0,119.0,1.1012849917619612e-06
0,120.0,4.662604481624747e-05
0,121.0,1.1513815133288394e-06
0,122.0,2.1404624490317463e-05
0,123.0,3.09763735568523e-05
0,124.0,2.5131388949706353e-05
0,125.0,4.968594354322492e-06
0,126.0,2.1661799346775513e-05
0,127.0,9.135383056948967e-06
0,128.0,0.00010823269687785114
0,129.0,6.214803804482279e-05
0,130.0,3.896528543411843e-06
0,131.0,5.252122397116427e-07
0,132.0,0.0001527649462501212
0,133.0,3.498630641077252e-07
0,134.0,0.014534061832370717
0,135.0,1.0542357680146964e-07
0,136.0,2.601716057684329e-05
0,137.0,0.0005606159497976619
0,138.0,0.00017568894201720666
0,139.0,9.538827527534157e-07
0,140.0,3.2420872597774495e-06
0,141.0,1.7946356858015273e-06
0,142.0,6.343668781380163e-06
