,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,1,5,4,4,5,4,2,2,2,2,3,3,4,4,4,3,3,3,2,3,3
0,4,5,5,5,6,4,4,5,4,4,7,9,9,9,9,6,4,4,4,4,3
0,9,3,2,3,3,3,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4
0,12,5,4,5,4,5,5,6,4,5,4,4,3,4,4,4,5,5,7,6,6
0,14,3,3,3,3,3,3,4,4,3,4,4,3,3,3,3,2,2,3,2,3
0,17,4,4,3,3,3,3,3,4,4,5,5,5,6,5,5,5,4,4,6,5
0,21,10,10,7,6,5,7,7,8,7,7,5,4,3,8,8,9,12,12,8,8
0,26,3,3,3,2,3,3,3,3,4,3,3,3,3,2,2,2,3,3,3,4
0,28,5,5,5,6,6,6,6,7,8,8,8,9,8,6,6,7,8,7,8,8
0,29,7,6,5,4,4,2,2,3,3,4,4,5,4,5,5,5,4,5,4,3
0,32,3,3,3,4,3,4,3,2,3,3,4,3,3,3,6,7,7,8,8,5
0,35,5,5,5,4,5,5,5,5,5,4,4,4,4,3,3,5,4,4,5,5
0,37,3,4,3,3,4,3,3,4,4,3,3,3,2,3,2,2,1,3,4,4
0,39,4,3,2,3,2,2,2,3,2,3,3,3,3,4,4,3,4,4,3,4
0,42,3,3,2,3,4,3,3,4,4,4,5,5,4,4,4,5,5,5,4,3
0,45,4,2,3,4,4,5,5,4,4,3,2,4,3,3,4,6,5,5,6,5
0,47,4,4,5,4,3,4,3,3,3,3,4,5,4,4,5,5,4,4,5,4
0,49,4,4,3,5,5,4,6,6,5,5,5,4,4,4,3,3,5,4,4,4
0,50,3,3,3,3,3,2,3,3,3,3,3,3,4,4,4,4,3,3,2,3
0,58,3,3,3,3,6,10,9,9,9,7,3,3,3,3,2,2,3,12,14,13
0,60,4,4,4,4,3,3,3,3,4,3,3,4,3,3,3,3,4,4,4,4
0,62,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3
0,64,10,9,7,6,4,4,5,5,6,7,7,7,7,6,6,6,6,5,5,5
0,65,5,4,4,6,6,6,6,5,5,6,4,5,5,4,3,4,3,5,4,5
0,67,5,4,5,4,5,4,4,3,4,3,3,3,4,4,4,5,5,4,6,6
0,71,3,3,4,4,4,5,4,4,6,5,4,4,5,7,7,7,7,6,2,3
0,72,8,8,7,8,5,5,4,4,3,4,4,5,5,4,4,3,4,6,6,6
0,76,3,4,5,5,4,5,4,4,4,4,3,4,3,4,4,4,4,4,3,4
0,79,4,4,4,3,4,3,3,4,4,3,4,3,3,3,3,3,5,5,6,5
0,80,5,5,5,5,6,6,6,4,3,3,3,4,4,4,4,4,3,4,4,4
0,87,3,3,4,5,4,4,5,4,3,4,3,3,3,3,2,3,3,3,3,2
0,88,4,4,3,4,3,4,5,5,6,8,6,6,6,5,4,5,5,4,5,4
0,91,5,5,4,5,5,5,4,4,4,3,2,3,4,3,3,5,5,4,5,6
0,93,4,4,3,5,5,4,4,4,2,2,2,3,4,4,4,4,4,3,3,3
0,97,3,3,3,3,3,4,4,5,5,5,5,4,3,4,4,4,4,4,3,4
0,98,3,4,3,4,3,3,2,3,2,3,3,4,3,3,3,4,3,4,4,4
0,102,3,4,3,4,4,4,4,3,2,3,2,2,3,4,4,4,5,4,4,4
0,103,6,6,5,6,4,3,3,2,2,3,3,3,4,5,4,5,5,6,5,5
0,104,4,4,3,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,3
