,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,3,6,6,8,6,6,6,5,4,4,6,6,6,6,6,5,5,5,6,6,6
0,6,5,5,3,3,3,3,3,4,5,7,8,10,10,8,6,5,4,4,7,7
0,10,7,7,8,6,5,4,4,4,5,5,5,5,4,4,3,3,2,5,5,5
0,15,5,4,3,3,4,4,5,5,5,4,4,4,3,4,4,4,5,6,4,5
0,16,3,4,4,5,4,4,2,2,3,3,3,4,5,4,3,5,4,3,4,4
0,24,6,6,6,6,7,5,6,5,6,5,6,5,6,4,4,4,4,4,6,5
0,25,3,3,3,4,3,3,5,4,3,3,3,3,3,4,4,3,3,4,2,3
0,29,11,10,10,9,8,7,9,10,11,9,8,7,6,7,6,6,5,5,4,5
0,30,4,4,4,3,2,2,2,3,3,3,3,3,2,2,2,5,6,8,7,7
0,38,7,5,5,6,6,6,6,6,6,7,6,6,6,5,4,5,5,6,6,7
0,39,3,4,4,4,4,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3
0,40,5,6,6,5,7,7,6,6,7,5,4,5,6,5,5,5,6,5,5,5
0,44,6,6,7,7,7,6,5,5,4,3,4,4,4,5,5,5,5,5,5,5
0,47,5,5,5,5,4,4,4,3,3,4,4,3,3,3,3,4,4,6,6,6
0,48,4,3,3,5,5,4,4,4,3,3,4,4,3,4,4,3,3,5,5,5
0,51,5,5,5,6,5,5,7,7,5,7,7,6,6,7,6,5,5,4,4,4
0,55,3,4,3,4,5,5,5,6,5,5,6,6,5,5,4,4,3,3,3,3
0,56,4,4,4,4,4,5,5,5,5,5,4,3,3,3,4,4,4,5,4,4
0,59,5,6,6,5,5,5,4,6,4,4,5,4,3,4,5,4,4,3,4,3
0,63,6,5,4,5,4,5,4,5,5,6,6,5,6,4,4,3,4,4,5,5
0,64,7,6,5,5,5,5,5,5,6,5,5,5,6,6,6,6,6,6,6,6
0,67,4,4,4,5,5,3,3,3,3,5,4,5,6,5,4,5,5,4,4,5
0,68,3,3,3,4,5,4,5,5,4,3,4,4,5,4,4,3,4,3,3,3
0,77,5,5,6,4,5,6,6,4,6,5,5,5,5,4,4,4,3,4,4,4
0,83,4,4,3,3,3,3,3,3,3,4,4,4,4,4,3,4,4,3,5,5
0,84,4,3,4,4,4,3,4,5,4,5,6,6,5,5,5,4,3,4,4,4
0,85,3,3,4,4,4,4,7,6,5,6,7,3,3,4,3,4,5,4,4,5
0,89,6,7,6,6,6,6,5,5,4,4,4,5,5,5,4,4,3,3,3,4
0,94,3,3,3,3,3,3,4,4,4,5,5,4,5,5,5,7,10,11,11,12
0,99,3,2,3,4,5,6,6,6,4,3,3,3,3,3,3,3,2,2,3,3
0,101,5,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3
0,102,4,5,5,4,4,4,4,3,4,4,4,3,4,5,3,4,4,3,3,3
0,106,4,4,3,4,4,3,3,4,4,3,4,3,3,2,2,3,3,3,5,4
0,107,4,3,4,4,4,4,3,3,5,4,5,5,5,3,4,3,5,4,4,4
0,109,4,5,4,4,4,3,2,3,4,5,4,4,4,4,3,4,4,3,4,4
0,110,4,4,4,4,3,3,3,4,4,3,5,5,4,4,5,4,4,4,3,3
0,114,5,5,5,5,6,5,4,5,5,4,4,3,4,3,2,2,3,2,2,3
0,115,4,5,5,6,5,7,6,6,4,5,2,3,3,3,3,3,4,4,4,6
0,116,3,3,4,3,3,3,4,4,3,4,4,3,3,4,4,5,5,5,4,4
0,118,6,5,5,3,4,3,4,4,5,4,5,3,4,4,4,5,5,5,6,6
0,121,4,3,3,4,4,3,4,5,5,5,6,7,5,5,5,6,5,5,5,6
0,123,3,3,4,3,3,3,3,2,4,4,3,4,4,2,3,5,5,5,5,5
0,126,8,7,6,6,4,5,5,6,6,5,5,5,5,4,4,3,4,3,3,4
0,127,4,3,3,4,3,3,3,3,3,3,3,3,3,3,4,4,4,5,4,4
0,129,3,3,3,3,3,4,3,3,4,4,4,4,4,3,3,3,3,3,3,3
0,132,4,3,3,3,4,3,4,3,3,3,3,3,3,3,2,2,3,3,3,4
0,133,4,3,3,2,4,4,5,5,5,4,3,3,3,4,3,3,4,3,2,2
0,142,5,4,4,5,6,6,6,6,5,4,4,4,5,6,6,6,7,8,6,6
0,143,3,2,2,2,2,2,2,3,4,4,4,4,3,3,3,4,5,4,5,5
0,145,5,4,5,5,5,4,4,4,3,4,4,4,5,5,5,6,6,5,6,5
0,147,3,3,2,2,2,2,3,3,3,4,5,4,4,5,5,4,5,5,5,5
0,153,4,4,4,5,4,4,4,5,4,5,5,5,4,5,5,4,4,5,4,4
0,157,4,3,3,4,3,2,3,3,2,3,3,4,4,6,6,6,5,5,4,4
0,158,4,3,4,5,4,4,4,4,3,3,4,4,3,3,2,2,2,2,2,3
0,162,2,1,2,2,2,1,2,3,3,4,4,4,3,3,3,3,4,4,4,3
0,165,3,3,3,3,3,3,3,2,2,2,2,3,2,3,2,2,2,2,2,3
0,170,5,5,5,6,5,5,6,5,4,5,5,4,3,3,2,2,2,3,3,3
0,172,3,3,3,4,4,4,4,3,2,4,3,3,4,4,4,4,4,4,4,4
0,173,6,5,6,6,3,3,3,3,3,2,3,4,3,5,6,5,5,5,3,3
