,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,2,4,3,4,3,3,3,3,3,3,4,4,4,3,4,3,4,4,4,4,4
0,5,4,4,5,6,5,6,5,6,5,6,6,6,5,5,5,4,5,5,5,5
0,7,6,6,7,7,7,6,6,5,6,6,6,5,5,4,4,4,6,6,6,5
0,13,3,2,3,5,5,5,5,5,5,8,7,8,7,5,3,6,6,6,6,5
0,18,2,2,2,2,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,2
0,20,3,4,5,4,4,4,3,3,3,3,3,3,4,5,4,7,7,7,6,6
0,27,4,4,5,4,6,5,6,5,5,4,4,4,4,4,4,4,4,3,4,4
0,31,5,5,5,5,4,3,3,3,4,4,5,5,4,3,3,3,2,2,3,3
0,34,4,3,3,3,3,3,3,3,3,4,3,3,4,4,3,4,4,3,3,3
0,36,4,5,4,4,5,6,5,5,6,5,5,4,6,5,5,6,6,5,4,4
0,41,5,5,4,5,6,6,6,6,6,5,6,6,6,7,6,6,6,6,5,5
0,43,5,6,7,6,6,6,7,7,6,7,7,6,6,7,7,7,7,6,6,6
0,46,5,6,5,5,5,6,4,5,6,5,3,5,5,4,5,6,5,4,5,4
0,53,5,4,5,4,4,2,3,3,3,2,3,3,3,3,3,3,3,4,3,3
0,54,4,4,3,3,4,3,3,3,3,3,5,4,4,3,5,4,4,5,4,3
0,57,5,5,4,2,2,2,3,2,2,2,3,3,3,3,3,4,4,4,4,4
0,61,5,3,2,2,4,5,5,6,6,4,3,3,4,5,4,5,4,3,3,3
0,66,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,4
0,69,5,5,3,4,5,6,5,5,6,5,3,4,4,4,4,5,5,4,4,4
0,74,7,7,8,8,7,7,8,6,6,6,5,4,5,4,3,5,5,5,5,6
0,78,4,5,4,4,4,4,3,3,4,3,3,3,2,1,3,3,3,3,4,4
0,81,5,4,3,4,4,3,4,5,4,4,4,4,3,5,4,4,5,5,4,4
0,86,2,3,3,3,2,3,3,4,4,6,5,6,5,5,3,4,3,3,4,4
0,92,3,3,3,4,4,4,4,4,4,3,3,4,4,5,5,6,5,5,4,4
0,95,5,6,5,6,5,6,6,5,6,6,5,5,5,5,5,5,5,6,4,5
0,96,4,4,3,4,4,3,3,3,4,3,4,4,4,4,4,4,5,5,4,5
0,100,2,3,4,4,4,4,3,3,3,4,3,4,3,4,4,4,3,3,3,2
0,105,5,5,3,5,4,4,4,3,4,5,5,6,7,6,4,4,4,4,4,3
0,111,5,5,5,4,4,3,3,2,2,3,3,3,4,4,4,4,3,4,4,3
0,113,5,5,5,5,5,6,6,6,6,7,6,7,7,7,6,6,6,6,6,5
0,117,4,4,5,7,6,6,7,7,4,4,7,5,4,5,6,4,4,4,4,3
0,122,4,4,4,5,5,5,5,4,5,4,4,4,5,6,6,5,4,5,3,4
0,125,6,6,6,6,5,5,4,3,3,4,5,5,5,5,4,5,5,5,5,5
0,128,5,5,6,7,8,7,8,7,5,5,7,6,6,6,6,5,5,5,6,5
0,135,5,4,5,4,5,4,6,6,5,4,5,3,3,4,4,3,3,4,4,4
0,138,4,3,3,3,3,2,4,5,5,5,6,5,4,3,2,3,3,2,3,4
0,140,6,8,7,8,8,8,6,7,6,4,3,4,3,3,3,4,4,3,4,4
0,146,3,2,3,3,3,3,3,2,2,2,2,2,3,3,4,4,4,3,3,2
0,148,5,3,5,3,4,4,6,4,6,5,7,6,6,4,6,5,5,6,7,6
0,152,5,6,5,7,7,7,6,5,4,3,3,3,5,5,5,4,5,3,3,4
0,156,6,5,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,2
0,159,4,4,4,5,4,4,3,3,2,3,3,3,4,4,3,3,4,3,2,3
0,163,4,3,3,2,2,2,3,3,2,2,3,3,3,4,5,4,3,3,2,2
0,168,3,3,4,4,4,5,5,4,3,4,2,2,2,2,2,2,3,3,3,4
0,176,4,5,5,3,3,3,3,3,3,3,3,4,3,3,4,5,4,5,5,4
0,178,3,3,3,2,3,2,3,3,3,3,3,2,2,2,3,2,4,4,4,4
0,183,3,3,3,4,4,3,3,4,3,4,4,4,4,3,3,2,3,2,3,3
0,187,3,3,2,3,4,4,3,4,3,4,3,4,4,4,4,4,4,3,3,3
