,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,3.0,3.231790234522064e-05,3.196387328125534e-05,3.170703748718284e-05,3.150452911104439e-05,3.135626282413408e-05,3.126005569558022e-05,3.122712358990127e-05,3.1227374041814704e-05,3.129728270620175e-05,3.142381226084371e-05,3.161253215333638e-05,3.1863646069162006e-05,3.2177321044468097e-05,3.255758558859409e-05
0,4.0,1.4772775433144403e-05,1.4741460178616609e-05,1.4775352337980149e-05,1.4840178455011526e-05,1.4936298414069267e-05,1.5063853827534213e-05,1.5225970042819754e-05,1.5420964574823756e-05,1.564602029172092e-05,1.590281452982858e-05,1.6193556756553972e-05,1.65185153234023e-05,1.687991078159226e-05,1.7275744199051816e-05
0,6.0,8.855701618023226e-06,8.810409552142148e-06,8.813538666065471e-06,8.839545291029078e-06,8.891335340124941e-06,8.957450896969202e-06,9.049864718959681e-06,9.164504522521563e-06,9.302207027623912e-06,9.462655844010924e-06,9.648301027763758e-06,9.855145867282139e-06,1.0088366243114268e-05,1.0346093925795378e-05
0,8.0,1.1658518829013103e-05,1.102316558890725e-05,1.0438692349876568e-05,9.889844334638711e-06,9.375717434410832e-06,8.894956106542442e-06,8.441141919067314e-06,8.017212400682173e-06,7.620076228662344e-06,7.247874348187553e-06,6.8990212283932e-06,6.571976050515522e-06,6.266111260751621e-06,5.98033455998399e-06
0,10.0,1.1966713626284895e-05,1.1160152198127118e-05,1.0421662375954847e-05,9.729078463118379e-06,9.078095403508132e-06,8.466959394250908e-06,7.893487500687795e-06,7.355112100182396e-06,6.8496758688485745e-06,6.37465580393867e-06,5.92881114956239e-06,5.510411648083337e-06,5.117505294141615e-06,4.749765947395572e-06
0,15.0,5.415673939911387e-05,5.18824281933439e-05,4.97759149295905e-05,4.779982306967727e-05,4.595046363730877e-05,4.4219588734322095e-05,4.260127365157688e-05,4.108918487464312e-05,3.9678795794067764e-05,3.8366156219085877e-05,3.714591152555778e-05,3.603184998053874e-05,3.4964917048368896e-05,3.402768215295741e-05
0,16.0,2.148693077690444e-05,2.061822676457915e-05,1.9828622341766412e-05,1.909368570094485e-05,1.8410926065742447e-05,1.777629587013068e-05,1.7188058267802955e-05,1.6644056532718053e-05,1.6140936847736058e-05,1.5677735925529154e-05,1.5251875930773384e-05,1.4862144620496584e-05,1.4506906820142483e-05,1.4185813864813729e-05
0,22.0,4.4493230255330464e-05,4.271494628700684e-05,4.107497717723115e-05,3.9544564800018874e-05,3.8137160174436964e-05,3.681713895999871e-05,3.559931783277119e-05,3.4474771175112533e-05,3.3440551350393826e-05,3.2495974917928986e-05,3.1632396678988646e-05,3.084610841130101e-05,3.0134224134250808e-05,2.9496248798302317e-05
0,23.0,1.465220596198457e-05,1.4157644502923968e-05,1.3725689401167197e-05,1.3327509403465027e-05,1.2961389980593373e-05,1.262588106482013e-05,1.2319234057344363e-05,1.2040186765032242e-05,1.1788301501968665e-05,1.1561179564635052e-05,1.1359074624166825e-05,1.1181022102942127e-05,1.1027224832508674e-05,1.0894463066996541e-05
0,29.0,4.95888384328173e-05,4.827911695581056e-05,4.708962964979112e-05,4.597636897748652e-05,4.4939047686124246e-05,4.3976878871900014e-05,4.3084012171237904e-05,4.2258323772450176e-05,4.150117595388485e-05,4.0812704773295145e-05,4.019050645259604e-05,3.9632361897206595e-05,3.913969523538937e-05,3.8708415670884184e-05
