,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,4.0,6.33059741286839e-05,6.0716498874407936e-05,5.885000669747443e-05,5.7118271317842004e-05,5.5508918228655727e-05,5.401851258494785e-05,5.2645016000534415e-05,5.137814254694482e-05,5.032791338505514e-05,4.9155726152762845e-05,4.819497356275893e-05,4.743012510121711e-05,4.655676607143397e-05,4.259802935113349e-05
0,9.0,9.243456226688319e-05,9.068253681577046e-05,8.96494045983879e-05,8.879630145957186e-05,8.808972985874244e-05,8.753874074709867e-05,8.713170739990903e-05,8.689663446611043e-05,8.680932242213638e-05,8.687796663394182e-05,8.709955594866711e-05,8.748573576024771e-05,8.803181063079637e-05,8.239381542391217e-05
0,12.0,9.273953641901994e-05,8.5367344613635e-05,7.923550880659604e-05,7.345651668154921e-05,6.800939677745945e-05,6.293795214520683e-05,5.804536131578482e-05,5.350215785535806e-05,4.929828794356269e-05,4.521866565071982e-05,4.144087464168781e-05,3.790963771142958e-05,3.4569458948969934e-05,2.9242488530727504e-05
0,14.0,1.1140057845504623e-05,9.500362000082824e-06,9.488358991745125e-06,9.499688992751985e-06,9.522805500219912e-06,9.567937439513834e-06,9.635454255561296e-06,9.720669073263202e-06,9.826804906670145e-06,9.95423778981542e-06,1.010594426228412e-05,1.0570836364295422e-05,1.0467413058538318e-05,9.925382079007793e-06
0,21.0,2.1954818210335334e-05,1.9079055811438145e-05,1.6891523879293476e-05,1.497126421726934e-05,1.3041713594984168e-05,1.1363072404196194e-05,9.82793549632333e-06,8.438287069703447e-06,7.172580126310275e-06,6.033700111951573e-06,5.00114582345763e-06,4.0888701762372405e-06,3.2691373118827804e-06,2.384462651213137e-06
0,23.0,3.373982103087295e-05,3.059577801588474e-05,2.831217803425362e-05,2.6162450794588877e-05,2.4149072446940007e-05,2.2258203796235248e-05,2.0486282154077043e-05,1.8823964825742855e-05,1.726719096866068e-05,1.580594245851672e-05,1.4439251994747428e-05,1.3162494584960942e-05,1.1963833243485095e-05,1.0087285006987642e-05
0,28.0,1.3604623541256838e-05,1.2054732819789499e-05,1.0996698673306346e-05,1.000716705253652e-05,9.080478405335493e-06,8.22521068259264e-06,7.430420462710551e-06,6.694072651603906e-06,6.009366462726436e-06,5.374787728172633e-06,4.789240126986449e-06,4.250033236293906e-06,3.7497173063248475e-06,3.0717228106014308e-06
0,29.0,3.2141263387878888e-06,4.004449294511012e-06,5.516879421736693e-06,7.273382514350686e-06,9.309963143060893e-06,1.1624472423260963e-05,1.4229168585101444e-05,1.7136858782587245e-05,2.0361887945752764e-05,2.3918524155061375e-05,2.782165670133108e-05,3.20830474639398e-05,3.671884217455663e-05,3.878828680608749e-05
0,37.0,1.0773793441664103e-05,7.88944004144663e-06,6.065711686176154e-06,4.483614592694287e-06,3.142398516949746e-06,2.0390542710542723e-06,1.1718181925888995e-06,5.431357159980694e-07,1.5375828278002934e-07,4.585600516302913e-09,9.714589657326146e-08,4.410469248571759e-07,1.0353134402768554e-06,1.9275308987570834e-06
0,39.0,7.606438831538894e-05,7.138234757722942e-05,6.759722951969012e-05,6.404333959876863e-05,6.071037570295365e-05,5.759295961791061e-05,5.4654684104894785e-05,5.1889680303955196e-05,4.9307387991616165e-05,4.688774080406031e-05,4.461832111112052e-05,4.248010197909455e-05,4.0478592949273606e-05,3.58880859278354e-05
