,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,1,11,10,11,10,10,7,7,6,6,6,6,6,6
0,4,7,7,7,7,6,6,6,7,7,6,7,6,6
0,7,8,8,7,7,7,6,7,7,6,7,8,8,8
0,11,10,11,10,11,11,9,9,10,10,9,10,9,8
0,12,8,9,9,8,7,7,8,9,9,9,10,10,11
0,15,9,10,8,9,9,10,10,10,11,11,13,12,12
0,16,7,7,9,9,9,9,8,8,8,8,7,8,8
0,18,11,11,12,13,13,13,13,13,13,13,12,12,12
0,20,10,10,11,10,10,10,12,14,14,15,15,14,14
0,24,12,12,11,11,11,11,10,9,10,10,11,10,12
0,28,8,9,8,9,8,8,9,9,8,8,8,9,8
0,31,6,6,6,6,7,7,7,7,7,8,8,8,8
0,35,6,6,5,7,6,4,5,6,6,6,6,7,7
0,37,11,11,11,11,10,10,10,9,9,10,6,6,6
0,39,7,7,7,7,6,7,7,6,7,7,7,6,5
0,44,12,11,12,11,11,11,11,10,7,7,6,6,6
0,47,10,11,10,12,11,12,11,12,11,12,13,12,12
0,48,12,11,12,12,12,12,13,14,14,14,13,10,9
0,50,7,7,7,9,9,12,13,14,16,18,18,19,19
0,52,10,11,10,10,10,11,10,9,9,9,8,8,8
0,53,7,7,6,6,5,5,6,6,5,5,4,4,4
0,58,9,8,9,9,7,7,8,7,8,8,7,7,6
0,61,8,7,7,7,7,7,7,7,6,6,7,7,7
0,64,5,4,5,5,5,4,5,5,4,5,4,5,4
0,67,7,7,7,8,7,7,7,7,7,7,7,7,7
0,69,9,9,8,8,8,8,7,8,7,7,7,8,7
0,75,7,7,5,6,5,7,8,8,9,8,8,7,8
0,77,13,10,10,8,8,10,9,9,9,10,9,8,8
0,78,8,8,9,9,8,9,9,10,11,11,10,10,10
0,89,10,11,11,12,13,12,11,11,8,9,8,9,8
0,90,12,12,14,15,13,12,13,13,12,12,12,12,11
0,94,19,24,23,23,25,20,17,15,14,15,14,15,15
0,95,18,18,18,18,18,17,17,17,18,17,16,17,18
0,96,12,13,12,11,11,11,10,10,9,11,10,10,10
0,98,19,21,19,20,17,16,17,19,20,19,18,19,22
0,101,12,12,12,12,11,12,11,11,9,9,8,7,7
0,201,10,9,9,10,10,10,10,10,10,11,13,13,12
0,204,9,8,8,8,7,8,8,8,6,6,6,6,6
0,206,9,9,9,9,9,9,9,8,9,9,9,9,9
0,211,12,11,9,8,9,11,11,10,11,11,11,11,6
0,212,14,14,15,15,10,11,11,12,12,11,11,11,12
0,215,14,13,14,12,12,9,10,8,8,8,7,7,7
0,216,7,7,6,7,7,7,7,8,8,7,8,8,7
0,218,6,6,7,6,7,7,6,7,5,5,5,6,5
0,220,11,10,11,11,10,10,11,14,14,14,14,14,14
0,224,8,8,9,8,10,9,9,9,8,8,8,7,7
0,228,9,9,8,8,9,7,7,7,8,7,9,8,8
0,230,16,16,15,14,13,13,13,13,11,11,9,8,8
0,234,10,10,9,9,10,7,7,8,8,7,6,6,6
0,235,14,14,12,12,13,12,8,8,8,8,10,11,11
0,237,6,7,7,8,8,8,8,8,8,8,8,8,8
0,242,7,6,6,6,6,6,6,6,6,7,7,7,7
0,245,6,5,5,4,5,5,5,5,4,4,4,4,4
0,246,6,6,5,5,5,5,4,5,5,5,5,7,7
0,247,8,8,8,8,9,9,10,6,7,7,8,8,8
0,249,9,9,9,7,7,7,8,8,8,8,8,8,8
0,250,10,9,9,9,9,8,8,9,8,8,7,7,7
0,255,11,11,9,10,11,8,8,7,6,8,7,6,7
0,258,9,9,8,6,7,7,7,6,7,7,6,7,7
0,261,15,15,15,16,14,12,10,15,13,11,12,12,13
0,264,12,11,11,10,10,10,10,10,10,10,10,10,10
0,271,6,6,6,6,5,5,8,8,8,8,8,9,9
0,273,7,7,6,8,8,8,7,8,7,7,7,6,6
0,274,13,13,13,16,15,16,15,15,15,15,16,16,16
0,285,12,12,11,10,9,9,9,8,8,8,8,9,9
0,286,8,7,7,6,6,6,7,6,7,7,7,8,9
0,291,10,8,8,10,9,8,8,8,8,7,7,7,8
0,293,8,8,7,7,8,9,7,8,7,8,8,8,8
0,294,14,14,13,12,12,12,12,11,11,10,11,9,8
0,296,12,12,12,12,12,12,11,10,10,11,11,10,10
0,298,8,8,7,8,8,7,8,8,9,10,9,8,8
