,subject,Anger1,Anger2,Anger3,Neutral1,Neutral6,Neutral7,Amusement2,Amusement3,Amusement4
0,1,6.931432723999023,6.26557731628418,6.353911876678467,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,2,-1.0,-1.0,-1.0,5.361924171447754,4.521098613739014,5.254175186157227,-1.0,-1.0,-1.0
2,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.377838134765625,7.174231052398682,7.119685649871826
3,4,5.114798545837402,5.181191444396973,4.7223968505859375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.490281105041504,5.257440567016602,6.999937534332275
5,6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.9273200035095215,5.704971790313721,5.262308120727539
6,7,6.702419757843018,4.2338080406188965,2.047386646270752,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,8,-1.0,-1.0,-1.0,4.999955177307129,5.427100658416748,5.7067365646362305,-1.0,-1.0,-1.0
8,9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.55357551574707,5.5517659187316895,8.746787071228027
9,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.598627090454102,5.897096157073975,8.852745056152344
10,11,4.337622165679932,2.3423519134521484,2.849640130996704,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,12,6.063438892364502,4.923320770263672,3.1070609092712402,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,13,-1.0,-1.0,-1.0,5.440001010894775,5.016441345214844,5.037640571594238,-1.0,-1.0,-1.0
13,14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.796163558959961,6.787797927856445,7.860929012298584
14,15,5.6855974197387695,3.5669548511505127,3.7274672985076904,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,16,4.95021915435791,4.8323283195495605,3.1484272480010986,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.599117279052734,6.151273727416992,5.486143112182617
17,18,6.099944114685059,7.999928951263428,7.988180160522461,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,19,-1.0,-1.0,-1.0,5.29990816116333,4.799957275390625,4.899957180023193,-1.0,-1.0,-1.0
19,20,7.508528232574463,4.641489505767822,5.147393703460693,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.221492290496826,6.623687267303467,4.676018714904785
21,22,-1.0,-1.0,-1.0,6.431590557098389,5.128500938415527,5.113779067993164,-1.0,-1.0,-1.0
22,23,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.761778354644775,7.442476749420166,6.798948287963867
23,24,4.496297359466553,3.773021697998047,1.0804390907287598,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
24,25,-1.0,-1.0,-1.0,4.899957180023193,6.163035869598389,7.581475734710693,-1.0,-1.0,-1.0
25,26,-1.0,-1.0,-1.0,5.351296901702881,5.077218055725098,4.605868816375732,-1.0,-1.0,-1.0
26,27,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.576480388641357,6.390048503875732,6.188297748565674
27,28,5.047252178192139,4.999955177307129,4.9646124839782715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
28,29,-1.0,-1.0,-1.0,4.85792350769043,5.657736301422119,5.973892688751221,-1.0,-1.0,-1.0
29,30,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.254864692687988,4.586050987243652,3.777597427368164
30,31,3.7955880165100098,3.723942518234253,2.9087839126586914,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
31,32,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.634893417358398,3.61261248588562,3.517357349395752
32,33,-1.0,-1.0,-1.0,7.508344650268555,5.0550642013549805,5.641393184661865,-1.0,-1.0,-1.0
33,34,-1.0,-1.0,-1.0,5.9994797706604,4.066714763641357,6.471441745758057,-1.0,-1.0,-1.0
34,35,4.140024662017822,3.244396924972534,2.0502047538757324,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
35,36,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.6683855056762695,4.778536796569824,5.058706283569336
36,37,4.999955177307129,2.610412120819092,3.319568395614624,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
37,38,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.348921298980713,6.69046688079834,5.578502178192139
38,39,5.205595970153809,4.502668857574463,4.454018592834473,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
39,40,-1.0,-1.0,-1.0,5.951026916503906,5.599948883056641,5.805849075317383,-1.0,-1.0,-1.0
40,41,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.8543500900268555,6.799940586090088,6.899940013885498
41,42,-1.0,-1.0,-1.0,4.999955177307129,5.923832893371582,5.374372959136963,-1.0,-1.0,-1.0
42,43,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.592468738555908,5.263429641723633,6.022872447967529
43,44,4.110515594482422,2.1581943035125732,0.8674008250236511,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
44,45,-1.0,-1.0,-1.0,4.799957275390625,4.999955177307129,4.253684997558594,-1.0,-1.0,-1.0
45,46,-1.0,-1.0,-1.0,4.909514427185059,5.010979652404785,5.484889507293701,-1.0,-1.0,-1.0
46,47,3.3824007511138916,1.8035264015197754,1.4312127828598022,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
47,48,4.819927215576172,5.177641868591309,4.13529634475708,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
48,49,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.158387660980225,5.717647075653076,5.7022624015808105
49,50,3.8075807094573975,0.3892890214920044,1.3005802631378174,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
50,51,-1.0,-1.0,-1.0,5.115353584289551,5.054835319519043,4.999955177307129,-1.0,-1.0,-1.0
51,52,4.61350154876709,4.332803249359131,3.172128677368164,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
52,53,2.648285150527954,1.7858586311340332,0.8468425273895264,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
53,54,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.7024474143981934,5.048003196716309,6.4869561195373535
54,55,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.245354652404785,6.507192611694336,6.414620876312256
55,56,-1.0,-1.0,-1.0,4.699958324432373,4.974625110626221,5.072556018829346,-1.0,-1.0,-1.0
56,57,-1.0,-1.0,-1.0,5.501843452453613,5.574800491333008,5.071696758270264,-1.0,-1.0,-1.0
57,58,4.504307746887207,3.76157808303833,2.944005012512207,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
58,59,-1.0,-1.0,-1.0,4.325473785400391,4.868208885192871,4.650336742401123,-1.0,-1.0,-1.0
59,60,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.802056789398193,7.865123748779297,7.899930953979492
60,61,4.406696319580078,4.272675037384033,2.946657657623291,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
61,62,-1.0,-1.0,-1.0,5.052732467651367,4.445989608764648,3.9525623321533203,-1.0,-1.0,-1.0
62,63,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.246626853942871,6.9162983894348145,6.9825758934021
63,64,4.807321071624756,3.458608388900757,3.379347085952759,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
64,65,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.892815589904785,6.3722076416015625,6.7323198318481445
65,66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.775078296661377,7.721218109130859,6.863089084625244
66,67,4.060238838195801,3.0913591384887695,2.3469715118408203,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
67,68,-1.0,-1.0,-1.0,5.745051383972168,7.574632167816162,7.499933242797852,-1.0,-1.0,-1.0
68,69,4.606254577636719,4.032866954803467,4.8349714279174805,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
69,70,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.439278602600098,3.840723752975464,6.408831596374512
70,71,-1.0,-1.0,-1.0,5.367655277252197,4.497921943664551,4.457424640655518,-1.0,-1.0,-1.0
71,72,-1.0,-1.0,-1.0,4.899957180023193,4.899957180023193,4.899957180023193,-1.0,-1.0,-1.0
72,73,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.249617576599121,7.32830810546875,5.812922477722168
